GCF_016748085.1,GCF_002952675.1,GCF_002951975.1,GCF_002952595.1,GCF_001653415.1,GCF_900638475.1,GCF_016749215.1,GCF_019974055.1,GCF_013122055.1,GCF_003050665.1
GCF_016748085.1;protein_1022,GCF_002952675.1;protein_418,GCF_002951975.1;protein_417,GCF_002952595.1;protein_417,GCF_001653415.1;protein_1028,GCF_900638475.1;protein_469,GCF_016749215.1;protein_981,GCF_019974055.1;protein_1206,GCF_013122055.1;protein_1148,GCF_003050665.1;protein_378
GCF_016748085.1;protein_1024,GCF_002952675.1;protein_416,GCF_002951975.1;protein_415,GCF_002952595.1;protein_415,GCF_001653415.1;protein_1030,GCF_900638475.1;protein_467,GCF_016749215.1;protein_983,GCF_019974055.1;protein_1208,GCF_013122055.1;protein_1150,GCF_003050665.1;protein_380
GCF_016748085.1;protein_1025,GCF_002952675.1;protein_415,GCF_002951975.1;protein_414,GCF_002952595.1;protein_414,GCF_001653415.1;protein_1031,GCF_900638475.1;protein_466,GCF_016749215.1;protein_984,GCF_019974055.1;protein_1209,GCF_013122055.1;protein_1151,GCF_003050665.1;protein_381
GCF_016748085.1;protein_1026,GCF_002952675.1;protein_414,GCF_002951975.1;protein_413,GCF_002952595.1;protein_413,GCF_001653415.1;protein_1032,GCF_900638475.1;protein_465,GCF_016749215.1;protein_985,GCF_019974055.1;protein_1210,GCF_013122055.1;protein_1152,GCF_003050665.1;protein_382
GCF_016748085.1;protein_1027,GCF_002952675.1;protein_413,GCF_002951975.1;protein_412,GCF_002952595.1;protein_412,GCF_001653415.1;protein_1033,GCF_900638475.1;protein_464,GCF_016749215.1;protein_986,GCF_019974055.1;protein_1211,GCF_013122055.1;protein_1153,GCF_003050665.1;protein_383
GCF_016748085.1;protein_1028,GCF_002952675.1;protein_412,GCF_002951975.1;protein_411,GCF_002952595.1;protein_411,GCF_001653415.1;protein_1034,GCF_900638475.1;protein_463,GCF_016749215.1;protein_987,GCF_019974055.1;protein_1212,GCF_013122055.1;protein_1154,GCF_003050665.1;protein_384
GCF_016748085.1;protein_1029,GCF_002952675.1;protein_411,GCF_002951975.1;protein_410,GCF_002952595.1;protein_410,GCF_001653415.1;protein_1035,GCF_900638475.1;protein_462,GCF_016749215.1;protein_988,GCF_019974055.1;protein_1213,GCF_013122055.1;protein_1155,GCF_003050665.1;protein_385
GCF_016748085.1;protein_103,GCF_002952675.1;protein_1337,GCF_002951975.1;protein_1333,GCF_002952595.1;protein_1332,GCF_001653415.1;protein_161,GCF_900638475.1;protein_254,GCF_016749215.1;protein_109,GCF_019974055.1;protein_291,GCF_013122055.1;protein_288,GCF_003050665.1;protein_1082
GCF_016748085.1;protein_1030,GCF_002952675.1;protein_410,GCF_002951975.1;protein_409,GCF_002952595.1;protein_409,GCF_001653415.1;protein_1036,GCF_900638475.1;protein_461,GCF_016749215.1;protein_989,GCF_019974055.1;protein_1214,GCF_013122055.1;protein_1156,GCF_003050665.1;protein_386
GCF_016748085.1;protein_1031,GCF_002952675.1;protein_409,GCF_002951975.1;protein_408,GCF_002952595.1;protein_408,GCF_001653415.1;protein_1037,GCF_900638475.1;protein_460,GCF_016749215.1;protein_990,GCF_019974055.1;protein_1215,GCF_013122055.1;protein_1157,GCF_003050665.1;protein_387
GCF_016748085.1;protein_1032,GCF_002952675.1;protein_408,GCF_002951975.1;protein_407,GCF_002952595.1;protein_407,GCF_001653415.1;protein_1038,GCF_900638475.1;protein_459,GCF_016749215.1;protein_991,GCF_019974055.1;protein_1216,GCF_013122055.1;protein_1158,GCF_003050665.1;protein_388
GCF_016748085.1;protein_1033,GCF_002952675.1;protein_407,GCF_002951975.1;protein_406,GCF_002952595.1;protein_406,GCF_001653415.1;protein_1039,GCF_900638475.1;protein_458,GCF_016749215.1;protein_992,GCF_019974055.1;protein_1217,GCF_013122055.1;protein_1159,GCF_003050665.1;protein_389
GCF_016748085.1;protein_1034,GCF_002952675.1;protein_406,GCF_002951975.1;protein_405,GCF_002952595.1;protein_405,GCF_001653415.1;protein_1040,GCF_900638475.1;protein_457,GCF_016749215.1;protein_993,GCF_019974055.1;protein_1218,GCF_013122055.1;protein_1160,GCF_003050665.1;protein_390
GCF_016748085.1;protein_1035,GCF_002952675.1;protein_405,GCF_002951975.1;protein_404,GCF_002952595.1;protein_404,GCF_001653415.1;protein_1041,GCF_900638475.1;protein_456,GCF_016749215.1;protein_994,GCF_019974055.1;protein_1219,GCF_013122055.1;protein_1161,GCF_003050665.1;protein_391
GCF_016748085.1;protein_1036,GCF_002952675.1;protein_404,GCF_002951975.1;protein_403,GCF_002952595.1;protein_403,GCF_001653415.1;protein_1042,GCF_900638475.1;protein_455,GCF_016749215.1;protein_995,GCF_019974055.1;protein_1220,GCF_013122055.1;protein_1162,GCF_003050665.1;protein_392
GCF_016748085.1;protein_1037,GCF_002952675.1;protein_403,GCF_002951975.1;protein_402,GCF_002952595.1;protein_402,GCF_001653415.1;protein_1043,GCF_900638475.1;protein_454,GCF_016749215.1;protein_996,GCF_019974055.1;protein_1221,GCF_013122055.1;protein_1163,GCF_003050665.1;protein_393
GCF_016748085.1;protein_1038,GCF_002952675.1;protein_402,GCF_002951975.1;protein_401,GCF_002952595.1;protein_401,GCF_001653415.1;protein_1044,GCF_900638475.1;protein_453,GCF_016749215.1;protein_997,GCF_019974055.1;protein_1222,GCF_013122055.1;protein_1164,GCF_003050665.1;protein_394
GCF_016748085.1;protein_1039,GCF_002952675.1;protein_401,GCF_002951975.1;protein_400,GCF_002952595.1;protein_400,GCF_001653415.1;protein_1045,GCF_900638475.1;protein_452,GCF_016749215.1;protein_998,GCF_019974055.1;protein_1223,GCF_013122055.1;protein_1165,GCF_003050665.1;protein_395
GCF_016748085.1;protein_104,GCF_002952675.1;protein_1336,GCF_002951975.1;protein_1332,GCF_002952595.1;protein_1331,GCF_001653415.1;protein_162,GCF_900638475.1;protein_255,GCF_016749215.1;protein_110,GCF_019974055.1;protein_292,GCF_013122055.1;protein_289,GCF_003050665.1;protein_1083
GCF_016748085.1;protein_1040,GCF_002952675.1;protein_400,GCF_002951975.1;protein_399,GCF_002952595.1;protein_399,GCF_001653415.1;protein_1046,GCF_900638475.1;protein_451,GCF_016749215.1;protein_999,GCF_019974055.1;protein_1224,GCF_013122055.1;protein_1166,GCF_003050665.1;protein_396
GCF_016748085.1;protein_1041,GCF_002952675.1;protein_399,GCF_002951975.1;protein_398,GCF_002952595.1;protein_398,GCF_001653415.1;protein_1047,GCF_900638475.1;protein_450,GCF_016749215.1;protein_1000,GCF_019974055.1;protein_1225,GCF_013122055.1;protein_1167,GCF_003050665.1;protein_397
GCF_016748085.1;protein_1042,GCF_002952675.1;protein_398,GCF_002951975.1;protein_397,GCF_002952595.1;protein_397,GCF_001653415.1;protein_1048,GCF_900638475.1;protein_449,GCF_016749215.1;protein_1001,GCF_019974055.1;protein_1226,GCF_013122055.1;protein_1168,GCF_003050665.1;protein_398
GCF_016748085.1;protein_1043,GCF_002952675.1;protein_397,GCF_002951975.1;protein_396,GCF_002952595.1;protein_396,GCF_001653415.1;protein_1049,GCF_900638475.1;protein_448,GCF_016749215.1;protein_1002,GCF_019974055.1;protein_1227,GCF_013122055.1;protein_1169,GCF_003050665.1;protein_399
GCF_016748085.1;protein_1044,GCF_002952675.1;protein_396,GCF_002951975.1;protein_395,GCF_002952595.1;protein_395,GCF_001653415.1;protein_1050,GCF_900638475.1;protein_447,GCF_016749215.1;protein_1003,GCF_019974055.1;protein_1228,GCF_013122055.1;protein_1170,GCF_003050665.1;protein_400
GCF_016748085.1;protein_1045,GCF_002952675.1;protein_395,GCF_002951975.1;protein_394,GCF_002952595.1;protein_394,GCF_001653415.1;protein_1051,GCF_900638475.1;protein_446,GCF_016749215.1;protein_1004,GCF_019974055.1;protein_1229,GCF_013122055.1;protein_1171,GCF_003050665.1;protein_401
GCF_016748085.1;protein_1046,GCF_002952675.1;protein_394,GCF_002951975.1;protein_393,GCF_002952595.1;protein_393,GCF_001653415.1;protein_1052,GCF_900638475.1;protein_445,GCF_016749215.1;protein_1005,GCF_019974055.1;protein_1230,GCF_013122055.1;protein_1172,GCF_003050665.1;protein_402
GCF_016748085.1;protein_1047,GCF_002952675.1;protein_393,GCF_002951975.1;protein_392,GCF_002952595.1;protein_392,GCF_001653415.1;protein_1053,GCF_900638475.1;protein_444,GCF_016749215.1;protein_1006,GCF_019974055.1;protein_1231,GCF_013122055.1;protein_1173,GCF_003050665.1;protein_403
GCF_016748085.1;protein_1048,GCF_002952675.1;protein_392,GCF_002951975.1;protein_391,GCF_002952595.1;protein_391,GCF_001653415.1;protein_1054,GCF_900638475.1;protein_443,GCF_016749215.1;protein_1007,GCF_019974055.1;protein_1232,GCF_013122055.1;protein_1174,GCF_003050665.1;protein_404
GCF_016748085.1;protein_1049,GCF_002952675.1;protein_391,GCF_002951975.1;protein_390,GCF_002952595.1;protein_390,GCF_001653415.1;protein_1055,GCF_900638475.1;protein_442,GCF_016749215.1;protein_1008,GCF_019974055.1;protein_1233,GCF_013122055.1;protein_1175,GCF_003050665.1;protein_405
GCF_016748085.1;protein_105,GCF_002952675.1;protein_1335,GCF_002951975.1;protein_1331,GCF_002952595.1;protein_1330,GCF_001653415.1;protein_163,GCF_900638475.1;protein_256,GCF_016749215.1;protein_111,GCF_019974055.1;protein_293,GCF_013122055.1;protein_290,GCF_003050665.1;protein_1084
GCF_016748085.1;protein_1050,GCF_002952675.1;protein_390,GCF_002951975.1;protein_389,GCF_002952595.1;protein_389,GCF_001653415.1;protein_1056,GCF_900638475.1;protein_441,GCF_016749215.1;protein_1009,GCF_019974055.1;protein_1234,GCF_013122055.1;protein_1176,GCF_003050665.1;protein_406
GCF_016748085.1;protein_1052,GCF_002952675.1;protein_388,GCF_002951975.1;protein_387,GCF_002952595.1;protein_387,GCF_001653415.1;protein_1059,GCF_900638475.1;protein_439,GCF_016749215.1;protein_1011,GCF_019974055.1;protein_1236,GCF_013122055.1;protein_1178,GCF_003050665.1;protein_408
GCF_016748085.1;protein_1053,GCF_002952675.1;protein_387,GCF_002951975.1;protein_386,GCF_002952595.1;protein_386,GCF_001653415.1;protein_1060,GCF_900638475.1;protein_438,GCF_016749215.1;protein_1012,GCF_019974055.1;protein_1237,GCF_013122055.1;protein_1179,GCF_003050665.1;protein_409
GCF_016748085.1;protein_1054,GCF_002952675.1;protein_386,GCF_002951975.1;protein_385,GCF_002952595.1;protein_385,GCF_001653415.1;protein_1061,GCF_900638475.1;protein_437,GCF_016749215.1;protein_1013,GCF_019974055.1;protein_1238,GCF_013122055.1;protein_1180,GCF_003050665.1;protein_410
GCF_016748085.1;protein_1055,GCF_002952675.1;protein_385,GCF_002951975.1;protein_384,GCF_002952595.1;protein_384,GCF_001653415.1;protein_1062,GCF_900638475.1;protein_436,GCF_016749215.1;protein_1014,GCF_019974055.1;protein_1239,GCF_013122055.1;protein_1181,GCF_003050665.1;protein_411
GCF_016748085.1;protein_1056,GCF_002952675.1;protein_384,GCF_002951975.1;protein_383,GCF_002952595.1;protein_383,GCF_001653415.1;protein_1063,GCF_900638475.1;protein_435,GCF_016749215.1;protein_1015,GCF_019974055.1;protein_1240,GCF_013122055.1;protein_1182,GCF_003050665.1;protein_412
GCF_016748085.1;protein_1058,GCF_002952675.1;protein_382,GCF_002951975.1;protein_381,GCF_002952595.1;protein_381,GCF_001653415.1;protein_1065,GCF_900638475.1;protein_433,GCF_016749215.1;protein_1017,GCF_019974055.1;protein_1242,GCF_013122055.1;protein_1184,GCF_003050665.1;protein_414
GCF_016748085.1;protein_1059,GCF_002952675.1;protein_381,GCF_002951975.1;protein_380,GCF_002952595.1;protein_380,GCF_001653415.1;protein_1066,GCF_900638475.1;protein_432,GCF_016749215.1;protein_1018,GCF_019974055.1;protein_1243,GCF_013122055.1;protein_1185,GCF_003050665.1;protein_415
GCF_016748085.1;protein_106,GCF_002952675.1;protein_1334,GCF_002951975.1;protein_1330,GCF_002952595.1;protein_1329,GCF_001653415.1;protein_164,GCF_900638475.1;protein_257,GCF_016749215.1;protein_112,GCF_019974055.1;protein_294,GCF_013122055.1;protein_291,GCF_003050665.1;protein_1085
GCF_016748085.1;protein_1060,GCF_002952675.1;protein_380,GCF_002951975.1;protein_379,GCF_002952595.1;protein_379,GCF_001653415.1;protein_1067,GCF_900638475.1;protein_431,GCF_016749215.1;protein_1019,GCF_019974055.1;protein_1244,GCF_013122055.1;protein_1186,GCF_003050665.1;protein_416
GCF_016748085.1;protein_1063,GCF_002952675.1;protein_377,GCF_002951975.1;protein_376,GCF_002952595.1;protein_376,GCF_001653415.1;protein_1072,GCF_900638475.1;protein_428,GCF_016749215.1;protein_1023,GCF_019974055.1;protein_1247,GCF_013122055.1;protein_1191,GCF_003050665.1;protein_425
GCF_016748085.1;protein_1064,GCF_002952675.1;protein_376,GCF_002951975.1;protein_375,GCF_002952595.1;protein_375,GCF_001653415.1;protein_1073,GCF_900638475.1;protein_427,GCF_016749215.1;protein_1024,GCF_019974055.1;protein_1248,GCF_013122055.1;protein_1192,GCF_003050665.1;protein_426
GCF_016748085.1;protein_1065,GCF_002952675.1;protein_375,GCF_002951975.1;protein_374,GCF_002952595.1;protein_374,GCF_001653415.1;protein_1074,GCF_900638475.1;protein_426,GCF_016749215.1;protein_1025,GCF_019974055.1;protein_1249,GCF_013122055.1;protein_1193,GCF_003050665.1;protein_427
GCF_016748085.1;protein_1066,GCF_002952675.1;protein_374,GCF_002951975.1;protein_373,GCF_002952595.1;protein_373,GCF_001653415.1;protein_1075,GCF_900638475.1;protein_425,GCF_016749215.1;protein_1026,GCF_019974055.1;protein_1250,GCF_013122055.1;protein_1194,GCF_003050665.1;protein_428
GCF_016748085.1;protein_1067,GCF_002952675.1;protein_373,GCF_002951975.1;protein_372,GCF_002952595.1;protein_372,GCF_001653415.1;protein_1076,GCF_900638475.1;protein_424,GCF_016749215.1;protein_1027,GCF_019974055.1;protein_1251,GCF_013122055.1;protein_1195,GCF_003050665.1;protein_429
GCF_016748085.1;protein_1068,GCF_002952675.1;protein_372,GCF_002951975.1;protein_371,GCF_002952595.1;protein_371,GCF_001653415.1;protein_1077,GCF_900638475.1;protein_423,GCF_016749215.1;protein_1028,GCF_019974055.1;protein_1252,GCF_013122055.1;protein_1196,GCF_003050665.1;protein_430
GCF_016748085.1;protein_1069,GCF_002952675.1;protein_371,GCF_002951975.1;protein_370,GCF_002952595.1;protein_370,GCF_001653415.1;protein_1078,GCF_900638475.1;protein_422,GCF_016749215.1;protein_1029,GCF_019974055.1;protein_1253,GCF_013122055.1;protein_1197,GCF_003050665.1;protein_431
GCF_016748085.1;protein_107,GCF_002952675.1;protein_1333,GCF_002951975.1;protein_1329,GCF_002952595.1;protein_1328,GCF_001653415.1;protein_165,GCF_900638475.1;protein_258,GCF_016749215.1;protein_113,GCF_019974055.1;protein_295,GCF_013122055.1;protein_292,GCF_003050665.1;protein_1086
GCF_016748085.1;protein_1070,GCF_002952675.1;protein_370,GCF_002951975.1;protein_369,GCF_002952595.1;protein_369,GCF_001653415.1;protein_1080,GCF_900638475.1;protein_420,GCF_016749215.1;protein_1030,GCF_019974055.1;protein_1254,GCF_013122055.1;protein_1198,GCF_003050665.1;protein_432
GCF_016748085.1;protein_1071,GCF_002952675.1;protein_369,GCF_002951975.1;protein_368,GCF_002952595.1;protein_368,GCF_001653415.1;protein_1081,GCF_900638475.1;protein_419,GCF_016749215.1;protein_1031,GCF_019974055.1;protein_1255,GCF_013122055.1;protein_1202,GCF_003050665.1;protein_433
GCF_016748085.1;protein_1072,GCF_002952675.1;protein_368,GCF_002951975.1;protein_367,GCF_002952595.1;protein_367,GCF_001653415.1;protein_1082,GCF_900638475.1;protein_418,GCF_016749215.1;protein_1032,GCF_019974055.1;protein_1256,GCF_013122055.1;protein_1203,GCF_003050665.1;protein_434
GCF_016748085.1;protein_1073,GCF_002952675.1;protein_367,GCF_002951975.1;protein_366,GCF_002952595.1;protein_366,GCF_001653415.1;protein_1083,GCF_900638475.1;protein_417,GCF_016749215.1;protein_1033,GCF_019974055.1;protein_1257,GCF_013122055.1;protein_1204,GCF_003050665.1;protein_435
GCF_016748085.1;protein_1074,GCF_002952675.1;protein_366,GCF_002951975.1;protein_365,GCF_002952595.1;protein_365,GCF_001653415.1;protein_1084,GCF_900638475.1;protein_416,GCF_016749215.1;protein_1034,GCF_019974055.1;protein_1258,GCF_013122055.1;protein_1205,GCF_003050665.1;protein_436
GCF_016748085.1;protein_1075,GCF_002952675.1;protein_365,GCF_002951975.1;protein_364,GCF_002952595.1;protein_364,GCF_001653415.1;protein_1085,GCF_900638475.1;protein_415,GCF_016749215.1;protein_1035,GCF_019974055.1;protein_1259,GCF_013122055.1;protein_1206,GCF_003050665.1;protein_437
GCF_016748085.1;protein_1076,GCF_002952675.1;protein_364,GCF_002951975.1;protein_363,GCF_002952595.1;protein_363,GCF_001653415.1;protein_1086,GCF_900638475.1;protein_414,GCF_016749215.1;protein_1036,GCF_019974055.1;protein_1260,GCF_013122055.1;protein_1207,GCF_003050665.1;protein_438
GCF_016748085.1;protein_1077,GCF_002952675.1;protein_363,GCF_002951975.1;protein_362,GCF_002952595.1;protein_362,GCF_001653415.1;protein_1087,GCF_900638475.1;protein_413,GCF_016749215.1;protein_1037,GCF_019974055.1;protein_1261,GCF_013122055.1;protein_1208,GCF_003050665.1;protein_439
GCF_016748085.1;protein_1078,GCF_002952675.1;protein_362,GCF_002951975.1;protein_361,GCF_002952595.1;protein_361,GCF_001653415.1;protein_1088,GCF_900638475.1;protein_412,GCF_016749215.1;protein_1038,GCF_019974055.1;protein_1262,GCF_013122055.1;protein_1209,GCF_003050665.1;protein_440
GCF_016748085.1;protein_108,GCF_002952675.1;protein_1332,GCF_002951975.1;protein_1328,GCF_002952595.1;protein_1327,GCF_001653415.1;protein_166,GCF_900638475.1;protein_259,GCF_016749215.1;protein_114,GCF_019974055.1;protein_296,GCF_013122055.1;protein_293,GCF_003050665.1;protein_1087
GCF_016748085.1;protein_1081,GCF_002952675.1;protein_360,GCF_002951975.1;protein_359,GCF_002952595.1;protein_359,GCF_001653415.1;protein_1091,GCF_900638475.1;protein_409,GCF_016749215.1;protein_1042,GCF_019974055.1;protein_1265,GCF_013122055.1;protein_1212,GCF_003050665.1;protein_443
GCF_016748085.1;protein_1082,GCF_002952675.1;protein_359,GCF_002951975.1;protein_358,GCF_002952595.1;protein_358,GCF_001653415.1;protein_1092,GCF_900638475.1;protein_408,GCF_016749215.1;protein_1043,GCF_019974055.1;protein_1266,GCF_013122055.1;protein_1213,GCF_003050665.1;protein_444
GCF_016748085.1;protein_1083,GCF_002952675.1;protein_358,GCF_002951975.1;protein_357,GCF_002952595.1;protein_357,GCF_001653415.1;protein_1093,GCF_900638475.1;protein_407,GCF_016749215.1;protein_1044,GCF_019974055.1;protein_1267,GCF_013122055.1;protein_1214,GCF_003050665.1;protein_445
GCF_016748085.1;protein_1084,GCF_002952675.1;protein_357,GCF_002951975.1;protein_356,GCF_002952595.1;protein_356,GCF_001653415.1;protein_1094,GCF_900638475.1;protein_406,GCF_016749215.1;protein_1045,GCF_019974055.1;protein_1268,GCF_013122055.1;protein_1215,GCF_003050665.1;protein_446
GCF_016748085.1;protein_1085,GCF_002952675.1;protein_356,GCF_002951975.1;protein_355,GCF_002952595.1;protein_355,GCF_001653415.1;protein_1095,GCF_900638475.1;protein_405,GCF_016749215.1;protein_1046,GCF_019974055.1;protein_1269,GCF_013122055.1;protein_1216,GCF_003050665.1;protein_447
GCF_016748085.1;protein_1086,GCF_002952675.1;protein_355,GCF_002951975.1;protein_354,GCF_002952595.1;protein_354,GCF_001653415.1;protein_1096,GCF_900638475.1;protein_404,GCF_016749215.1;protein_1047,GCF_019974055.1;protein_1270,GCF_013122055.1;protein_1217,GCF_003050665.1;protein_448
GCF_016748085.1;protein_1087,GCF_002952675.1;protein_354,GCF_002951975.1;protein_353,GCF_002952595.1;protein_353,GCF_001653415.1;protein_1097,GCF_900638475.1;protein_403,GCF_016749215.1;protein_1048,GCF_019974055.1;protein_1271,GCF_013122055.1;protein_1218,GCF_003050665.1;protein_449
GCF_016748085.1;protein_1088,GCF_002952675.1;protein_353,GCF_002951975.1;protein_352,GCF_002952595.1;protein_352,GCF_001653415.1;protein_1098,GCF_900638475.1;protein_402,GCF_016749215.1;protein_1049,GCF_019974055.1;protein_1272,GCF_013122055.1;protein_1219,GCF_003050665.1;protein_450
GCF_016748085.1;protein_1089,GCF_002952675.1;protein_352,GCF_002951975.1;protein_351,GCF_002952595.1;protein_351,GCF_001653415.1;protein_1099,GCF_900638475.1;protein_401,GCF_016749215.1;protein_1050,GCF_019974055.1;protein_1273,GCF_013122055.1;protein_1220,GCF_003050665.1;protein_451
GCF_016748085.1;protein_109,GCF_002952675.1;protein_1331,GCF_002951975.1;protein_1327,GCF_002952595.1;protein_1326,GCF_001653415.1;protein_167,GCF_900638475.1;protein_260,GCF_016749215.1;protein_115,GCF_019974055.1;protein_297,GCF_013122055.1;protein_294,GCF_003050665.1;protein_1088
GCF_016748085.1;protein_1092,GCF_002952675.1;protein_347,GCF_002951975.1;protein_346,GCF_002952595.1;protein_346,GCF_001653415.1;protein_1104,GCF_900638475.1;protein_1185,GCF_016749215.1;protein_1054,GCF_019974055.1;protein_1277,GCF_013122055.1;protein_1224,GCF_003050665.1;protein_1455
