GCF_051131785.1;protein_1021,GCF_016748925.1;protein_424,GCF_022923775.1;protein_1021,GCF_016757595.1;protein_485,GCF_006338415.1;protein_1000,,,,
GCF_051131785.1;protein_1022,GCF_016748925.1;protein_423,,GCF_016757595.1;protein_484,,,,,
GCF_051131785.1;protein_1023,GCF_016748925.1;protein_422,,GCF_016757595.1;protein_483,GCF_006338415.1;protein_1001,,,,
GCF_051131785.1;protein_1024,GCF_016748925.1;protein_421,GCF_022923775.1;protein_1024,GCF_016757595.1;protein_482,GCF_006338415.1;protein_1002,,,,
GCF_051131785.1;protein_1025,GCF_016748925.1;protein_420,,,,,,,
GCF_051131785.1;protein_1026,GCF_016748925.1;protein_419,GCF_022923775.1;protein_1026,GCF_016757595.1;protein_480,GCF_006338415.1;protein_1004,,,,
GCF_051131785.1;protein_1027,GCF_016748925.1;protein_418,GCF_022923775.1;protein_1027,GCF_016757595.1;protein_479,GCF_006338415.1;protein_1005,,,,
GCF_051131785.1;protein_1028,GCF_016748925.1;protein_417,GCF_022923775.1;protein_1028,GCF_016757595.1;protein_478,GCF_006338415.1;protein_1006,,,,
GCF_051131785.1;protein_1029,GCF_016748925.1;protein_416,GCF_022923775.1;protein_1029,GCF_016757595.1;protein_477,GCF_006338415.1;protein_1007,,,,
GCF_051131785.1;protein_103,GCF_016748925.1;protein_1363,GCF_022923775.1;protein_108,GCF_016757595.1;protein_1391,GCF_006338415.1;protein_102,,,,
GCF_051131785.1;protein_1030,GCF_016748925.1;protein_415,GCF_022923775.1;protein_1030,GCF_016757595.1;protein_476,GCF_006338415.1;protein_1008,,,,
GCF_051131785.1;protein_1031,GCF_016748925.1;protein_414,GCF_022923775.1;protein_1031,GCF_016757595.1;protein_475,GCF_006338415.1;protein_1009,,,,
GCF_051131785.1;protein_1032,GCF_016748925.1;protein_413,GCF_022923775.1;protein_1032,GCF_016757595.1;protein_474,GCF_006338415.1;protein_1010,,,,
GCF_051131785.1;protein_1033,GCF_016748925.1;protein_412,GCF_022923775.1;protein_1033,GCF_016757595.1;protein_473,GCF_006338415.1;protein_1011,,,,
GCF_051131785.1;protein_1034,GCF_016748925.1;protein_411,GCF_022923775.1;protein_1034,GCF_016757595.1;protein_472,GCF_006338415.1;protein_1012,,,,
GCF_051131785.1;protein_1035,GCF_016748925.1;protein_410,GCF_022923775.1;protein_1035,GCF_016757595.1;protein_471,GCF_006338415.1;protein_1013,,,,
GCF_051131785.1;protein_1036,GCF_016748925.1;protein_409,GCF_022923775.1;protein_1036,GCF_016757595.1;protein_470,GCF_006338415.1;protein_1014,,,,
GCF_051131785.1;protein_1037,GCF_016748925.1;protein_408,GCF_022923775.1;protein_1037,GCF_016757595.1;protein_469,GCF_006338415.1;protein_1015,,,,
GCF_051131785.1;protein_1038,GCF_016748925.1;protein_407,GCF_022923775.1;protein_1038,GCF_016757595.1;protein_468,GCF_006338415.1;protein_1016,,,,
GCF_051131785.1;protein_1039,GCF_016748925.1;protein_406,GCF_022923775.1;protein_1039,GCF_016757595.1;protein_467,GCF_006338415.1;protein_1017,,,,
GCF_051131785.1;protein_104,GCF_016748925.1;protein_1362,,,,,,,
GCF_051131785.1;protein_1040,GCF_016748925.1;protein_405,GCF_022923775.1;protein_1040,GCF_016757595.1;protein_466,GCF_006338415.1;protein_1018,,,,
GCF_051131785.1;protein_1041,GCF_016748925.1;protein_404,GCF_022923775.1;protein_1041,GCF_016757595.1;protein_465,GCF_006338415.1;protein_1019,,,,
GCF_051131785.1;protein_1042,GCF_016748925.1;protein_403,GCF_022923775.1;protein_1042,GCF_016757595.1;protein_464,GCF_006338415.1;protein_1020,,,,
GCF_051131785.1;protein_1043,GCF_016748925.1;protein_402,GCF_022923775.1;protein_1043,GCF_016757595.1;protein_463,GCF_006338415.1;protein_1023,,,,
GCF_051131785.1;protein_1044,GCF_016748925.1;protein_401,GCF_022923775.1;protein_1044,GCF_016757595.1;protein_462,GCF_006338415.1;protein_1024,,,,
GCF_051131785.1;protein_1045,GCF_016748925.1;protein_400,GCF_022923775.1;protein_1045,,GCF_006338415.1;protein_1025,,,,
GCF_051131785.1;protein_1046,GCF_016748925.1;protein_399,GCF_022923775.1;protein_1046,GCF_016757595.1;protein_460,GCF_006338415.1;protein_1026,,,,
GCF_051131785.1;protein_1047,GCF_016748925.1;protein_398,GCF_022923775.1;protein_1047,GCF_016757595.1;protein_459,GCF_006338415.1;protein_1027,,,,
GCF_051131785.1;protein_1048,GCF_016748925.1;protein_397,GCF_022923775.1;protein_1048,GCF_016757595.1;protein_458,GCF_006338415.1;protein_1028,,,,
GCF_051131785.1;protein_1049,GCF_016748925.1;protein_396,GCF_022923775.1;protein_1049,GCF_016757595.1;protein_457,GCF_006338415.1;protein_1029,,,,
GCF_051131785.1;protein_105,GCF_016748925.1;protein_1361,GCF_022923775.1;protein_111,GCF_016757595.1;protein_1388,GCF_006338415.1;protein_105,,,,
GCF_051131785.1;protein_1050,GCF_016748925.1;protein_395,GCF_022923775.1;protein_1050,GCF_016757595.1;protein_456,GCF_006338415.1;protein_1030,,,,
GCF_051131785.1;protein_1051,GCF_016748925.1;protein_394,GCF_022923775.1;protein_1051,GCF_016757595.1;protein_455,GCF_006338415.1;protein_1031,,,,
GCF_051131785.1;protein_1052,GCF_016748925.1;protein_393,GCF_022923775.1;protein_1052,GCF_016757595.1;protein_454,GCF_006338415.1;protein_1032,,,,
GCF_051131785.1;protein_1053,GCF_016748925.1;protein_392,GCF_022923775.1;protein_1053,GCF_016757595.1;protein_453,GCF_006338415.1;protein_1033,,,,
GCF_051131785.1;protein_1054,GCF_016748925.1;protein_391,GCF_022923775.1;protein_1054,GCF_016757595.1;protein_452,GCF_006338415.1;protein_1034,,,,
GCF_051131785.1;protein_1055,GCF_016748925.1;protein_390,GCF_022923775.1;protein_1055,GCF_016757595.1;protein_451,GCF_006338415.1;protein_1035,,,,
GCF_051131785.1;protein_1056,GCF_016748925.1;protein_389,GCF_022923775.1;protein_1056,GCF_016757595.1;protein_450,GCF_006338415.1;protein_1036,,,,
GCF_051131785.1;protein_1057,GCF_016748925.1;protein_388,GCF_022923775.1;protein_1057,GCF_016757595.1;protein_449,GCF_006338415.1;protein_1037,,,,
GCF_051131785.1;protein_1058,GCF_016748925.1;protein_387,GCF_022923775.1;protein_1058,GCF_016757595.1;protein_448,GCF_006338415.1;protein_1038,,,,
GCF_051131785.1;protein_1059,GCF_016748925.1;protein_386,GCF_022923775.1;protein_1059,GCF_016757595.1;protein_447,GCF_006338415.1;protein_1039,,,,
GCF_051131785.1;protein_106,GCF_016748925.1;protein_1360,GCF_022923775.1;protein_112,GCF_016757595.1;protein_1387,GCF_006338415.1;protein_106,,,,
GCF_051131785.1;protein_1060,GCF_016748925.1;protein_385,GCF_022923775.1;protein_1060,GCF_016757595.1;protein_446,GCF_006338415.1;protein_1040,,,,
GCF_051131785.1;protein_1061,GCF_016748925.1;protein_384,GCF_022923775.1;protein_1061,GCF_016757595.1;protein_445,GCF_006338415.1;protein_1041,,,,
GCF_051131785.1;protein_1062,GCF_016748925.1;protein_383,GCF_022923775.1;protein_1062,GCF_016757595.1;protein_444,GCF_006338415.1;protein_1042,,,,
GCF_051131785.1;protein_1063,GCF_016748925.1;protein_382,GCF_022923775.1;protein_1063,GCF_016757595.1;protein_443,GCF_006338415.1;protein_1043,,,,
GCF_051131785.1;protein_1064,GCF_016748925.1;protein_381,GCF_022923775.1;protein_1064,GCF_016757595.1;protein_442,GCF_006338415.1;protein_1044,,,,
GCF_051131785.1;protein_1065,GCF_016748925.1;protein_380,GCF_022923775.1;protein_1065,GCF_016757595.1;protein_441,GCF_006338415.1;protein_1045,,,,
GCF_051131785.1;protein_1066,GCF_016748925.1;protein_379,GCF_022923775.1;protein_1066,GCF_016757595.1;protein_440,GCF_006338415.1;protein_1046,,,,
GCF_051131785.1;protein_1067,GCF_016748925.1;protein_378,GCF_022923775.1;protein_1067,GCF_016757595.1;protein_439,GCF_006338415.1;protein_1047,,,,
GCF_051131785.1;protein_1068,GCF_016748925.1;protein_377,GCF_022923775.1;protein_1068,GCF_016757595.1;protein_438,GCF_006338415.1;protein_1048,,,,
GCF_051131785.1;protein_1069,GCF_016748925.1;protein_376,GCF_022923775.1;protein_1069,GCF_016757595.1;protein_437,GCF_006338415.1;protein_1049,,,,
GCF_051131785.1;protein_107,GCF_016748925.1;protein_1359,GCF_022923775.1;protein_113,GCF_016757595.1;protein_1386,GCF_006338415.1;protein_107,,,,
GCF_051131785.1;protein_1070,GCF_016748925.1;protein_375,GCF_022923775.1;protein_1070,GCF_016757595.1;protein_436,GCF_006338415.1;protein_1050,,,,
GCF_051131785.1;protein_1071,GCF_016748925.1;protein_374,GCF_022923775.1;protein_1071,GCF_016757595.1;protein_435,GCF_006338415.1;protein_1051,,,,
GCF_051131785.1;protein_1072,GCF_016748925.1;protein_373,GCF_022923775.1;protein_1072,GCF_016757595.1;protein_434,GCF_006338415.1;protein_1052,,,,
GCF_051131785.1;protein_1073,GCF_016748925.1;protein_372,GCF_022923775.1;protein_1073,GCF_016757595.1;protein_433,GCF_006338415.1;protein_1053,,,,
GCF_051131785.1;protein_1074,GCF_016748925.1;protein_371,GCF_022923775.1;protein_1074,GCF_016757595.1;protein_432,GCF_006338415.1;protein_1054,,,,
GCF_051131785.1;protein_1075,GCF_016748925.1;protein_370,GCF_022923775.1;protein_1075,GCF_016757595.1;protein_429,GCF_006338415.1;protein_1055,,,,
GCF_051131785.1;protein_1076,GCF_016748925.1;protein_369,GCF_022923775.1;protein_1076,GCF_016757595.1;protein_428,GCF_006338415.1;protein_1056,,,,
GCF_051131785.1;protein_1077,GCF_016748925.1;protein_368,GCF_022923775.1;protein_1077,GCF_016757595.1;protein_427,GCF_006338415.1;protein_1057,,,,
GCF_051131785.1;protein_1078,GCF_016748925.1;protein_367,GCF_022923775.1;protein_1078,GCF_016757595.1;protein_426,GCF_006338415.1;protein_1058,,,,
GCF_051131785.1;protein_1079,GCF_016748925.1;protein_366,GCF_022923775.1;protein_1079,GCF_016757595.1;protein_425,GCF_006338415.1;protein_1059,,,,
GCF_051131785.1;protein_108,GCF_016748925.1;protein_1358,GCF_022923775.1;protein_114,GCF_016757595.1;protein_1385,GCF_006338415.1;protein_108,,,,
GCF_051131785.1;protein_1080,GCF_016748925.1;protein_365,GCF_022923775.1;protein_1080,GCF_016757595.1;protein_424,GCF_006338415.1;protein_1060,,,,
GCF_051131785.1;protein_1081,GCF_016748925.1;protein_364,GCF_022923775.1;protein_1081,GCF_016757595.1;protein_423,GCF_006338415.1;protein_1061,,,,
GCF_051131785.1;protein_1082,GCF_016748925.1;protein_363,GCF_022923775.1;protein_1082,GCF_016757595.1;protein_422,GCF_006338415.1;protein_1062,,,,
GCF_051131785.1;protein_1083,GCF_016748925.1;protein_362,GCF_022923775.1;protein_1083,GCF_016757595.1;protein_421,GCF_006338415.1;protein_1063,,,,
GCF_051131785.1;protein_1084,GCF_016748925.1;protein_361,GCF_022923775.1;protein_1084,GCF_016757595.1;protein_420,GCF_006338415.1;protein_1064,,,,
GCF_022923775.1;protein_1085,GCF_051131785.1;protein_1085,,GCF_016757595.1;protein_419,GCF_006338415.1;protein_1065,GCF_016748925.1;protein_360,,,
GCF_051131785.1;protein_1086,GCF_016748925.1;protein_359,GCF_022923775.1;protein_1086,GCF_016757595.1;protein_418,GCF_006338415.1;protein_1066,,,,
GCF_051131785.1;protein_1087,GCF_016748925.1;protein_358,GCF_022923775.1;protein_1087,GCF_016757595.1;protein_417,GCF_006338415.1;protein_1067,,,,
GCF_051131785.1;protein_1088,GCF_016748925.1;protein_357,GCF_022923775.1;protein_1088,GCF_016757595.1;protein_416,GCF_006338415.1;protein_1068,,,,
GCF_051131785.1;protein_1089,GCF_016748925.1;protein_356,,,,,,,
GCF_051131785.1;protein_109,GCF_016748925.1;protein_1357,GCF_022923775.1;protein_115,GCF_016757595.1;protein_1384,GCF_006338415.1;protein_109,,,,
GCF_051131785.1;protein_1090,GCF_016748925.1;protein_355,GCF_022923775.1;protein_1090,GCF_016757595.1;protein_415,GCF_006338415.1;protein_1070,,,,
GCF_051131785.1;protein_1091,GCF_016748925.1;protein_354,GCF_022923775.1;protein_1091,GCF_016757595.1;protein_414,GCF_006338415.1;protein_1071,,,,
GCF_051131785.1;protein_1092,GCF_016748925.1;protein_353,GCF_022923775.1;protein_1092,GCF_016757595.1;protein_413,GCF_006338415.1;protein_1072,,,,
GCF_051131785.1;protein_1094,GCF_016748925.1;protein_351,,GCF_016757595.1;protein_411,,,,,
GCF_051131785.1;protein_1095,GCF_016748925.1;protein_350,GCF_022923775.1;protein_1094,GCF_016757595.1;protein_410,GCF_006338415.1;protein_1075,,,,
GCF_051131785.1;protein_1096,GCF_016748925.1;protein_349,GCF_022923775.1;protein_1095,GCF_016757595.1;protein_409,GCF_006338415.1;protein_1076,,,,
GCF_051131785.1;protein_1097,GCF_016748925.1;protein_348,GCF_022923775.1;protein_1096,GCF_016757595.1;protein_408,GCF_006338415.1;protein_1077,,,,
GCF_051131785.1;protein_1098,GCF_016748925.1;protein_347,GCF_022923775.1;protein_1097,GCF_016757595.1;protein_407,GCF_006338415.1;protein_1078,,,,
GCF_051131785.1;protein_1099,GCF_016748925.1;protein_346,GCF_022923775.1;protein_1098,GCF_016757595.1;protein_406,GCF_006338415.1;protein_1079,,,,
GCF_051131785.1;protein_11,GCF_016748925.1;protein_1450,GCF_022923775.1;protein_12,GCF_016757595.1;protein_1481,GCF_006338415.1;protein_14,,,,
GCF_051131785.1;protein_110,GCF_016748925.1;protein_1356,GCF_022923775.1;protein_116,GCF_016757595.1;protein_1383,GCF_006338415.1;protein_110,,,,
GCF_051131785.1;protein_1100,GCF_016748925.1;protein_345,GCF_022923775.1;protein_1099,GCF_016757595.1;protein_405,GCF_006338415.1;protein_1080,,,,
GCF_051131785.1;protein_1101,GCF_016748925.1;protein_344,GCF_022923775.1;protein_1100,GCF_016757595.1;protein_404,GCF_006338415.1;protein_1081,,,,
GCF_051131785.1;protein_1102,GCF_016748925.1;protein_343,GCF_022923775.1;protein_1101,GCF_016757595.1;protein_403,GCF_006338415.1;protein_1082,,,,
GCF_051131785.1;protein_1103,GCF_016748925.1;protein_342,GCF_022923775.1;protein_1102,GCF_016757595.1;protein_402,GCF_006338415.1;protein_1083,,,,
GCF_051131785.1;protein_1104,GCF_016748925.1;protein_341,GCF_022923775.1;protein_1103,GCF_016757595.1;protein_401,GCF_006338415.1;protein_1084,,,,
,GCF_022923775.1;protein_1104,GCF_006338415.1;protein_1085,GCF_016748925.1;protein_340,GCF_051131785.1;protein_1105,,,,
GCF_051131785.1;protein_1106,GCF_016748925.1;protein_339,GCF_022923775.1;protein_1105,GCF_016757595.1;protein_399,GCF_006338415.1;protein_1086,,,,
GCF_051131785.1;protein_1107,GCF_016748925.1;protein_338,GCF_022923775.1;protein_1106,GCF_016757595.1;protein_398,GCF_006338415.1;protein_1087,,,,
GCF_051131785.1;protein_1109,,GCF_022923775.1;protein_1108,,GCF_006338415.1;protein_1092,,,,
GCF_051131785.1;protein_111,GCF_016748925.1;protein_1355,GCF_022923775.1;protein_117,GCF_016757595.1;protein_1382,GCF_006338415.1;protein_111,,,,
GCF_051131785.1;protein_1110,GCF_016748925.1;protein_335,GCF_022923775.1;protein_1109,GCF_016757595.1;protein_394,GCF_006338415.1;protein_1093,,,,
GCF_051131785.1;protein_1111,GCF_016748925.1;protein_334,GCF_022923775.1;protein_1110,GCF_016757595.1;protein_393,GCF_006338415.1;protein_1094,,,,
GCF_051131785.1;protein_1112,GCF_016748925.1;protein_333,GCF_022923775.1;protein_1111,GCF_016757595.1;protein_392,GCF_006338415.1;protein_1095,,,,
GCF_051131785.1;protein_1113,GCF_016748925.1;protein_332,GCF_022923775.1;protein_1112,GCF_016757595.1;protein_391,GCF_006338415.1;protein_1096,,,,
GCF_051131785.1;protein_1114,GCF_016748925.1;protein_331,GCF_022923775.1;protein_1113,GCF_016757595.1;protein_390,GCF_006338415.1;protein_1097,,,,
GCF_051131785.1;protein_1115,GCF_016748925.1;protein_330,GCF_022923775.1;protein_1114,GCF_016757595.1;protein_389,GCF_006338415.1;protein_1098,,,,
GCF_051131785.1;protein_1116,GCF_016748925.1;protein_329,GCF_022923775.1;protein_1115,GCF_016757595.1;protein_388,GCF_006338415.1;protein_1099,,,,
GCF_051131785.1;protein_1117,GCF_016748925.1;protein_328,GCF_022923775.1;protein_1116,GCF_016757595.1;protein_387,GCF_006338415.1;protein_1100,,,,
GCF_051131785.1;protein_1118,GCF_016748925.1;protein_327,GCF_022923775.1;protein_1117,GCF_016757595.1;protein_386,GCF_006338415.1;protein_1101,,,,
GCF_051131785.1;protein_1119,GCF_016748925.1;protein_326,GCF_022923775.1;protein_1118,,,,,,
GCF_051131785.1;protein_112,GCF_016748925.1;protein_1354,GCF_022923775.1;protein_118,,,,,,
GCF_051131785.1;protein_1120,GCF_016748925.1;protein_325,GCF_022923775.1;protein_1119,,,,,,
GCF_051131785.1;protein_1121,GCF_016748925.1;protein_324,GCF_022923775.1;protein_1120,,,,,,
GCF_016757595.1;protein_385,GCF_022923775.1;protein_1123,,GCF_006338415.1;protein_1102,GCF_051131785.1;protein_1124,GCF_016748925.1;protein_322,,,
GCF_051131785.1;protein_1125,GCF_016748925.1;protein_321,GCF_022923775.1;protein_1124,GCF_016757595.1;protein_384,,,,,
GCF_051131785.1;protein_1127,GCF_016748925.1;protein_319,GCF_022923775.1;protein_1126,GCF_016757595.1;protein_381,GCF_006338415.1;protein_1105,,,,
GCF_051131785.1;protein_1128,GCF_016748925.1;protein_318,GCF_022923775.1;protein_1127,GCF_016757595.1;protein_380,GCF_006338415.1;protein_1106,,,,
GCF_051131785.1;protein_1129,GCF_016748925.1;protein_317,GCF_022923775.1;protein_1128,GCF_016757595.1;protein_379,GCF_006338415.1;protein_1107,,,,
GCF_051131785.1;protein_113,GCF_016748925.1;protein_1353,GCF_022923775.1;protein_119,,,,,,
GCF_051131785.1;protein_1130,GCF_016748925.1;protein_316,GCF_022923775.1;protein_1129,GCF_016757595.1;protein_378,GCF_006338415.1;protein_1108,,,,
GCF_051131785.1;protein_1131,GCF_016748925.1;protein_315,GCF_022923775.1;protein_1130,GCF_016757595.1;protein_377,GCF_006338415.1;protein_1109,,,,
GCF_051131785.1;protein_1132,GCF_016748925.1;protein_314,GCF_022923775.1;protein_1131,GCF_016757595.1;protein_376,GCF_006338415.1;protein_1110,,,,
GCF_051131785.1;protein_1133,GCF_016748925.1;protein_313,GCF_022923775.1;protein_1132,GCF_016757595.1;protein_375,GCF_006338415.1;protein_1111,,,,
GCF_051131785.1;protein_1134,GCF_016748925.1;protein_312,GCF_022923775.1;protein_1133,GCF_016757595.1;protein_374,GCF_006338415.1;protein_1112,,,,
GCF_051131785.1;protein_1135,GCF_016748925.1;protein_311,GCF_022923775.1;protein_1134,GCF_016757595.1;protein_373,GCF_006338415.1;protein_1113,,,,
GCF_051131785.1;protein_1136,GCF_016748925.1;protein_310,GCF_022923775.1;protein_1135,GCF_016757595.1;protein_372,GCF_006338415.1;protein_1114,,,,
GCF_051131785.1;protein_1137,GCF_016748925.1;protein_309,GCF_022923775.1;protein_1136,GCF_016757595.1;protein_371,GCF_006338415.1;protein_1115,,,,
GCF_051131785.1;protein_1138,GCF_016748925.1;protein_308,GCF_022923775.1;protein_1137,GCF_016757595.1;protein_370,GCF_006338415.1;protein_1116,,,,
GCF_051131785.1;protein_1139,GCF_016748925.1;protein_307,GCF_022923775.1;protein_1138,GCF_016757595.1;protein_369,GCF_006338415.1;protein_1117,,,,
GCF_051131785.1;protein_114,GCF_016748925.1;protein_1352,GCF_022923775.1;protein_120,GCF_016757595.1;protein_1379,GCF_006338415.1;protein_1466,,,,
GCF_051131785.1;protein_1141,GCF_016748925.1;protein_305,GCF_022923775.1;protein_1140,GCF_016757595.1;protein_367,GCF_006338415.1;protein_1119,,,,
GCF_051131785.1;protein_1142,GCF_016748925.1;protein_304,GCF_022923775.1;protein_1141,GCF_016757595.1;protein_366,GCF_006338415.1;protein_1120,,,,
GCF_051131785.1;protein_1143,GCF_016748925.1;protein_303,GCF_022923775.1;protein_1142,GCF_016757595.1;protein_365,GCF_006338415.1;protein_1121,,,,
GCF_051131785.1;protein_1144,GCF_016748925.1;protein_302,GCF_022923775.1;protein_1143,GCF_016757595.1;protein_364,GCF_006338415.1;protein_1122,,,,
GCF_051131785.1;protein_1145,GCF_016748925.1;protein_301,GCF_022923775.1;protein_1144,GCF_016757595.1;protein_363,GCF_006338415.1;protein_1123,,,,
GCF_051131785.1;protein_1146,GCF_016748925.1;protein_300,GCF_022923775.1;protein_1145,GCF_016757595.1;protein_362,GCF_006338415.1;protein_1124,,,,
GCF_051131785.1;protein_1147,GCF_016748925.1;protein_299,GCF_022923775.1;protein_1146,GCF_016757595.1;protein_361,GCF_006338415.1;protein_1125,,,,
GCF_051131785.1;protein_1148,GCF_016748925.1;protein_298,GCF_022923775.1;protein_1147,GCF_016757595.1;protein_358,GCF_006338415.1;protein_1126,,,,
GCF_051131785.1;protein_1149,GCF_016748925.1;protein_297,GCF_022923775.1;protein_1148,GCF_016757595.1;protein_357,GCF_006338415.1;protein_1127,,,,
GCF_051131785.1;protein_115,GCF_016748925.1;protein_1351,GCF_022923775.1;protein_121,GCF_016757595.1;protein_1378,GCF_006338415.1;protein_1465,,,,
GCF_051131785.1;protein_1150,GCF_016748925.1;protein_296,GCF_022923775.1;protein_1149,GCF_016757595.1;protein_356,GCF_006338415.1;protein_1128,,,,
GCF_051131785.1;protein_1151,GCF_016748925.1;protein_295,GCF_022923775.1;protein_1150,GCF_016757595.1;protein_355,GCF_006338415.1;protein_1129,,,,
GCF_051131785.1;protein_1152,GCF_016748925.1;protein_294,GCF_022923775.1;protein_1151,GCF_016757595.1;protein_354,GCF_006338415.1;protein_1130,,,,
GCF_051131785.1;protein_1153,GCF_016748925.1;protein_293,GCF_022923775.1;protein_1152,GCF_016757595.1;protein_353,GCF_006338415.1;protein_1131,,,,
GCF_051131785.1;protein_1154,GCF_016748925.1;protein_292,GCF_022923775.1;protein_1153,GCF_016757595.1;protein_352,GCF_006338415.1;protein_1132,,,,
GCF_051131785.1;protein_1155,GCF_016748925.1;protein_291,GCF_022923775.1;protein_1154,GCF_016757595.1;protein_351,GCF_006338415.1;protein_1133,,,,
GCF_051131785.1;protein_1156,GCF_016748925.1;protein_290,GCF_022923775.1;protein_1155,GCF_016757595.1;protein_350,GCF_006338415.1;protein_1134,,,,
GCF_051131785.1;protein_1157,GCF_016748925.1;protein_289,GCF_022923775.1;protein_1156,GCF_016757595.1;protein_349,GCF_006338415.1;protein_1135,,,,
GCF_051131785.1;protein_1158,GCF_016748925.1;protein_288,GCF_022923775.1;protein_1157,GCF_016757595.1;protein_348,GCF_006338415.1;protein_1136,,,,
GCF_051131785.1;protein_1159,GCF_016748925.1;protein_287,GCF_022923775.1;protein_1158,GCF_016757595.1;protein_347,GCF_006338415.1;protein_1137,,,,
GCF_051131785.1;protein_116,GCF_016748925.1;protein_1350,GCF_022923775.1;protein_122,GCF_016757595.1;protein_1377,GCF_006338415.1;protein_1464,,,,
GCF_051131785.1;protein_1160,GCF_016748925.1;protein_286,GCF_022923775.1;protein_1159,GCF_016757595.1;protein_346,GCF_006338415.1;protein_1138,,,,
GCF_051131785.1;protein_1161,GCF_016748925.1;protein_285,GCF_022923775.1;protein_1160,GCF_016757595.1;protein_345,GCF_006338415.1;protein_1139,,,,
GCF_051131785.1;protein_1162,GCF_016748925.1;protein_284,GCF_022923775.1;protein_1161,GCF_016757595.1;protein_344,GCF_006338415.1;protein_1140,,,,
