GCF_016757555.1,GCF_900478295.1,GCF_021729605.1,GCF_017821635.1,GCF_016755675.1
GCF_016757555.1;protein_1022,GCF_900478295.1;protein_1210,GCF_021729605.1;protein_1028,GCF_017821635.1;protein_494,GCF_016755675.1;protein_1030
GCF_016757555.1;protein_1023,GCF_900478295.1;protein_1211,GCF_021729605.1;protein_1029,GCF_017821635.1;protein_493,GCF_016755675.1;protein_1031
GCF_016757555.1;protein_1024,GCF_900478295.1;protein_1212,GCF_021729605.1;protein_1030,GCF_017821635.1;protein_492,GCF_016755675.1;protein_1032
GCF_016757555.1;protein_1025,GCF_900478295.1;protein_1213,GCF_021729605.1;protein_1031,GCF_017821635.1;protein_491,GCF_016755675.1;protein_1033
GCF_016757555.1;protein_1027,GCF_900478295.1;protein_1215,GCF_021729605.1;protein_1033,GCF_017821635.1;protein_489,GCF_016755675.1;protein_1035
GCF_016757555.1;protein_1028,GCF_900478295.1;protein_1216,GCF_021729605.1;protein_1034,GCF_017821635.1;protein_488,GCF_016755675.1;protein_1036
GCF_016757555.1;protein_1029,GCF_900478295.1;protein_1217,GCF_021729605.1;protein_1035,GCF_017821635.1;protein_487,GCF_016755675.1;protein_1037
GCF_016757555.1;protein_103,GCF_900478295.1;protein_294,GCF_021729605.1;protein_102,GCF_017821635.1;protein_108,GCF_016755675.1;protein_103
GCF_016757555.1;protein_1034,GCF_900478295.1;protein_1226,GCF_021729605.1;protein_1038,GCF_017821635.1;protein_484,GCF_016755675.1;protein_1040
GCF_016757555.1;protein_1035,GCF_900478295.1;protein_1227,GCF_021729605.1;protein_1039,GCF_017821635.1;protein_483,GCF_016755675.1;protein_1041
GCF_016757555.1;protein_1036,GCF_900478295.1;protein_1228,GCF_021729605.1;protein_1040,GCF_017821635.1;protein_482,GCF_016755675.1;protein_1042
GCF_016757555.1;protein_1037,GCF_900478295.1;protein_1229,GCF_021729605.1;protein_1041,GCF_017821635.1;protein_481,GCF_016755675.1;protein_1043
GCF_016757555.1;protein_1038,GCF_900478295.1;protein_1230,GCF_021729605.1;protein_1042,GCF_017821635.1;protein_480,GCF_016755675.1;protein_1044
GCF_016757555.1;protein_1039,GCF_900478295.1;protein_1231,GCF_021729605.1;protein_1043,GCF_017821635.1;protein_479,GCF_016755675.1;protein_1045
GCF_016757555.1;protein_104,GCF_900478295.1;protein_295,GCF_021729605.1;protein_103,GCF_017821635.1;protein_109,GCF_016755675.1;protein_104
GCF_016757555.1;protein_1040,GCF_900478295.1;protein_1232,GCF_021729605.1;protein_1044,GCF_017821635.1;protein_478,GCF_016755675.1;protein_1046
GCF_016757555.1;protein_1041,GCF_900478295.1;protein_1233,GCF_021729605.1;protein_1045,GCF_017821635.1;protein_476,GCF_016755675.1;protein_1047
GCF_016757555.1;protein_1043,GCF_900478295.1;protein_1235,GCF_021729605.1;protein_1046,GCF_017821635.1;protein_474,GCF_016755675.1;protein_1049
GCF_016757555.1;protein_1044,GCF_900478295.1;protein_1236,GCF_021729605.1;protein_1047,GCF_017821635.1;protein_473,GCF_016755675.1;protein_1050
GCF_016757555.1;protein_1045,GCF_900478295.1;protein_1237,GCF_021729605.1;protein_1048,GCF_017821635.1;protein_472,GCF_016755675.1;protein_1051
GCF_016757555.1;protein_1046,GCF_900478295.1;protein_1238,GCF_021729605.1;protein_1049,GCF_017821635.1;protein_471,GCF_016755675.1;protein_1052
GCF_016757555.1;protein_1047,GCF_900478295.1;protein_1239,GCF_021729605.1;protein_1050,GCF_017821635.1;protein_470,GCF_016755675.1;protein_1053
GCF_016757555.1;protein_1048,GCF_900478295.1;protein_1240,GCF_021729605.1;protein_1051,GCF_017821635.1;protein_469,GCF_016755675.1;protein_1054
GCF_016757555.1;protein_1049,GCF_900478295.1;protein_1241,GCF_021729605.1;protein_1052,GCF_017821635.1;protein_468,GCF_016755675.1;protein_1055
GCF_016757555.1;protein_105,GCF_900478295.1;protein_296,GCF_021729605.1;protein_104,GCF_017821635.1;protein_110,GCF_016755675.1;protein_105
GCF_016757555.1;protein_1050,GCF_900478295.1;protein_1242,GCF_021729605.1;protein_1053,GCF_017821635.1;protein_467,GCF_016755675.1;protein_1056
GCF_016757555.1;protein_1051,GCF_900478295.1;protein_1243,GCF_021729605.1;protein_1054,GCF_017821635.1;protein_466,GCF_016755675.1;protein_1057
GCF_016757555.1;protein_1052,GCF_900478295.1;protein_1244,GCF_021729605.1;protein_1055,GCF_017821635.1;protein_465,GCF_016755675.1;protein_1058
GCF_016757555.1;protein_1053,GCF_900478295.1;protein_1245,GCF_021729605.1;protein_1056,GCF_017821635.1;protein_464,GCF_016755675.1;protein_1059
GCF_016757555.1;protein_1054,GCF_900478295.1;protein_1246,GCF_021729605.1;protein_1057,GCF_017821635.1;protein_463,GCF_016755675.1;protein_1060
GCF_016757555.1;protein_1055,GCF_900478295.1;protein_1247,GCF_021729605.1;protein_1058,GCF_017821635.1;protein_462,GCF_016755675.1;protein_1061
GCF_016757555.1;protein_1056,GCF_900478295.1;protein_1248,GCF_021729605.1;protein_1059,GCF_017821635.1;protein_461,GCF_016755675.1;protein_1062
GCF_016757555.1;protein_1057,GCF_900478295.1;protein_1249,GCF_021729605.1;protein_1060,GCF_017821635.1;protein_460,GCF_016755675.1;protein_1063
GCF_016757555.1;protein_1058,GCF_900478295.1;protein_1250,GCF_021729605.1;protein_1061,GCF_017821635.1;protein_459,GCF_016755675.1;protein_1064
GCF_016757555.1;protein_1059,GCF_900478295.1;protein_1251,GCF_021729605.1;protein_1062,GCF_017821635.1;protein_458,GCF_016755675.1;protein_1065
GCF_016757555.1;protein_106,GCF_900478295.1;protein_297,GCF_021729605.1;protein_105,GCF_017821635.1;protein_111,GCF_016755675.1;protein_106
GCF_016757555.1;protein_1060,GCF_900478295.1;protein_1252,GCF_021729605.1;protein_1063,GCF_017821635.1;protein_457,GCF_016755675.1;protein_1066
GCF_016757555.1;protein_1063,GCF_900478295.1;protein_664,GCF_021729605.1;protein_1067,GCF_017821635.1;protein_1077,GCF_016755675.1;protein_1069
GCF_016757555.1;protein_1064,GCF_900478295.1;protein_663,GCF_021729605.1;protein_1068,GCF_017821635.1;protein_1078,GCF_016755675.1;protein_1070
GCF_016757555.1;protein_1065,GCF_900478295.1;protein_662,GCF_021729605.1;protein_1069,GCF_017821635.1;protein_1079,GCF_016755675.1;protein_1071
GCF_016757555.1;protein_1066,GCF_900478295.1;protein_661,GCF_021729605.1;protein_1070,GCF_017821635.1;protein_1080,GCF_016755675.1;protein_1072
GCF_016757555.1;protein_1067,GCF_900478295.1;protein_660,GCF_021729605.1;protein_1071,GCF_017821635.1;protein_1081,GCF_016755675.1;protein_1073
GCF_016757555.1;protein_1068,GCF_900478295.1;protein_659,GCF_021729605.1;protein_1072,GCF_017821635.1;protein_1082,GCF_016755675.1;protein_1074
GCF_016757555.1;protein_1069,GCF_900478295.1;protein_658,GCF_021729605.1;protein_1073,GCF_017821635.1;protein_1083,GCF_016755675.1;protein_1075
GCF_016757555.1;protein_107,GCF_900478295.1;protein_298,GCF_021729605.1;protein_106,GCF_017821635.1;protein_112,GCF_016755675.1;protein_107
GCF_016757555.1;protein_1070,GCF_900478295.1;protein_657,GCF_021729605.1;protein_1074,GCF_017821635.1;protein_1084,GCF_016755675.1;protein_1076
GCF_016757555.1;protein_1071,GCF_900478295.1;protein_656,GCF_021729605.1;protein_1075,GCF_017821635.1;protein_1085,GCF_016755675.1;protein_1077
GCF_016757555.1;protein_1072,GCF_900478295.1;protein_655,GCF_021729605.1;protein_1076,GCF_017821635.1;protein_1086,GCF_016755675.1;protein_1078
GCF_016757555.1;protein_1073,GCF_900478295.1;protein_654,GCF_021729605.1;protein_1077,GCF_017821635.1;protein_1087,GCF_016755675.1;protein_1079
GCF_016757555.1;protein_1074,GCF_900478295.1;protein_653,GCF_021729605.1;protein_1078,GCF_017821635.1;protein_1088,GCF_016755675.1;protein_1080
GCF_016757555.1;protein_1075,GCF_900478295.1;protein_652,GCF_021729605.1;protein_1079,GCF_017821635.1;protein_1089,GCF_016755675.1;protein_1081
GCF_016757555.1;protein_1076,GCF_900478295.1;protein_651,GCF_021729605.1;protein_1080,GCF_017821635.1;protein_1090,GCF_016755675.1;protein_1082
GCF_016757555.1;protein_1077,GCF_900478295.1;protein_650,GCF_021729605.1;protein_1081,GCF_017821635.1;protein_1091,GCF_016755675.1;protein_1083
GCF_016757555.1;protein_1078,GCF_900478295.1;protein_649,GCF_021729605.1;protein_1082,GCF_017821635.1;protein_1092,GCF_016755675.1;protein_1084
GCF_016757555.1;protein_1079,GCF_900478295.1;protein_648,GCF_021729605.1;protein_1083,GCF_017821635.1;protein_1093,GCF_016755675.1;protein_1085
GCF_016757555.1;protein_108,GCF_900478295.1;protein_299,GCF_021729605.1;protein_107,GCF_017821635.1;protein_113,GCF_016755675.1;protein_108
GCF_016757555.1;protein_1080,GCF_900478295.1;protein_647,GCF_021729605.1;protein_1084,GCF_017821635.1;protein_1094,GCF_016755675.1;protein_1086
GCF_016757555.1;protein_1081,GCF_900478295.1;protein_646,GCF_021729605.1;protein_1085,GCF_017821635.1;protein_1095,GCF_016755675.1;protein_1087
GCF_016757555.1;protein_1082,GCF_900478295.1;protein_645,GCF_021729605.1;protein_1086,GCF_017821635.1;protein_1096,GCF_016755675.1;protein_1088
GCF_016757555.1;protein_1083,GCF_900478295.1;protein_644,GCF_021729605.1;protein_1087,GCF_017821635.1;protein_1097,GCF_016755675.1;protein_1089
GCF_016757555.1;protein_1084,GCF_900478295.1;protein_643,GCF_021729605.1;protein_1088,GCF_017821635.1;protein_1098,GCF_016755675.1;protein_1090
GCF_016757555.1;protein_1085,GCF_900478295.1;protein_642,GCF_021729605.1;protein_1089,GCF_017821635.1;protein_1099,GCF_016755675.1;protein_1091
GCF_016757555.1;protein_1086,GCF_900478295.1;protein_641,GCF_021729605.1;protein_1090,GCF_017821635.1;protein_1100,GCF_016755675.1;protein_1092
GCF_016757555.1;protein_1087,GCF_900478295.1;protein_640,GCF_021729605.1;protein_1091,GCF_017821635.1;protein_1101,GCF_016755675.1;protein_1093
GCF_016757555.1;protein_1089,GCF_900478295.1;protein_638,GCF_021729605.1;protein_1093,GCF_017821635.1;protein_1103,GCF_016755675.1;protein_1095
GCF_016757555.1;protein_1091,GCF_900478295.1;protein_635,GCF_021729605.1;protein_1095,GCF_017821635.1;protein_1105,GCF_016755675.1;protein_1097
GCF_016757555.1;protein_1092,GCF_900478295.1;protein_634,GCF_021729605.1;protein_1096,GCF_017821635.1;protein_1106,GCF_016755675.1;protein_1098
GCF_016757555.1;protein_1093,GCF_900478295.1;protein_633,GCF_021729605.1;protein_1097,GCF_017821635.1;protein_1107,GCF_016755675.1;protein_1099
GCF_016757555.1;protein_1094,GCF_900478295.1;protein_632,GCF_021729605.1;protein_1098,GCF_017821635.1;protein_1108,GCF_016755675.1;protein_1100
GCF_016757555.1;protein_1095,GCF_900478295.1;protein_631,GCF_021729605.1;protein_1099,GCF_017821635.1;protein_1109,GCF_016755675.1;protein_1101
GCF_016757555.1;protein_1096,GCF_900478295.1;protein_630,GCF_021729605.1;protein_1100,GCF_017821635.1;protein_1110,GCF_016755675.1;protein_1102
GCF_016757555.1;protein_1097,GCF_900478295.1;protein_629,GCF_021729605.1;protein_1101,GCF_017821635.1;protein_1111,GCF_016755675.1;protein_1103
GCF_016757555.1;protein_1098,GCF_900478295.1;protein_628,GCF_021729605.1;protein_1102,GCF_017821635.1;protein_1112,GCF_016755675.1;protein_1104
GCF_016757555.1;protein_1099,GCF_900478295.1;protein_627,GCF_021729605.1;protein_1103,GCF_017821635.1;protein_1113,GCF_016755675.1;protein_1105
GCF_016757555.1;protein_11,GCF_900478295.1;protein_198,GCF_021729605.1;protein_11,GCF_017821635.1;protein_11,GCF_016755675.1;protein_10
GCF_016757555.1;protein_1100,GCF_900478295.1;protein_626,GCF_021729605.1;protein_1104,GCF_017821635.1;protein_1114,GCF_016755675.1;protein_1106
GCF_016757555.1;protein_1101,GCF_900478295.1;protein_625,GCF_021729605.1;protein_1105,GCF_017821635.1;protein_1115,GCF_016755675.1;protein_1107
GCF_016757555.1;protein_1103,GCF_900478295.1;protein_623,GCF_021729605.1;protein_1107,GCF_017821635.1;protein_1117,GCF_016755675.1;protein_1109
GCF_016757555.1;protein_1107,GCF_900478295.1;protein_621,GCF_021729605.1;protein_1111,GCF_017821635.1;protein_1120,GCF_016755675.1;protein_1113
GCF_016757555.1;protein_1108,GCF_900478295.1;protein_620,GCF_021729605.1;protein_1112,GCF_017821635.1;protein_1121,GCF_016755675.1;protein_1114
GCF_016757555.1;protein_1109,GCF_900478295.1;protein_619,GCF_021729605.1;protein_1113,GCF_017821635.1;protein_1122,GCF_016755675.1;protein_1115
GCF_016757555.1;protein_111,GCF_900478295.1;protein_302,GCF_021729605.1;protein_109,GCF_017821635.1;protein_115,GCF_016755675.1;protein_111
GCF_016757555.1;protein_1110,GCF_900478295.1;protein_618,GCF_021729605.1;protein_1114,GCF_017821635.1;protein_1123,GCF_016755675.1;protein_1116
GCF_016757555.1;protein_1111,GCF_900478295.1;protein_617,GCF_021729605.1;protein_1115,GCF_017821635.1;protein_1124,GCF_016755675.1;protein_1117
GCF_016757555.1;protein_1112,GCF_900478295.1;protein_616,GCF_021729605.1;protein_1116,GCF_017821635.1;protein_1125,GCF_016755675.1;protein_1118
GCF_016757555.1;protein_1113,GCF_900478295.1;protein_615,GCF_021729605.1;protein_1117,GCF_017821635.1;protein_1126,GCF_016755675.1;protein_1119
GCF_016757555.1;protein_1114,GCF_900478295.1;protein_614,GCF_021729605.1;protein_1118,GCF_017821635.1;protein_1127,GCF_016755675.1;protein_1120
GCF_016757555.1;protein_1115,GCF_900478295.1;protein_613,GCF_021729605.1;protein_1119,GCF_017821635.1;protein_1128,GCF_016755675.1;protein_1121
GCF_016757555.1;protein_1116,GCF_900478295.1;protein_612,GCF_021729605.1;protein_1120,GCF_017821635.1;protein_1129,GCF_016755675.1;protein_1122
GCF_016757555.1;protein_1117,GCF_900478295.1;protein_611,GCF_021729605.1;protein_1121,GCF_017821635.1;protein_1130,GCF_016755675.1;protein_1123
GCF_016757555.1;protein_1118,GCF_900478295.1;protein_610,GCF_021729605.1;protein_1122,GCF_017821635.1;protein_1131,GCF_016755675.1;protein_1124
GCF_016757555.1;protein_1119,GCF_900478295.1;protein_609,GCF_021729605.1;protein_1123,GCF_017821635.1;protein_1132,GCF_016755675.1;protein_1125
GCF_016757555.1;protein_1120,GCF_900478295.1;protein_608,GCF_021729605.1;protein_1124,GCF_017821635.1;protein_1133,GCF_016755675.1;protein_1126
GCF_016757555.1;protein_1121,GCF_900478295.1;protein_607,GCF_021729605.1;protein_1125,GCF_017821635.1;protein_1134,GCF_016755675.1;protein_1127
GCF_016757555.1;protein_1122,GCF_900478295.1;protein_606,GCF_021729605.1;protein_1126,GCF_017821635.1;protein_1135,GCF_016755675.1;protein_1128
GCF_016757555.1;protein_1124,GCF_900478295.1;protein_604,GCF_021729605.1;protein_1128,GCF_017821635.1;protein_1137,GCF_016755675.1;protein_1131
GCF_016757555.1;protein_1125,GCF_900478295.1;protein_603,GCF_021729605.1;protein_1129,GCF_017821635.1;protein_1138,GCF_016755675.1;protein_1132
GCF_016757555.1;protein_1126,GCF_900478295.1;protein_602,GCF_021729605.1;protein_1130,GCF_017821635.1;protein_1139,GCF_016755675.1;protein_1133
GCF_016757555.1;protein_1127,GCF_900478295.1;protein_601,GCF_021729605.1;protein_1131,GCF_017821635.1;protein_1140,GCF_016755675.1;protein_1134
GCF_016757555.1;protein_1128,GCF_900478295.1;protein_600,GCF_021729605.1;protein_1132,GCF_017821635.1;protein_1141,GCF_016755675.1;protein_1135
GCF_016757555.1;protein_1129,GCF_900478295.1;protein_599,GCF_021729605.1;protein_1133,GCF_017821635.1;protein_1142,GCF_016755675.1;protein_1136
GCF_016757555.1;protein_113,GCF_900478295.1;protein_304,GCF_021729605.1;protein_110,GCF_017821635.1;protein_116,GCF_016755675.1;protein_112
GCF_016757555.1;protein_1130,GCF_900478295.1;protein_598,GCF_021729605.1;protein_1134,GCF_017821635.1;protein_1143,GCF_016755675.1;protein_1137
GCF_016757555.1;protein_1131,GCF_900478295.1;protein_597,GCF_021729605.1;protein_1135,GCF_017821635.1;protein_1144,GCF_016755675.1;protein_1138
GCF_016757555.1;protein_1132,GCF_900478295.1;protein_596,GCF_021729605.1;protein_1136,GCF_017821635.1;protein_1145,GCF_016755675.1;protein_1139
GCF_016757555.1;protein_1135,GCF_900478295.1;protein_593,GCF_021729605.1;protein_1138,GCF_017821635.1;protein_1148,GCF_016755675.1;protein_1141
GCF_016757555.1;protein_1136,GCF_900478295.1;protein_592,GCF_021729605.1;protein_1139,GCF_017821635.1;protein_1149,GCF_016755675.1;protein_1142
GCF_016757555.1;protein_1137,GCF_900478295.1;protein_591,GCF_021729605.1;protein_1140,GCF_017821635.1;protein_1150,GCF_016755675.1;protein_1143
GCF_016757555.1;protein_114,GCF_900478295.1;protein_305,GCF_021729605.1;protein_111,GCF_017821635.1;protein_117,GCF_016755675.1;protein_113
GCF_016757555.1;protein_1140,GCF_900478295.1;protein_588,GCF_021729605.1;protein_1142,GCF_017821635.1;protein_1152,GCF_016755675.1;protein_1145
GCF_016757555.1;protein_1141,GCF_900478295.1;protein_587,GCF_021729605.1;protein_1143,GCF_017821635.1;protein_1153,GCF_016755675.1;protein_1146
GCF_016757555.1;protein_1142,GCF_900478295.1;protein_586,GCF_021729605.1;protein_1144,GCF_017821635.1;protein_1154,GCF_016755675.1;protein_1147
GCF_016757555.1;protein_1143,GCF_900478295.1;protein_585,GCF_021729605.1;protein_1145,GCF_017821635.1;protein_1155,GCF_016755675.1;protein_1148
GCF_016757555.1;protein_1144,GCF_900478295.1;protein_584,GCF_021729605.1;protein_1146,GCF_017821635.1;protein_1156,GCF_016755675.1;protein_1149
GCF_016757555.1;protein_1145,GCF_900478295.1;protein_583,GCF_021729605.1;protein_1147,GCF_017821635.1;protein_1157,GCF_016755675.1;protein_1150
GCF_016757555.1;protein_1146,GCF_900478295.1;protein_582,GCF_021729605.1;protein_1148,GCF_017821635.1;protein_1158,GCF_016755675.1;protein_1151
GCF_016757555.1;protein_1147,GCF_900478295.1;protein_581,GCF_021729605.1;protein_1149,GCF_017821635.1;protein_1159,GCF_016755675.1;protein_1152
GCF_016757555.1;protein_1148,GCF_900478295.1;protein_580,GCF_021729605.1;protein_1150,GCF_017821635.1;protein_1160,GCF_016755675.1;protein_1153
GCF_016757555.1;protein_1149,GCF_900478295.1;protein_579,GCF_021729605.1;protein_1151,GCF_017821635.1;protein_1161,GCF_016755675.1;protein_1154
GCF_016757555.1;protein_115,GCF_900478295.1;protein_306,GCF_021729605.1;protein_112,GCF_017821635.1;protein_118,GCF_016755675.1;protein_114
GCF_016757555.1;protein_1150,GCF_900478295.1;protein_578,GCF_021729605.1;protein_1152,GCF_017821635.1;protein_1162,GCF_016755675.1;protein_1155
GCF_016757555.1;protein_1151,GCF_900478295.1;protein_577,GCF_021729605.1;protein_1153,GCF_017821635.1;protein_1163,GCF_016755675.1;protein_1156
GCF_016757555.1;protein_1152,GCF_900478295.1;protein_576,GCF_021729605.1;protein_1154,GCF_017821635.1;protein_1164,GCF_016755675.1;protein_1157
GCF_016757555.1;protein_1153,GCF_900478295.1;protein_575,GCF_021729605.1;protein_1155,GCF_017821635.1;protein_1165,GCF_016755675.1;protein_1158
GCF_016757555.1;protein_1154,GCF_900478295.1;protein_574,GCF_021729605.1;protein_1156,GCF_017821635.1;protein_1166,GCF_016755675.1;protein_1159
GCF_016757555.1;protein_1156,GCF_900478295.1;protein_572,GCF_021729605.1;protein_1158,GCF_017821635.1;protein_1168,GCF_016755675.1;protein_1161
GCF_016757555.1;protein_1157,GCF_900478295.1;protein_571,GCF_021729605.1;protein_1159,GCF_017821635.1;protein_1169,GCF_016755675.1;protein_1162
GCF_016757555.1;protein_1158,GCF_900478295.1;protein_570,GCF_021729605.1;protein_1160,GCF_017821635.1;protein_1170,GCF_016755675.1;protein_1163
GCF_016757555.1;protein_1159,GCF_900478295.1;protein_569,GCF_021729605.1;protein_1161,GCF_017821635.1;protein_1171,GCF_016755675.1;protein_1164
GCF_016757555.1;protein_116,GCF_900478295.1;protein_307,GCF_021729605.1;protein_113,GCF_017821635.1;protein_119,GCF_016755675.1;protein_115
GCF_016757555.1;protein_1160,GCF_900478295.1;protein_568,GCF_021729605.1;protein_1162,GCF_017821635.1;protein_1172,GCF_016755675.1;protein_1165
GCF_016757555.1;protein_1161,GCF_900478295.1;protein_567,GCF_021729605.1;protein_1163,GCF_017821635.1;protein_1173,GCF_016755675.1;protein_1166
GCF_016757555.1;protein_1162,GCF_900478295.1;protein_566,GCF_021729605.1;protein_1164,GCF_017821635.1;protein_1174,GCF_016755675.1;protein_1167
GCF_016757555.1;protein_1163,GCF_900478295.1;protein_562,GCF_021729605.1;protein_1165,GCF_017821635.1;protein_1175,GCF_016755675.1;protein_1168
GCF_016757555.1;protein_1164,GCF_900478295.1;protein_561,GCF_021729605.1;protein_1166,GCF_017821635.1;protein_1176,GCF_016755675.1;protein_1169
GCF_016757555.1;protein_1165,GCF_900478295.1;protein_560,GCF_021729605.1;protein_1167,GCF_017821635.1;protein_1177,GCF_016755675.1;protein_1170
GCF_016757555.1;protein_1166,GCF_900478295.1;protein_559,GCF_021729605.1;protein_1168,GCF_017821635.1;protein_1178,GCF_016755675.1;protein_1171
GCF_016757555.1;protein_1167,GCF_900478295.1;protein_558,GCF_021729605.1;protein_1169,GCF_017821635.1;protein_1179,GCF_016755675.1;protein_1172
GCF_016757555.1;protein_1168,GCF_900478295.1;protein_557,GCF_021729605.1;protein_1170,GCF_017821635.1;protein_1180,GCF_016755675.1;protein_1173
GCF_016757555.1;protein_1169,GCF_900478295.1;protein_556,GCF_021729605.1;protein_1171,GCF_017821635.1;protein_1181,GCF_016755675.1;protein_1174
GCF_016757555.1;protein_117,GCF_900478295.1;protein_308,GCF_021729605.1;protein_114,GCF_017821635.1;protein_120,GCF_016755675.1;protein_116
GCF_016757555.1;protein_1170,GCF_900478295.1;protein_555,GCF_021729605.1;protein_1172,GCF_017821635.1;protein_1182,GCF_016755675.1;protein_1175
GCF_016757555.1;protein_1171,GCF_900478295.1;protein_554,GCF_021729605.1;protein_1173,GCF_017821635.1;protein_1183,GCF_016755675.1;protein_1176
GCF_016757555.1;protein_1172,GCF_900478295.1;protein_553,GCF_021729605.1;protein_1174,GCF_017821635.1;protein_1184,GCF_016755675.1;protein_1177
GCF_016757555.1;protein_1173,GCF_900478295.1;protein_552,GCF_021729605.1;protein_1175,GCF_017821635.1;protein_1185,GCF_016755675.1;protein_1178
GCF_016757555.1;protein_1174,GCF_900478295.1;protein_551,GCF_021729605.1;protein_1176,GCF_017821635.1;protein_1186,GCF_016755675.1;protein_1179
GCF_016757555.1;protein_1175,GCF_900478295.1;protein_550,GCF_021729605.1;protein_1177,GCF_017821635.1;protein_1187,GCF_016755675.1;protein_1180
GCF_016757555.1;protein_1176,GCF_900478295.1;protein_549,GCF_021729605.1;protein_1178,GCF_017821635.1;protein_1188,GCF_016755675.1;protein_1181
GCF_016757555.1;protein_1177,GCF_900478295.1;protein_548,GCF_021729605.1;protein_1179,GCF_017821635.1;protein_1189,GCF_016755675.1;protein_1182
