GCF_013122035.1;protein_1011,GCF_016755735.1;protein_906,GCF_022921915.1;protein_560,GCF_010917155.1;protein_1299,GCF_010917675.1;protein_461,GCF_016749215.1;protein_889,GCF_003939085.1;protein_886,GCF_000685705.1;protein_737,GCF_000827025.1;protein_869,GCF_020735805.1;protein_1429,,,,,,,
GCF_016755735.1;protein_907,GCF_000685705.1;protein_736,GCF_022921915.1;protein_559,GCF_003939085.1;protein_887,,GCF_020735805.1;protein_1430,GCF_010917675.1;protein_460,GCF_016749215.1;protein_890,GCF_010917155.1;protein_1298,GCF_013122035.1;protein_1012,GCF_000827025.1;protein_870,,,,,,
GCF_013122035.1;protein_1013,GCF_016755735.1;protein_908,GCF_022921915.1;protein_558,GCF_010917155.1;protein_1297,GCF_010917675.1;protein_459,GCF_016749215.1;protein_891,GCF_003939085.1;protein_888,GCF_000685705.1;protein_735,GCF_000827025.1;protein_871,GCF_020735805.1;protein_1431,,,,,,,
GCF_013122035.1;protein_1014,,,GCF_010917155.1;protein_1296,GCF_010917675.1;protein_458,GCF_016749215.1;protein_892,GCF_003939085.1;protein_889,GCF_000685705.1;protein_734,GCF_000827025.1;protein_872,GCF_020735805.1;protein_1432,,,,,,,
GCF_013122035.1;protein_1015,GCF_016755735.1;protein_909,GCF_022921915.1;protein_557,GCF_010917155.1;protein_1295,GCF_010917675.1;protein_457,GCF_016749215.1;protein_893,GCF_003939085.1;protein_890,GCF_000685705.1;protein_733,GCF_000827025.1;protein_873,GCF_020735805.1;protein_1433,,,,,,,
GCF_013122035.1;protein_1016,,GCF_022921915.1;protein_556,GCF_010917155.1;protein_1294,GCF_010917675.1;protein_456,GCF_016749215.1;protein_894,GCF_003939085.1;protein_891,GCF_000685705.1;protein_732,GCF_000827025.1;protein_874,,,,,,,,
GCF_013122035.1;protein_1017,GCF_016755735.1;protein_910,GCF_022921915.1;protein_555,GCF_010917155.1;protein_1293,GCF_010917675.1;protein_455,GCF_016749215.1;protein_895,GCF_003939085.1;protein_892,GCF_000685705.1;protein_731,,,,,,,,,
GCF_013122035.1;protein_1018,GCF_016755735.1;protein_911,GCF_022921915.1;protein_554,GCF_010917155.1;protein_1292,GCF_010917675.1;protein_454,GCF_016749215.1;protein_896,GCF_003939085.1;protein_893,GCF_000685705.1;protein_730,GCF_000827025.1;protein_877,GCF_020735805.1;protein_1436,,,,,,,
GCF_013122035.1;protein_1019,GCF_016755735.1;protein_912,GCF_022921915.1;protein_553,GCF_010917155.1;protein_1291,GCF_010917675.1;protein_453,GCF_016749215.1;protein_897,GCF_003939085.1;protein_894,GCF_000685705.1;protein_729,GCF_000827025.1;protein_878,GCF_020735805.1;protein_1437,,,,,,,
GCF_013122035.1;protein_102,,,,GCF_010917675.1;protein_164,GCF_016749215.1;protein_515,,,,,,,,,,,
GCF_013122035.1;protein_1020,GCF_016755735.1;protein_913,GCF_022921915.1;protein_552,GCF_010917155.1;protein_1290,GCF_010917675.1;protein_452,GCF_016749215.1;protein_898,GCF_003939085.1;protein_895,GCF_000685705.1;protein_728,GCF_000827025.1;protein_879,GCF_020735805.1;protein_1438,,,,,,,
GCF_013122035.1;protein_1021,,GCF_022921915.1;protein_551,GCF_010917155.1;protein_1289,GCF_010917675.1;protein_451,GCF_016749215.1;protein_899,GCF_003939085.1;protein_896,GCF_000685705.1;protein_727,GCF_000827025.1;protein_880,GCF_020735805.1;protein_1439,,,,,,,
GCF_013122035.1;protein_1022,GCF_016755735.1;protein_915,GCF_022921915.1;protein_550,GCF_010917155.1;protein_1288,GCF_010917675.1;protein_450,GCF_016749215.1;protein_900,GCF_003939085.1;protein_897,GCF_000685705.1;protein_726,GCF_000827025.1;protein_881,GCF_020735805.1;protein_1440,,,,,,,
GCF_013122035.1;protein_1023,GCF_016755735.1;protein_916,GCF_022921915.1;protein_549,GCF_010917155.1;protein_1287,GCF_010917675.1;protein_449,GCF_016749215.1;protein_901,GCF_003939085.1;protein_898,GCF_000685705.1;protein_725,GCF_000827025.1;protein_882,GCF_020735805.1;protein_1441,,,,,,,
GCF_013122035.1;protein_1024,GCF_016755735.1;protein_917,GCF_022921915.1;protein_548,GCF_010917155.1;protein_1286,GCF_010917675.1;protein_448,GCF_016749215.1;protein_902,GCF_003939085.1;protein_899,GCF_000685705.1;protein_724,GCF_000827025.1;protein_883,GCF_020735805.1;protein_1442,,,,,,,
GCF_013122035.1;protein_1025,GCF_016755735.1;protein_918,GCF_022921915.1;protein_547,GCF_010917155.1;protein_1285,GCF_010917675.1;protein_447,GCF_016749215.1;protein_903,GCF_003939085.1;protein_900,GCF_000685705.1;protein_723,GCF_000827025.1;protein_884,GCF_020735805.1;protein_1443,,,,,,,
GCF_013122035.1;protein_1026,GCF_016755735.1;protein_919,GCF_022921915.1;protein_546,GCF_010917155.1;protein_1284,GCF_010917675.1;protein_446,GCF_016749215.1;protein_904,GCF_003939085.1;protein_901,GCF_000685705.1;protein_721,GCF_000827025.1;protein_885,GCF_020735805.1;protein_1444,,,,,,,
GCF_013122035.1;protein_1027,GCF_016755735.1;protein_920,GCF_022921915.1;protein_545,GCF_010917155.1;protein_1283,GCF_010917675.1;protein_445,GCF_016749215.1;protein_905,GCF_003939085.1;protein_902,GCF_000685705.1;protein_720,GCF_000827025.1;protein_886,GCF_020735805.1;protein_1445,,,,,,,
GCF_013122035.1;protein_1028,GCF_016755735.1;protein_921,GCF_022921915.1;protein_544,GCF_010917155.1;protein_1282,GCF_010917675.1;protein_444,GCF_016749215.1;protein_906,GCF_003939085.1;protein_903,GCF_000685705.1;protein_719,GCF_000827025.1;protein_887,GCF_020735805.1;protein_1446,,,,,,,
GCF_013122035.1;protein_1029,GCF_016755735.1;protein_922,GCF_022921915.1;protein_543,GCF_010917155.1;protein_1281,GCF_010917675.1;protein_443,GCF_016749215.1;protein_907,GCF_003939085.1;protein_904,GCF_000685705.1;protein_718,GCF_000827025.1;protein_888,GCF_020735805.1;protein_1447,,,,,,,
GCF_013122035.1;protein_103,GCF_016755735.1;protein_268,,,,,GCF_003939085.1;protein_422,,,,,,,,,,
GCF_013122035.1;protein_1030,GCF_016755735.1;protein_923,GCF_022921915.1;protein_542,GCF_010917155.1;protein_1280,GCF_010917675.1;protein_442,GCF_016749215.1;protein_908,GCF_003939085.1;protein_905,GCF_000685705.1;protein_717,GCF_000827025.1;protein_889,GCF_020735805.1;protein_1448,,,,,,,
GCF_013122035.1;protein_1031,GCF_016755735.1;protein_924,GCF_022921915.1;protein_541,GCF_010917155.1;protein_1279,GCF_010917675.1;protein_441,GCF_016749215.1;protein_909,GCF_003939085.1;protein_906,GCF_000685705.1;protein_716,GCF_000827025.1;protein_890,GCF_020735805.1;protein_1449,,,,,,,
GCF_013122035.1;protein_1034,GCF_016755735.1;protein_927,GCF_022921915.1;protein_538,GCF_010917155.1;protein_1521,GCF_010917675.1;protein_1509,GCF_016749215.1;protein_912,GCF_003939085.1;protein_910,GCF_000685705.1;protein_713,GCF_000827025.1;protein_893,GCF_020735805.1;protein_1452,,,,,,,
GCF_013122035.1;protein_1035,GCF_016755735.1;protein_928,GCF_022921915.1;protein_537,GCF_010917155.1;protein_1520,GCF_010917675.1;protein_1510,GCF_016749215.1;protein_913,GCF_003939085.1;protein_911,GCF_000685705.1;protein_712,GCF_000827025.1;protein_894,GCF_020735805.1;protein_1453,,,,,,,
GCF_013122035.1;protein_1036,GCF_016755735.1;protein_929,GCF_022921915.1;protein_536,GCF_010917155.1;protein_1519,GCF_010917675.1;protein_1511,GCF_016749215.1;protein_914,GCF_003939085.1;protein_912,GCF_000685705.1;protein_711,GCF_000827025.1;protein_895,GCF_020735805.1;protein_1454,,,,,,,
GCF_013122035.1;protein_1037,GCF_016755735.1;protein_930,GCF_022921915.1;protein_535,GCF_010917155.1;protein_1518,GCF_010917675.1;protein_1512,GCF_016749215.1;protein_915,GCF_003939085.1;protein_913,GCF_000685705.1;protein_710,GCF_000827025.1;protein_896,GCF_020735805.1;protein_1455,,,,,,,
GCF_013122035.1;protein_1038,GCF_016755735.1;protein_931,GCF_022921915.1;protein_534,GCF_010917155.1;protein_1517,GCF_010917675.1;protein_1513,GCF_016749215.1;protein_916,GCF_003939085.1;protein_914,GCF_000685705.1;protein_709,GCF_000827025.1;protein_897,GCF_020735805.1;protein_1456,,,,,,,
GCF_013122035.1;protein_1039,GCF_016755735.1;protein_932,GCF_022921915.1;protein_533,GCF_010917155.1;protein_1516,GCF_010917675.1;protein_1514,GCF_016749215.1;protein_917,GCF_003939085.1;protein_915,GCF_000685705.1;protein_708,GCF_000827025.1;protein_898,GCF_020735805.1;protein_1457,,,,,,,
GCF_013122035.1;protein_104,GCF_016755735.1;protein_269,,,,,GCF_003939085.1;protein_421,,,,,,,,,,
GCF_013122035.1;protein_1040,GCF_016755735.1;protein_933,GCF_022921915.1;protein_532,GCF_010917155.1;protein_1515,GCF_010917675.1;protein_1515,GCF_016749215.1;protein_918,GCF_003939085.1;protein_916,GCF_000685705.1;protein_707,GCF_000827025.1;protein_899,GCF_020735805.1;protein_1458,,,,,,,
GCF_013122035.1;protein_1041,GCF_016755735.1;protein_934,GCF_022921915.1;protein_531,GCF_010917155.1;protein_1514,GCF_010917675.1;protein_1516,GCF_016749215.1;protein_919,GCF_003939085.1;protein_917,GCF_000685705.1;protein_706,GCF_000827025.1;protein_900,GCF_020735805.1;protein_1459,,,,,,,
GCF_013122035.1;protein_1042,GCF_016755735.1;protein_935,GCF_022921915.1;protein_530,GCF_010917155.1;protein_1513,GCF_010917675.1;protein_1517,GCF_016749215.1;protein_920,GCF_003939085.1;protein_918,GCF_000685705.1;protein_705,GCF_000827025.1;protein_901,GCF_020735805.1;protein_1460,,,,,,,
GCF_013122035.1;protein_1043,GCF_016755735.1;protein_936,GCF_022921915.1;protein_529,GCF_010917155.1;protein_1512,GCF_010917675.1;protein_1518,GCF_016749215.1;protein_921,GCF_003939085.1;protein_919,GCF_000685705.1;protein_704,GCF_000827025.1;protein_902,GCF_020735805.1;protein_1461,,,,,,,
GCF_013122035.1;protein_1044,GCF_016755735.1;protein_937,GCF_022921915.1;protein_528,GCF_010917155.1;protein_1511,GCF_010917675.1;protein_1519,GCF_016749215.1;protein_922,GCF_003939085.1;protein_920,GCF_000685705.1;protein_703,GCF_000827025.1;protein_903,GCF_020735805.1;protein_1462,,,,,,,
GCF_013122035.1;protein_1045,,,,,,,GCF_000685705.1;protein_702,GCF_000827025.1;protein_904,GCF_020735805.1;protein_1463,,,,,,,
GCF_013122035.1;protein_1046,GCF_016755735.1;protein_939,GCF_022921915.1;protein_526,GCF_010917155.1;protein_1031,GCF_010917675.1;protein_1393,GCF_016749215.1;protein_924,GCF_003939085.1;protein_922,GCF_000685705.1;protein_701,GCF_000827025.1;protein_905,GCF_020735805.1;protein_1464,,,,,,,
GCF_013122035.1;protein_1047,GCF_010917155.1;protein_1032,,GCF_022921915.1;protein_525,GCF_000685705.1;protein_700,GCF_016749215.1;protein_925,GCF_020735805.1;protein_1465,GCF_010917675.1;protein_1394,GCF_016755735.1;protein_940,GCF_003939085.1;protein_923,,,,,,,
GCF_013122035.1;protein_1048,GCF_016755735.1;protein_941,GCF_022921915.1;protein_524,GCF_010917155.1;protein_1033,GCF_010917675.1;protein_1395,GCF_016749215.1;protein_926,GCF_003939085.1;protein_925,GCF_000685705.1;protein_699,GCF_000827025.1;protein_907,GCF_020735805.1;protein_1466,,,,,,,
GCF_013122035.1;protein_1049,GCF_016755735.1;protein_942,GCF_022921915.1;protein_523,GCF_010917155.1;protein_1034,GCF_010917675.1;protein_1396,GCF_016749215.1;protein_927,GCF_003939085.1;protein_926,GCF_000685705.1;protein_698,GCF_000827025.1;protein_908,GCF_020735805.1;protein_1467,,,,,,,
GCF_013122035.1;protein_105,GCF_016755735.1;protein_270,,,,,,,,,,,,,,,
GCF_013122035.1;protein_1050,GCF_016755735.1;protein_943,GCF_022921915.1;protein_522,GCF_010917155.1;protein_1035,GCF_010917675.1;protein_1397,GCF_016749215.1;protein_928,GCF_003939085.1;protein_927,GCF_000685705.1;protein_697,GCF_000827025.1;protein_909,GCF_020735805.1;protein_1468,,,,,,,
GCF_013122035.1;protein_1051,GCF_016755735.1;protein_944,GCF_022921915.1;protein_521,GCF_010917155.1;protein_1036,GCF_010917675.1;protein_1398,GCF_016749215.1;protein_929,GCF_003939085.1;protein_928,GCF_000685705.1;protein_696,GCF_000827025.1;protein_910,GCF_020735805.1;protein_1469,,,,,,,
GCF_013122035.1;protein_1052,GCF_016755735.1;protein_945,GCF_022921915.1;protein_520,GCF_010917155.1;protein_1037,GCF_010917675.1;protein_1399,GCF_016749215.1;protein_930,GCF_003939085.1;protein_929,GCF_000685705.1;protein_695,GCF_000827025.1;protein_911,GCF_020735805.1;protein_1470,,,,,,,
GCF_013122035.1;protein_1053,GCF_016755735.1;protein_946,GCF_022921915.1;protein_519,GCF_010917155.1;protein_1038,GCF_010917675.1;protein_1400,GCF_016749215.1;protein_931,GCF_003939085.1;protein_930,GCF_000685705.1;protein_694,GCF_000827025.1;protein_912,GCF_020735805.1;protein_1471,,,,,,,
GCF_013122035.1;protein_1054,GCF_016755735.1;protein_948,GCF_022921915.1;protein_517,GCF_010917155.1;protein_1039,GCF_010917675.1;protein_1401,GCF_016749215.1;protein_932,GCF_003939085.1;protein_931,GCF_000685705.1;protein_692,GCF_000827025.1;protein_914,GCF_020735805.1;protein_1472,,,,,,,
GCF_013122035.1;protein_1055,GCF_016755735.1;protein_949,GCF_022921915.1;protein_516,GCF_010917155.1;protein_1040,GCF_010917675.1;protein_1402,GCF_016749215.1;protein_933,GCF_003939085.1;protein_932,GCF_000685705.1;protein_691,GCF_000827025.1;protein_915,GCF_020735805.1;protein_1473,,,,,,,
GCF_013122035.1;protein_1056,GCF_016755735.1;protein_950,GCF_022921915.1;protein_515,GCF_010917155.1;protein_1041,GCF_010917675.1;protein_1403,GCF_016749215.1;protein_934,GCF_003939085.1;protein_933,GCF_000685705.1;protein_690,GCF_000827025.1;protein_916,GCF_020735805.1;protein_1476,,,,,,,
GCF_013122035.1;protein_1057,GCF_016755735.1;protein_951,GCF_022921915.1;protein_514,GCF_010917155.1;protein_1042,GCF_010917675.1;protein_1404,GCF_016749215.1;protein_935,GCF_003939085.1;protein_934,GCF_000685705.1;protein_689,GCF_000827025.1;protein_917,GCF_020735805.1;protein_1477,,,,,,,
GCF_013122035.1;protein_1058,GCF_016755735.1;protein_952,GCF_022921915.1;protein_513,GCF_010917155.1;protein_1043,GCF_010917675.1;protein_1405,GCF_016749215.1;protein_936,GCF_003939085.1;protein_935,GCF_000685705.1;protein_688,GCF_000827025.1;protein_918,GCF_020735805.1;protein_1478,,,,,,,
GCF_013122035.1;protein_1059,GCF_016755735.1;protein_953,GCF_022921915.1;protein_512,GCF_010917155.1;protein_1044,GCF_010917675.1;protein_1406,GCF_016749215.1;protein_937,GCF_003939085.1;protein_936,GCF_000685705.1;protein_687,GCF_000827025.1;protein_919,GCF_020735805.1;protein_1479,,,,,,,
GCF_013122035.1;protein_106,,,,GCF_010917675.1;protein_160,GCF_016749215.1;protein_508,GCF_003939085.1;protein_419,GCF_000685705.1;protein_198,GCF_000827025.1;protein_960,,,,,,,,
GCF_013122035.1;protein_1060,GCF_016755735.1;protein_954,GCF_022921915.1;protein_511,GCF_010917155.1;protein_1045,GCF_010917675.1;protein_1407,GCF_016749215.1;protein_938,GCF_003939085.1;protein_937,GCF_000685705.1;protein_686,GCF_000827025.1;protein_920,GCF_020735805.1;protein_1480,,,,,,,
GCF_013122035.1;protein_1061,GCF_016755735.1;protein_955,GCF_022921915.1;protein_510,GCF_010917155.1;protein_1046,GCF_010917675.1;protein_1408,GCF_016749215.1;protein_939,GCF_003939085.1;protein_938,GCF_000685705.1;protein_685,GCF_000827025.1;protein_921,GCF_020735805.1;protein_1481,,,,,,,
GCF_013122035.1;protein_1062,GCF_016755735.1;protein_956,GCF_022921915.1;protein_509,GCF_010917155.1;protein_1047,GCF_010917675.1;protein_1409,GCF_016749215.1;protein_940,GCF_003939085.1;protein_939,GCF_000685705.1;protein_684,GCF_000827025.1;protein_922,GCF_020735805.1;protein_1482,,,,,,,
GCF_013122035.1;protein_1063,GCF_016755735.1;protein_957,GCF_022921915.1;protein_508,GCF_010917155.1;protein_1048,GCF_010917675.1;protein_1410,GCF_016749215.1;protein_941,GCF_003939085.1;protein_940,GCF_000685705.1;protein_683,GCF_000827025.1;protein_923,GCF_020735805.1;protein_1483,,,,,,,
GCF_013122035.1;protein_1064,GCF_016755735.1;protein_958,GCF_022921915.1;protein_507,GCF_010917155.1;protein_1049,GCF_010917675.1;protein_1411,GCF_016749215.1;protein_942,GCF_003939085.1;protein_941,GCF_000685705.1;protein_682,GCF_000827025.1;protein_924,GCF_020735805.1;protein_1484,,,,,,,
GCF_013122035.1;protein_1065,GCF_016755735.1;protein_959,GCF_022921915.1;protein_506,GCF_010917155.1;protein_1050,GCF_010917675.1;protein_1412,GCF_016749215.1;protein_943,GCF_003939085.1;protein_942,GCF_000685705.1;protein_681,GCF_000827025.1;protein_925,GCF_020735805.1;protein_1485,,,,,,,
GCF_013122035.1;protein_1066,GCF_016755735.1;protein_960,GCF_022921915.1;protein_505,GCF_010917155.1;protein_1051,GCF_010917675.1;protein_1413,GCF_016749215.1;protein_944,GCF_003939085.1;protein_943,GCF_000685705.1;protein_680,GCF_000827025.1;protein_926,GCF_020735805.1;protein_1486,,,,,,,
GCF_013122035.1;protein_1067,GCF_016755735.1;protein_961,GCF_022921915.1;protein_504,GCF_010917155.1;protein_1052,GCF_010917675.1;protein_1414,GCF_016749215.1;protein_945,GCF_003939085.1;protein_944,GCF_000685705.1;protein_679,GCF_000827025.1;protein_927,GCF_020735805.1;protein_1487,,,,,,,
GCF_013122035.1;protein_1068,GCF_016755735.1;protein_962,GCF_022921915.1;protein_503,GCF_010917155.1;protein_1053,GCF_010917675.1;protein_1415,GCF_016749215.1;protein_946,GCF_003939085.1;protein_945,GCF_000685705.1;protein_678,GCF_000827025.1;protein_928,GCF_020735805.1;protein_1488,,,,,,,
GCF_013122035.1;protein_1069,GCF_016755735.1;protein_963,GCF_022921915.1;protein_502,GCF_010917155.1;protein_1054,GCF_010917675.1;protein_1416,GCF_016749215.1;protein_947,GCF_003939085.1;protein_946,GCF_000685705.1;protein_677,GCF_000827025.1;protein_929,GCF_020735805.1;protein_1489,,,,,,,
GCF_013122035.1;protein_107,GCF_016755735.1;protein_1522,,,GCF_010917675.1;protein_159,GCF_016749215.1;protein_507,GCF_003939085.1;protein_418,GCF_000685705.1;protein_199,GCF_000827025.1;protein_961,,,,,,,,
GCF_000685705.1;protein_676,GCF_022921915.1;protein_501,GCF_003939085.1;protein_947,GCF_016749215.1;protein_948,,GCF_020735805.1;protein_1490,GCF_013122035.1;protein_1070,,,,,,,,,,
GCF_013122035.1;protein_1071,,,GCF_010917155.1;protein_1056,,GCF_016749215.1;protein_949,GCF_003939085.1;protein_948,GCF_000685705.1;protein_675,GCF_000827025.1;protein_931,,,,,,,,
GCF_013122035.1;protein_1072,GCF_016755735.1;protein_966,,GCF_010917155.1;protein_1057,GCF_010917675.1;protein_1255,GCF_016749215.1;protein_950,GCF_003939085.1;protein_949,GCF_000685705.1;protein_674,GCF_000827025.1;protein_932,GCF_020735805.1;protein_1495,,,,,,,
GCF_013122035.1;protein_1073,GCF_016755735.1;protein_968,GCF_022921915.1;protein_498,GCF_010917155.1;protein_1058,GCF_010917675.1;protein_1254,GCF_016749215.1;protein_952,GCF_003939085.1;protein_951,GCF_000685705.1;protein_673,GCF_000827025.1;protein_934,GCF_020735805.1;protein_1496,,,,,,,
GCF_013122035.1;protein_1074,GCF_016755735.1;protein_969,GCF_022921915.1;protein_497,GCF_010917155.1;protein_1059,GCF_010917675.1;protein_1253,GCF_016749215.1;protein_953,GCF_003939085.1;protein_952,GCF_000685705.1;protein_672,GCF_000827025.1;protein_935,GCF_020735805.1;protein_1497,,,,,,,
GCF_013122035.1;protein_1075,GCF_016755735.1;protein_970,GCF_022921915.1;protein_496,GCF_010917155.1;protein_1060,GCF_010917675.1;protein_1252,GCF_016749215.1;protein_954,GCF_003939085.1;protein_953,GCF_000685705.1;protein_671,GCF_000827025.1;protein_936,GCF_020735805.1;protein_1498,,,,,,,
GCF_013122035.1;protein_1076,GCF_016755735.1;protein_971,GCF_022921915.1;protein_495,GCF_010917155.1;protein_1061,GCF_010917675.1;protein_1251,GCF_016749215.1;protein_955,GCF_003939085.1;protein_954,GCF_000685705.1;protein_670,GCF_000827025.1;protein_937,GCF_020735805.1;protein_1499,,,,,,,
GCF_013122035.1;protein_1077,GCF_016755735.1;protein_972,GCF_022921915.1;protein_494,GCF_010917155.1;protein_1062,GCF_010917675.1;protein_1250,GCF_016749215.1;protein_956,GCF_003939085.1;protein_955,GCF_000685705.1;protein_669,GCF_000827025.1;protein_938,GCF_020735805.1;protein_1500,,,,,,,
GCF_013122035.1;protein_1078,GCF_016755735.1;protein_973,GCF_022921915.1;protein_493,GCF_010917155.1;protein_1063,GCF_010917675.1;protein_1249,GCF_016749215.1;protein_957,GCF_003939085.1;protein_956,GCF_000685705.1;protein_668,GCF_000827025.1;protein_939,GCF_020735805.1;protein_1501,,,,,,,
GCF_013122035.1;protein_1079,GCF_016755735.1;protein_974,GCF_022921915.1;protein_492,GCF_010917155.1;protein_1064,GCF_010917675.1;protein_1248,GCF_016749215.1;protein_958,GCF_003939085.1;protein_957,GCF_000685705.1;protein_667,GCF_000827025.1;protein_940,GCF_020735805.1;protein_1502,,,,,,,
GCF_013122035.1;protein_108,GCF_016755735.1;protein_272,,,GCF_010917675.1;protein_158,GCF_016749215.1;protein_506,GCF_003939085.1;protein_417,GCF_000685705.1;protein_200,GCF_000827025.1;protein_962,,,,,,,,
GCF_013122035.1;protein_1080,GCF_016755735.1;protein_975,GCF_022921915.1;protein_491,GCF_010917155.1;protein_1065,GCF_010917675.1;protein_1247,GCF_016749215.1;protein_959,GCF_003939085.1;protein_958,GCF_000685705.1;protein_666,GCF_000827025.1;protein_941,GCF_020735805.1;protein_1503,,,,,,,
GCF_013122035.1;protein_1081,GCF_016755735.1;protein_976,GCF_022921915.1;protein_490,GCF_010917155.1;protein_1066,GCF_010917675.1;protein_1246,GCF_016749215.1;protein_960,GCF_003939085.1;protein_959,GCF_000685705.1;protein_665,GCF_000827025.1;protein_942,GCF_020735805.1;protein_1504,,,,,,,
GCF_013122035.1;protein_1082,GCF_016755735.1;protein_977,GCF_022921915.1;protein_489,GCF_010917155.1;protein_1067,GCF_010917675.1;protein_1245,GCF_016749215.1;protein_961,GCF_003939085.1;protein_960,GCF_000685705.1;protein_664,GCF_000827025.1;protein_943,GCF_020735805.1;protein_1505,,,,,,,
GCF_013122035.1;protein_1083,GCF_016755735.1;protein_978,GCF_022921915.1;protein_488,GCF_010917155.1;protein_1068,GCF_010917675.1;protein_1244,GCF_016749215.1;protein_962,GCF_003939085.1;protein_961,GCF_000685705.1;protein_663,GCF_000827025.1;protein_944,GCF_020735805.1;protein_1506,,,,,,,
GCF_013122035.1;protein_1084,GCF_016755735.1;protein_979,GCF_022921915.1;protein_487,GCF_010917155.1;protein_1069,GCF_010917675.1;protein_1243,GCF_016749215.1;protein_963,GCF_003939085.1;protein_962,GCF_000685705.1;protein_662,GCF_000827025.1;protein_945,GCF_020735805.1;protein_1507,,,,,,,
GCF_013122035.1;protein_1085,,,,,,GCF_003939085.1;protein_963,,,,,,,,,,
GCF_013122035.1;protein_1087,GCF_016755735.1;protein_980,GCF_022921915.1;protein_485,GCF_010917155.1;protein_1071,GCF_010917675.1;protein_1240,GCF_016749215.1;protein_965,GCF_003939085.1;protein_965,GCF_000685705.1;protein_657,GCF_000827025.1;protein_951,GCF_020735805.1;protein_1513,,,,,,,
GCF_013122035.1;protein_1088,,,GCF_010917155.1;protein_1072,,GCF_016749215.1;protein_966,GCF_003939085.1;protein_966,,,,,,,,,,
GCF_013122035.1;protein_109,GCF_016755735.1;protein_273,,,GCF_010917675.1;protein_157,GCF_016749215.1;protein_886,GCF_003939085.1;protein_416,GCF_000685705.1;protein_213,GCF_000827025.1;protein_963,,,,,,,,
