GCF_002953555.1,GCF_010917155.1,GCF_003050665.1,GCF_019974055.1,GCF_022923035.1,GCF_022925215.1,GCF_016748795.1,GCF_017821355.1,GCF_017821275.1,GCF_003636855.2,GCF_030323385.1,GCF_002952575.1,GCF_017821635.1,GCF_006337405.1,GCF_002952635.1,GCF_001653415.1,GCF_022923775.1,GCF_017821475.1,GCF_002906535.1,GCF_051131785.1,GCF_020735805.1,GCF_013122035.1,GCF_002906555.1,GCF_030323485.1,GCF_030062605.1,GCF_022921575.1,GCF_022925945.1,GCF_017821595.1,GCF_002951975.1,GCF_006337745.1
GCF_002953555.1;protein_1007,GCF_010917155.1;protein_710,GCF_003050665.1;protein_513,GCF_019974055.1;protein_793,GCF_022923035.1;protein_991,GCF_022925215.1;protein_980,GCF_016748795.1;protein_389,GCF_017821355.1;protein_392,GCF_017821275.1;protein_390,GCF_003636855.2;protein_1409,GCF_030323385.1;protein_552,GCF_002952575.1;protein_1050,GCF_017821635.1;protein_398,GCF_006337405.1;protein_1040,GCF_002952635.1;protein_1055,GCF_001653415.1;protein_457,GCF_022923775.1;protein_1052,GCF_017821475.1;protein_390,GCF_002906535.1;protein_1005,GCF_051131785.1;protein_1052,GCF_020735805.1;protein_966,GCF_013122035.1;protein_574,GCF_002906555.1;protein_1004,GCF_030323485.1;protein_1007,GCF_030062605.1;protein_330,GCF_022921575.1;protein_1010,GCF_022925945.1;protein_1020,GCF_017821595.1;protein_391,GCF_002951975.1;protein_1050,GCF_006337745.1;protein_493
GCF_002953555.1;protein_1008,GCF_010917155.1;protein_709,GCF_003050665.1;protein_514,GCF_019974055.1;protein_792,GCF_022923035.1;protein_992,GCF_022925215.1;protein_981,GCF_016748795.1;protein_388,GCF_017821355.1;protein_391,GCF_017821275.1;protein_389,GCF_003636855.2;protein_1410,GCF_030323385.1;protein_551,GCF_002952575.1;protein_1051,GCF_017821635.1;protein_397,GCF_006337405.1;protein_1041,GCF_002952635.1;protein_1056,GCF_001653415.1;protein_456,GCF_022923775.1;protein_1053,GCF_017821475.1;protein_389,GCF_002906535.1;protein_1006,GCF_051131785.1;protein_1053,GCF_020735805.1;protein_965,GCF_013122035.1;protein_573,GCF_002906555.1;protein_1005,GCF_030323485.1;protein_1008,GCF_030062605.1;protein_329,GCF_022921575.1;protein_1011,GCF_022925945.1;protein_1021,GCF_017821595.1;protein_390,GCF_002951975.1;protein_1051,GCF_006337745.1;protein_492
GCF_002953555.1;protein_1009,GCF_010917155.1;protein_708,GCF_003050665.1;protein_515,GCF_019974055.1;protein_791,GCF_022923035.1;protein_993,GCF_022925215.1;protein_982,GCF_016748795.1;protein_387,GCF_017821355.1;protein_390,GCF_017821275.1;protein_388,GCF_003636855.2;protein_1411,GCF_030323385.1;protein_550,GCF_002952575.1;protein_1052,GCF_017821635.1;protein_396,GCF_006337405.1;protein_1042,GCF_002952635.1;protein_1057,GCF_001653415.1;protein_455,GCF_022923775.1;protein_1054,GCF_017821475.1;protein_388,GCF_002906535.1;protein_1007,GCF_051131785.1;protein_1054,GCF_020735805.1;protein_964,GCF_013122035.1;protein_572,GCF_002906555.1;protein_1006,GCF_030323485.1;protein_1009,GCF_030062605.1;protein_328,GCF_022921575.1;protein_1012,GCF_022925945.1;protein_1022,GCF_017821595.1;protein_389,GCF_002951975.1;protein_1052,GCF_006337745.1;protein_491
GCF_002953555.1;protein_101,GCF_010917155.1;protein_119,GCF_003050665.1;protein_1077,GCF_019974055.1;protein_286,GCF_022923035.1;protein_1295,GCF_022925215.1;protein_1276,GCF_016748795.1;protein_100,GCF_017821355.1;protein_100,GCF_017821275.1;protein_99,GCF_003636855.2;protein_141,GCF_030323385.1;protein_255,GCF_002952575.1;protein_1337,GCF_017821635.1;protein_102,GCF_006337405.1;protein_1378,GCF_002952635.1;protein_1342,GCF_001653415.1;protein_156,GCF_022923775.1;protein_1345,GCF_017821475.1;protein_99,GCF_002906535.1;protein_100,GCF_051131785.1;protein_1348,GCF_020735805.1;protein_670,GCF_013122035.1;protein_281,GCF_002906555.1;protein_100,GCF_030323485.1;protein_1303,GCF_030062605.1;protein_1126,GCF_022921575.1;protein_1498,GCF_022925945.1;protein_1321,GCF_017821595.1;protein_101,GCF_002951975.1;protein_1338,GCF_006337745.1;protein_1391
GCF_002953555.1;protein_1010,GCF_010917155.1;protein_707,GCF_003050665.1;protein_516,GCF_019974055.1;protein_790,GCF_022923035.1;protein_994,GCF_022925215.1;protein_983,GCF_016748795.1;protein_386,GCF_017821355.1;protein_389,GCF_017821275.1;protein_387,GCF_003636855.2;protein_1412,GCF_030323385.1;protein_549,GCF_002952575.1;protein_1053,GCF_017821635.1;protein_395,GCF_006337405.1;protein_1043,GCF_002952635.1;protein_1058,GCF_001653415.1;protein_454,GCF_022923775.1;protein_1055,GCF_017821475.1;protein_387,GCF_002906535.1;protein_1008,GCF_051131785.1;protein_1055,GCF_020735805.1;protein_963,GCF_013122035.1;protein_571,GCF_002906555.1;protein_1007,GCF_030323485.1;protein_1010,GCF_030062605.1;protein_327,GCF_022921575.1;protein_1013,GCF_022925945.1;protein_1023,GCF_017821595.1;protein_388,GCF_002951975.1;protein_1053,GCF_006337745.1;protein_490
GCF_002953555.1;protein_1011,GCF_010917155.1;protein_706,GCF_003050665.1;protein_517,GCF_019974055.1;protein_789,GCF_022923035.1;protein_995,GCF_022925215.1;protein_984,GCF_016748795.1;protein_385,GCF_017821355.1;protein_388,GCF_017821275.1;protein_386,GCF_003636855.2;protein_1413,GCF_030323385.1;protein_548,GCF_002952575.1;protein_1054,GCF_017821635.1;protein_394,GCF_006337405.1;protein_1044,GCF_002952635.1;protein_1059,GCF_001653415.1;protein_453,GCF_022923775.1;protein_1056,GCF_017821475.1;protein_386,GCF_002906535.1;protein_1009,GCF_051131785.1;protein_1056,GCF_020735805.1;protein_962,GCF_013122035.1;protein_570,GCF_002906555.1;protein_1008,GCF_030323485.1;protein_1011,GCF_030062605.1;protein_326,GCF_022921575.1;protein_1014,GCF_022925945.1;protein_1024,GCF_017821595.1;protein_387,GCF_002951975.1;protein_1054,GCF_006337745.1;protein_489
GCF_002953555.1;protein_1012,GCF_010917155.1;protein_705,GCF_003050665.1;protein_518,GCF_019974055.1;protein_788,GCF_022923035.1;protein_996,GCF_022925215.1;protein_985,GCF_016748795.1;protein_384,GCF_017821355.1;protein_387,GCF_017821275.1;protein_385,GCF_003636855.2;protein_1414,GCF_030323385.1;protein_547,GCF_002952575.1;protein_1055,GCF_017821635.1;protein_393,GCF_006337405.1;protein_1045,GCF_002952635.1;protein_1060,GCF_001653415.1;protein_452,GCF_022923775.1;protein_1057,GCF_017821475.1;protein_385,GCF_002906535.1;protein_1010,GCF_051131785.1;protein_1057,GCF_020735805.1;protein_961,GCF_013122035.1;protein_569,GCF_002906555.1;protein_1009,GCF_030323485.1;protein_1012,GCF_030062605.1;protein_325,GCF_022921575.1;protein_1015,GCF_022925945.1;protein_1025,GCF_017821595.1;protein_386,GCF_002951975.1;protein_1055,GCF_006337745.1;protein_488
GCF_002953555.1;protein_1013,GCF_010917155.1;protein_704,GCF_003050665.1;protein_519,GCF_019974055.1;protein_787,GCF_022923035.1;protein_997,GCF_022925215.1;protein_986,GCF_016748795.1;protein_382,GCF_017821355.1;protein_386,GCF_017821275.1;protein_383,GCF_003636855.2;protein_1415,GCF_030323385.1;protein_545,GCF_002952575.1;protein_1056,GCF_017821635.1;protein_391,GCF_006337405.1;protein_1046,GCF_002952635.1;protein_1061,GCF_001653415.1;protein_450,GCF_022923775.1;protein_1058,GCF_017821475.1;protein_383,GCF_002906535.1;protein_1011,GCF_051131785.1;protein_1058,GCF_020735805.1;protein_960,GCF_013122035.1;protein_568,GCF_002906555.1;protein_1010,GCF_030323485.1;protein_1013,GCF_030062605.1;protein_324,GCF_022921575.1;protein_1016,GCF_022925945.1;protein_1026,GCF_017821595.1;protein_384,GCF_002951975.1;protein_1056,GCF_006337745.1;protein_486
GCF_002953555.1;protein_1014,GCF_010917155.1;protein_703,GCF_003050665.1;protein_520,GCF_019974055.1;protein_786,GCF_022923035.1;protein_998,GCF_022925215.1;protein_987,GCF_016748795.1;protein_381,GCF_017821355.1;protein_385,GCF_017821275.1;protein_382,GCF_003636855.2;protein_1416,GCF_030323385.1;protein_544,GCF_002952575.1;protein_1057,GCF_017821635.1;protein_390,GCF_006337405.1;protein_1047,GCF_002952635.1;protein_1062,GCF_001653415.1;protein_449,GCF_022923775.1;protein_1059,GCF_017821475.1;protein_382,GCF_002906535.1;protein_1012,GCF_051131785.1;protein_1059,GCF_020735805.1;protein_959,GCF_013122035.1;protein_567,GCF_002906555.1;protein_1011,GCF_030323485.1;protein_1014,GCF_030062605.1;protein_323,GCF_022921575.1;protein_1017,GCF_022925945.1;protein_1027,GCF_017821595.1;protein_383,GCF_002951975.1;protein_1057,GCF_006337745.1;protein_485
GCF_002953555.1;protein_1016,GCF_010917155.1;protein_702,GCF_003050665.1;protein_522,GCF_019974055.1;protein_784,GCF_022923035.1;protein_1000,GCF_022925215.1;protein_989,GCF_016748795.1;protein_379,GCF_017821355.1;protein_383,GCF_017821275.1;protein_381,GCF_003636855.2;protein_1418,GCF_030323385.1;protein_542,GCF_002952575.1;protein_1059,GCF_017821635.1;protein_389,GCF_006337405.1;protein_1049,GCF_002952635.1;protein_1064,GCF_001653415.1;protein_448,GCF_022923775.1;protein_1061,GCF_017821475.1;protein_381,GCF_002906535.1;protein_1014,GCF_051131785.1;protein_1061,GCF_020735805.1;protein_957,GCF_013122035.1;protein_565,GCF_002906555.1;protein_1013,GCF_030323485.1;protein_1016,GCF_030062605.1;protein_321,GCF_022921575.1;protein_1019,GCF_022925945.1;protein_1029,GCF_017821595.1;protein_382,GCF_002951975.1;protein_1059,GCF_006337745.1;protein_483
GCF_002953555.1;protein_1017,GCF_010917155.1;protein_701,GCF_003050665.1;protein_523,GCF_019974055.1;protein_783,GCF_022923035.1;protein_1001,GCF_022925215.1;protein_990,GCF_016748795.1;protein_378,GCF_017821355.1;protein_382,GCF_017821275.1;protein_380,GCF_003636855.2;protein_1419,GCF_030323385.1;protein_541,GCF_002952575.1;protein_1060,GCF_017821635.1;protein_388,GCF_006337405.1;protein_1050,GCF_002952635.1;protein_1065,GCF_001653415.1;protein_447,GCF_022923775.1;protein_1062,GCF_017821475.1;protein_380,GCF_002906535.1;protein_1015,GCF_051131785.1;protein_1062,GCF_020735805.1;protein_956,GCF_013122035.1;protein_564,GCF_002906555.1;protein_1014,GCF_030323485.1;protein_1017,GCF_030062605.1;protein_320,GCF_022921575.1;protein_1020,GCF_022925945.1;protein_1030,GCF_017821595.1;protein_381,GCF_002951975.1;protein_1060,GCF_006337745.1;protein_482
GCF_002953555.1;protein_1018,GCF_010917155.1;protein_700,GCF_003050665.1;protein_524,GCF_019974055.1;protein_782,GCF_022923035.1;protein_1002,GCF_022925215.1;protein_991,GCF_016748795.1;protein_377,GCF_017821355.1;protein_381,GCF_017821275.1;protein_379,GCF_003636855.2;protein_1420,GCF_030323385.1;protein_540,GCF_002952575.1;protein_1061,GCF_017821635.1;protein_387,GCF_006337405.1;protein_1051,GCF_002952635.1;protein_1066,GCF_001653415.1;protein_446,GCF_022923775.1;protein_1063,GCF_017821475.1;protein_379,GCF_002906535.1;protein_1016,GCF_051131785.1;protein_1063,GCF_020735805.1;protein_955,GCF_013122035.1;protein_563,GCF_002906555.1;protein_1015,GCF_030323485.1;protein_1018,GCF_030062605.1;protein_319,GCF_022921575.1;protein_1021,GCF_022925945.1;protein_1031,GCF_017821595.1;protein_380,GCF_002951975.1;protein_1061,GCF_006337745.1;protein_481
GCF_002953555.1;protein_1019,GCF_010917155.1;protein_699,GCF_003050665.1;protein_525,GCF_019974055.1;protein_781,GCF_022923035.1;protein_1003,GCF_022925215.1;protein_992,GCF_016748795.1;protein_376,GCF_017821355.1;protein_380,GCF_017821275.1;protein_378,GCF_003636855.2;protein_1421,GCF_030323385.1;protein_539,GCF_002952575.1;protein_1062,GCF_017821635.1;protein_386,GCF_006337405.1;protein_1052,GCF_002952635.1;protein_1067,GCF_001653415.1;protein_445,GCF_022923775.1;protein_1064,GCF_017821475.1;protein_378,GCF_002906535.1;protein_1017,GCF_051131785.1;protein_1064,GCF_020735805.1;protein_954,GCF_013122035.1;protein_562,GCF_002906555.1;protein_1016,GCF_030323485.1;protein_1019,GCF_030062605.1;protein_318,GCF_022921575.1;protein_1022,GCF_022925945.1;protein_1032,GCF_017821595.1;protein_379,GCF_002951975.1;protein_1062,GCF_006337745.1;protein_480
GCF_002953555.1;protein_102,GCF_010917155.1;protein_118,GCF_003050665.1;protein_1078,GCF_019974055.1;protein_287,GCF_022923035.1;protein_1294,GCF_022925215.1;protein_1277,GCF_016748795.1;protein_101,GCF_017821355.1;protein_101,GCF_017821275.1;protein_100,GCF_003636855.2;protein_140,GCF_030323385.1;protein_256,GCF_002952575.1;protein_1336,GCF_017821635.1;protein_103,GCF_006337405.1;protein_1377,GCF_002952635.1;protein_1341,GCF_001653415.1;protein_157,GCF_022923775.1;protein_1344,GCF_017821475.1;protein_100,GCF_002906535.1;protein_101,GCF_051131785.1;protein_1347,GCF_020735805.1;protein_671,GCF_013122035.1;protein_282,GCF_002906555.1;protein_101,GCF_030323485.1;protein_1302,GCF_030062605.1;protein_1127,GCF_022921575.1;protein_1497,GCF_022925945.1;protein_1320,GCF_017821595.1;protein_102,GCF_002951975.1;protein_1337,GCF_006337745.1;protein_1390
GCF_002953555.1;protein_1020,GCF_010917155.1;protein_698,GCF_003050665.1;protein_526,GCF_019974055.1;protein_780,GCF_022923035.1;protein_1004,GCF_022925215.1;protein_993,GCF_016748795.1;protein_375,GCF_017821355.1;protein_379,GCF_017821275.1;protein_377,GCF_003636855.2;protein_1422,GCF_030323385.1;protein_538,GCF_002952575.1;protein_1063,GCF_017821635.1;protein_385,GCF_006337405.1;protein_1053,GCF_002952635.1;protein_1068,GCF_001653415.1;protein_444,GCF_022923775.1;protein_1065,GCF_017821475.1;protein_377,GCF_002906535.1;protein_1018,GCF_051131785.1;protein_1065,GCF_020735805.1;protein_953,GCF_013122035.1;protein_561,GCF_002906555.1;protein_1017,GCF_030323485.1;protein_1020,GCF_030062605.1;protein_317,GCF_022921575.1;protein_1023,GCF_022925945.1;protein_1033,GCF_017821595.1;protein_378,GCF_002951975.1;protein_1063,GCF_006337745.1;protein_479
GCF_002953555.1;protein_1021,GCF_010917155.1;protein_697,GCF_003050665.1;protein_527,GCF_019974055.1;protein_779,GCF_022923035.1;protein_1005,GCF_022925215.1;protein_994,GCF_016748795.1;protein_374,GCF_017821355.1;protein_378,GCF_017821275.1;protein_376,GCF_003636855.2;protein_1423,GCF_030323385.1;protein_537,GCF_002952575.1;protein_1064,GCF_017821635.1;protein_384,GCF_006337405.1;protein_1054,GCF_002952635.1;protein_1069,GCF_001653415.1;protein_443,GCF_022923775.1;protein_1066,GCF_017821475.1;protein_376,GCF_002906535.1;protein_1019,GCF_051131785.1;protein_1066,GCF_020735805.1;protein_952,GCF_013122035.1;protein_560,GCF_002906555.1;protein_1018,GCF_030323485.1;protein_1021,GCF_030062605.1;protein_316,GCF_022921575.1;protein_1024,GCF_022925945.1;protein_1034,GCF_017821595.1;protein_377,GCF_002951975.1;protein_1064,GCF_006337745.1;protein_478
GCF_002953555.1;protein_1022,GCF_010917155.1;protein_696,GCF_003050665.1;protein_528,GCF_019974055.1;protein_778,GCF_022923035.1;protein_1006,GCF_022925215.1;protein_995,GCF_016748795.1;protein_373,GCF_017821355.1;protein_377,GCF_017821275.1;protein_375,GCF_003636855.2;protein_1424,GCF_030323385.1;protein_536,GCF_002952575.1;protein_1065,GCF_017821635.1;protein_383,GCF_006337405.1;protein_1055,GCF_002952635.1;protein_1070,GCF_001653415.1;protein_442,GCF_022923775.1;protein_1067,GCF_017821475.1;protein_375,GCF_002906535.1;protein_1020,GCF_051131785.1;protein_1067,GCF_020735805.1;protein_951,GCF_013122035.1;protein_559,GCF_002906555.1;protein_1019,GCF_030323485.1;protein_1022,GCF_030062605.1;protein_315,GCF_022921575.1;protein_1025,GCF_022925945.1;protein_1035,GCF_017821595.1;protein_376,GCF_002951975.1;protein_1065,GCF_006337745.1;protein_477
