GCF_006337745.1;protein_1026,GCF_016749335.1;protein_487,GCF_030062605.1;protein_762,GCF_003636855.2;protein_1346,GCF_007836855.1;protein_609,,,,,
GCF_006337745.1;protein_1027,GCF_016749335.1;protein_486,GCF_030062605.1;protein_761,GCF_003636855.2;protein_1347,GCF_007836855.1;protein_608,,,,,
GCF_006337745.1;protein_1028,GCF_016749335.1;protein_485,GCF_030062605.1;protein_760,GCF_003636855.2;protein_1348,GCF_007836855.1;protein_607,,,,,
GCF_006337745.1;protein_1029,GCF_016749335.1;protein_484,GCF_030062605.1;protein_759,GCF_003636855.2;protein_1349,GCF_007836855.1;protein_606,,,,,
GCF_006337745.1;protein_103,GCF_016749335.1;protein_1348,GCF_030062605.1;protein_1415,GCF_003636855.2;protein_426,GCF_007836855.1;protein_105,,,,,
GCF_006337745.1;protein_1030,GCF_016749335.1;protein_483,GCF_030062605.1;protein_758,GCF_003636855.2;protein_1350,GCF_007836855.1;protein_605,,,,,
GCF_003636855.2;protein_791,GCF_003636855.2;protein_1351,GCF_007836855.1;protein_604,GCF_007836855.1;protein_349,,GCF_006337745.1;protein_1031,,,,
GCF_006337745.1;protein_1032,GCF_016749335.1;protein_1059,,GCF_003636855.2;protein_790,,,,,,
GCF_006337745.1;protein_1034,GCF_016749335.1;protein_479,GCF_030062605.1;protein_1522,GCF_003636855.2;protein_1355,GCF_007836855.1;protein_997,,,,,
GCF_006337745.1;protein_1035,GCF_016749335.1;protein_478,GCF_030062605.1;protein_1523,GCF_003636855.2;protein_1356,GCF_007836855.1;protein_998,,,,,
GCF_006337745.1;protein_1036,GCF_016749335.1;protein_477,GCF_030062605.1;protein_1524,GCF_003636855.2;protein_1357,GCF_007836855.1;protein_999,,,,,
GCF_006337745.1;protein_1037,GCF_016749335.1;protein_475,GCF_030062605.1;protein_1526,GCF_003636855.2;protein_1358,GCF_007836855.1;protein_1000,,,,,
GCF_006337745.1;protein_1038,GCF_016749335.1;protein_474,GCF_030062605.1;protein_1527,GCF_003636855.2;protein_1359,GCF_007836855.1;protein_1001,,,,,
GCF_006337745.1;protein_1039,GCF_016749335.1;protein_471,GCF_030062605.1;protein_1530,GCF_003636855.2;protein_1362,GCF_007836855.1;protein_1004,,,,,
GCF_006337745.1;protein_104,GCF_016749335.1;protein_1347,GCF_030062605.1;protein_1416,GCF_003636855.2;protein_427,GCF_007836855.1;protein_106,,,,,
GCF_006337745.1;protein_1040,GCF_016749335.1;protein_470,GCF_030062605.1;protein_1531,GCF_003636855.2;protein_1363,GCF_007836855.1;protein_1005,,,,,
GCF_006337745.1;protein_1041,GCF_016749335.1;protein_469,GCF_030062605.1;protein_1532,GCF_003636855.2;protein_1364,GCF_007836855.1;protein_1006,,,,,
GCF_006337745.1;protein_1043,GCF_016749335.1;protein_467,GCF_030062605.1;protein_373,GCF_003636855.2;protein_1366,GCF_007836855.1;protein_1008,,,,,
GCF_006337745.1;protein_1044,GCF_016749335.1;protein_466,GCF_030062605.1;protein_372,GCF_003636855.2;protein_1367,GCF_007836855.1;protein_1009,,,,,
GCF_006337745.1;protein_1045,GCF_016749335.1;protein_465,GCF_030062605.1;protein_371,GCF_003636855.2;protein_1368,GCF_007836855.1;protein_1010,,,,,
GCF_006337745.1;protein_1046,GCF_016749335.1;protein_464,GCF_030062605.1;protein_370,GCF_003636855.2;protein_1369,GCF_007836855.1;protein_1011,,,,,
GCF_006337745.1;protein_1047,GCF_016749335.1;protein_462,GCF_030062605.1;protein_368,GCF_003636855.2;protein_1371,GCF_007836855.1;protein_1013,,,,,
GCF_006337745.1;protein_1048,,,GCF_003636855.2;protein_1372,,,,,,
GCF_006337745.1;protein_1049,GCF_016749335.1;protein_461,GCF_030062605.1;protein_367,GCF_003636855.2;protein_1373,GCF_007836855.1;protein_1014,,,,,
GCF_006337745.1;protein_105,GCF_016749335.1;protein_1346,GCF_030062605.1;protein_1417,GCF_003636855.2;protein_428,GCF_007836855.1;protein_107,,,,,
GCF_006337745.1;protein_1050,GCF_016749335.1;protein_460,GCF_030062605.1;protein_366,GCF_003636855.2;protein_1374,GCF_007836855.1;protein_1015,,,,,
GCF_006337745.1;protein_1051,GCF_016749335.1;protein_459,GCF_030062605.1;protein_365,GCF_003636855.2;protein_1375,GCF_007836855.1;protein_1016,,,,,
GCF_006337745.1;protein_1052,GCF_016749335.1;protein_458,GCF_030062605.1;protein_364,GCF_003636855.2;protein_1376,GCF_007836855.1;protein_1017,,,,,
GCF_006337745.1;protein_1053,GCF_016749335.1;protein_457,GCF_030062605.1;protein_363,GCF_003636855.2;protein_1377,GCF_007836855.1;protein_1018,,,,,
GCF_006337745.1;protein_1054,GCF_016749335.1;protein_456,GCF_030062605.1;protein_362,GCF_003636855.2;protein_1378,GCF_007836855.1;protein_1019,,,,,
GCF_006337745.1;protein_1055,GCF_016749335.1;protein_455,GCF_030062605.1;protein_361,GCF_003636855.2;protein_1379,GCF_007836855.1;protein_1020,,,,,
GCF_006337745.1;protein_1056,,GCF_030062605.1;protein_360,,GCF_007836855.1;protein_1021,,,,,
GCF_006337745.1;protein_1057,,,,GCF_007836855.1;protein_1022,,,,,
GCF_006337745.1;protein_1058,,GCF_030062605.1;protein_359,,GCF_007836855.1;protein_1023,,,,,
GCF_006337745.1;protein_1059,GCF_016749335.1;protein_426,GCF_030062605.1;protein_358,GCF_003636855.2;protein_1381,GCF_007836855.1;protein_1024,,,,,
GCF_006337745.1;protein_106,GCF_016749335.1;protein_1345,GCF_030062605.1;protein_1418,GCF_003636855.2;protein_429,GCF_007836855.1;protein_108,,,,,
GCF_006337745.1;protein_1062,,,GCF_003636855.2;protein_527,GCF_007836855.1;protein_494,,,,,
GCF_006337745.1;protein_1063,,GCF_030062605.1;protein_1474,GCF_003636855.2;protein_528,GCF_007836855.1;protein_495,,,,,
GCF_006337745.1;protein_1064,,,GCF_003636855.2;protein_529,GCF_007836855.1;protein_496,,,,,
GCF_006337745.1;protein_1065,,GCF_030062605.1;protein_1476,GCF_003636855.2;protein_530,GCF_007836855.1;protein_497,,,,,
GCF_006337745.1;protein_1066,,GCF_030062605.1;protein_1477,GCF_003636855.2;protein_531,GCF_007836855.1;protein_498,,,,,
GCF_006337745.1;protein_1067,GCF_016749335.1;protein_450,GCF_030062605.1;protein_1478,GCF_003636855.2;protein_532,,,,,,
GCF_006337745.1;protein_1068,GCF_016749335.1;protein_451,,GCF_003636855.2;protein_533,GCF_007836855.1;protein_500,,,,,
GCF_006337745.1;protein_1069,GCF_016749335.1;protein_452,GCF_030062605.1;protein_1480,GCF_003636855.2;protein_534,GCF_007836855.1;protein_501,,,,,
GCF_006337745.1;protein_107,GCF_016749335.1;protein_1344,GCF_030062605.1;protein_1419,GCF_003636855.2;protein_430,GCF_007836855.1;protein_109,,,,,
GCF_006337745.1;protein_108,GCF_016749335.1;protein_1343,GCF_030062605.1;protein_1420,GCF_003636855.2;protein_431,GCF_007836855.1;protein_110,,,,,
GCF_006337745.1;protein_117,GCF_030062605.1;protein_1292,GCF_016749335.1;protein_976,,GCF_006337745.1;protein_1088,GCF_007836855.1;protein_431,,,,
GCF_006337745.1;protein_109,GCF_016749335.1;protein_1342,GCF_030062605.1;protein_1421,GCF_003636855.2;protein_432,GCF_007836855.1;protein_111,,,,,
GCF_006337745.1;protein_1090,,,,GCF_007836855.1;protein_430,,,,,
GCF_006337745.1;protein_1091,GCF_016749335.1;protein_978,GCF_030062605.1;protein_1294,GCF_003636855.2;protein_870,GCF_007836855.1;protein_427,,,,,
GCF_006337745.1;protein_1092,GCF_016749335.1;protein_979,GCF_030062605.1;protein_1295,GCF_003636855.2;protein_869,GCF_007836855.1;protein_426,,,,,
GCF_006337745.1;protein_1093,GCF_016749335.1;protein_980,GCF_030062605.1;protein_1296,GCF_003636855.2;protein_868,GCF_007836855.1;protein_425,,,,,
GCF_006337745.1;protein_1094,GCF_016749335.1;protein_981,GCF_030062605.1;protein_1297,GCF_003636855.2;protein_867,GCF_007836855.1;protein_424,,,,,
GCF_006337745.1;protein_1095,GCF_016749335.1;protein_982,GCF_030062605.1;protein_1298,GCF_003636855.2;protein_866,GCF_007836855.1;protein_423,,,,,
GCF_006337745.1;protein_1096,GCF_016749335.1;protein_983,GCF_030062605.1;protein_1299,GCF_003636855.2;protein_865,GCF_007836855.1;protein_422,,,,,
GCF_006337745.1;protein_1097,GCF_016749335.1;protein_984,GCF_030062605.1;protein_1300,GCF_003636855.2;protein_864,GCF_007836855.1;protein_421,,,,,
GCF_006337745.1;protein_1098,GCF_016749335.1;protein_985,GCF_030062605.1;protein_1301,GCF_003636855.2;protein_863,GCF_007836855.1;protein_420,,,,,
GCF_006337745.1;protein_1099,GCF_016749335.1;protein_986,GCF_030062605.1;protein_1302,GCF_003636855.2;protein_862,GCF_007836855.1;protein_419,,,,,
GCF_006337745.1;protein_11,GCF_016749335.1;protein_1443,GCF_030062605.1;protein_77,GCF_003636855.2;protein_376,GCF_007836855.1;protein_12,,,,,
GCF_006337745.1;protein_1100,GCF_016749335.1;protein_988,GCF_030062605.1;protein_1303,GCF_003636855.2;protein_861,GCF_007836855.1;protein_418,,,,,
GCF_006337745.1;protein_1101,GCF_016749335.1;protein_989,GCF_030062605.1;protein_1304,GCF_003636855.2;protein_860,GCF_007836855.1;protein_417,,,,,
GCF_006337745.1;protein_1102,GCF_016749335.1;protein_990,GCF_030062605.1;protein_1305,GCF_003636855.2;protein_859,GCF_007836855.1;protein_416,,,,,
GCF_006337745.1;protein_1103,GCF_016749335.1;protein_991,GCF_030062605.1;protein_1306,GCF_003636855.2;protein_858,GCF_007836855.1;protein_415,,,,,
GCF_006337745.1;protein_1104,GCF_016749335.1;protein_992,GCF_030062605.1;protein_1307,GCF_003636855.2;protein_857,GCF_007836855.1;protein_414,,,,,
GCF_006337745.1;protein_1105,GCF_016749335.1;protein_993,GCF_030062605.1;protein_1308,GCF_003636855.2;protein_856,GCF_007836855.1;protein_413,,,,,
GCF_006337745.1;protein_1106,GCF_016749335.1;protein_994,GCF_030062605.1;protein_1309,GCF_003636855.2;protein_855,GCF_007836855.1;protein_412,,,,,
GCF_006337745.1;protein_1107,GCF_016749335.1;protein_995,GCF_030062605.1;protein_1310,GCF_003636855.2;protein_854,GCF_007836855.1;protein_411,,,,,
GCF_006337745.1;protein_1108,GCF_016749335.1;protein_996,GCF_030062605.1;protein_1311,GCF_003636855.2;protein_853,GCF_007836855.1;protein_410,,,,,
GCF_006337745.1;protein_1109,GCF_016749335.1;protein_997,GCF_030062605.1;protein_1312,GCF_003636855.2;protein_852,GCF_007836855.1;protein_409,,,,,
GCF_006337745.1;protein_111,GCF_016749335.1;protein_1339,GCF_030062605.1;protein_1424,GCF_003636855.2;protein_435,GCF_007836855.1;protein_1438,,,,,
GCF_006337745.1;protein_1110,GCF_016749335.1;protein_998,GCF_030062605.1;protein_1313,GCF_003636855.2;protein_851,GCF_007836855.1;protein_408,,,,,
GCF_006337745.1;protein_1111,GCF_016749335.1;protein_999,GCF_030062605.1;protein_1314,GCF_003636855.2;protein_850,GCF_007836855.1;protein_407,,,,,
GCF_006337745.1;protein_1112,GCF_016749335.1;protein_1000,GCF_030062605.1;protein_1315,GCF_003636855.2;protein_849,GCF_007836855.1;protein_406,,,,,
GCF_006337745.1;protein_1113,GCF_016749335.1;protein_1001,GCF_030062605.1;protein_1316,GCF_003636855.2;protein_848,GCF_007836855.1;protein_405,,,,,
GCF_006337745.1;protein_1114,GCF_016749335.1;protein_1002,GCF_030062605.1;protein_1317,GCF_003636855.2;protein_847,GCF_007836855.1;protein_404,,,,,
GCF_006337745.1;protein_1115,GCF_016749335.1;protein_1003,GCF_030062605.1;protein_1318,GCF_003636855.2;protein_846,GCF_007836855.1;protein_403,,,,,
GCF_006337745.1;protein_1116,GCF_016749335.1;protein_1004,,GCF_003636855.2;protein_845,GCF_007836855.1;protein_402,,,,,
GCF_006337745.1;protein_1117,GCF_016749335.1;protein_1005,GCF_030062605.1;protein_1506,GCF_003636855.2;protein_844,GCF_007836855.1;protein_401,,,,,
GCF_006337745.1;protein_1118,GCF_016749335.1;protein_1006,GCF_030062605.1;protein_1507,GCF_003636855.2;protein_843,GCF_007836855.1;protein_400,,,,,
GCF_006337745.1;protein_1119,GCF_016749335.1;protein_1007,GCF_030062605.1;protein_1508,GCF_003636855.2;protein_842,GCF_007836855.1;protein_399,,,,,
GCF_006337745.1;protein_112,GCF_016749335.1;protein_1338,GCF_030062605.1;protein_1425,GCF_003636855.2;protein_436,GCF_007836855.1;protein_1437,,,,,
GCF_006337745.1;protein_1120,GCF_016749335.1;protein_1008,GCF_030062605.1;protein_1509,GCF_003636855.2;protein_841,GCF_007836855.1;protein_398,,,,,
GCF_006337745.1;protein_1121,GCF_003636855.2;protein_840,GCF_016749335.1;protein_1009,,GCF_030062605.1;protein_1510,GCF_007836855.1;protein_397,,,,
GCF_006337745.1;protein_1122,GCF_016749335.1;protein_1010,GCF_030062605.1;protein_1511,GCF_003636855.2;protein_839,GCF_007836855.1;protein_396,,,,,
GCF_006337745.1;protein_1123,GCF_016749335.1;protein_1011,GCF_030062605.1;protein_1512,GCF_003636855.2;protein_838,GCF_007836855.1;protein_395,,,,,
GCF_006337745.1;protein_1124,GCF_016749335.1;protein_1012,GCF_030062605.1;protein_1513,GCF_003636855.2;protein_837,GCF_007836855.1;protein_394,,,,,
GCF_006337745.1;protein_1125,GCF_016749335.1;protein_1013,GCF_030062605.1;protein_1514,GCF_003636855.2;protein_836,GCF_007836855.1;protein_393,,,,,
GCF_006337745.1;protein_1126,GCF_016749335.1;protein_1014,GCF_030062605.1;protein_1515,GCF_003636855.2;protein_835,GCF_007836855.1;protein_392,,,,,
GCF_006337745.1;protein_1127,GCF_016749335.1;protein_1015,GCF_030062605.1;protein_1516,GCF_003636855.2;protein_834,GCF_007836855.1;protein_391,,,,,
GCF_006337745.1;protein_1128,GCF_016749335.1;protein_1016,GCF_030062605.1;protein_1517,GCF_003636855.2;protein_833,GCF_007836855.1;protein_390,,,,,
GCF_006337745.1;protein_1129,GCF_016749335.1;protein_1017,GCF_030062605.1;protein_1518,GCF_003636855.2;protein_832,GCF_007836855.1;protein_389,,,,,
GCF_006337745.1;protein_113,GCF_016749335.1;protein_1337,GCF_030062605.1;protein_1426,GCF_003636855.2;protein_437,GCF_007836855.1;protein_1436,,,,,
GCF_003636855.2;protein_831,GCF_006337745.1;protein_1130,GCF_016749335.1;protein_1018,,GCF_007836855.1;protein_388,GCF_030062605.1;protein_1519,,,,
GCF_006337745.1;protein_1131,GCF_016749335.1;protein_1019,GCF_030062605.1;protein_1140,GCF_003636855.2;protein_830,GCF_007836855.1;protein_387,,,,,
GCF_006337745.1;protein_1132,GCF_016749335.1;protein_1020,GCF_030062605.1;protein_1141,GCF_003636855.2;protein_829,GCF_007836855.1;protein_386,,,,,
GCF_006337745.1;protein_1133,GCF_016749335.1;protein_1021,GCF_030062605.1;protein_1142,GCF_003636855.2;protein_828,GCF_007836855.1;protein_385,,,,,
GCF_006337745.1;protein_1134,GCF_016749335.1;protein_1022,GCF_030062605.1;protein_1143,GCF_003636855.2;protein_827,GCF_007836855.1;protein_384,,,,,
GCF_006337745.1;protein_1135,GCF_016749335.1;protein_1023,GCF_030062605.1;protein_1144,GCF_003636855.2;protein_826,GCF_007836855.1;protein_383,,,,,
GCF_006337745.1;protein_1136,GCF_016749335.1;protein_1024,GCF_030062605.1;protein_1145,,GCF_007836855.1;protein_382,,,,,
GCF_006337745.1;protein_1137,GCF_016749335.1;protein_1025,GCF_030062605.1;protein_1146,GCF_003636855.2;protein_824,GCF_007836855.1;protein_381,,,,,
GCF_006337745.1;protein_1138,GCF_016749335.1;protein_1026,GCF_030062605.1;protein_1147,GCF_003636855.2;protein_823,GCF_007836855.1;protein_380,,,,,
GCF_006337745.1;protein_1139,GCF_016749335.1;protein_1027,GCF_030062605.1;protein_1148,GCF_003636855.2;protein_822,GCF_007836855.1;protein_379,,,,,
GCF_006337745.1;protein_114,GCF_016749335.1;protein_1336,GCF_030062605.1;protein_1427,GCF_003636855.2;protein_438,GCF_007836855.1;protein_1435,,,,,
GCF_006337745.1;protein_1140,GCF_016749335.1;protein_1028,GCF_030062605.1;protein_1149,GCF_003636855.2;protein_821,GCF_007836855.1;protein_378,,,,,
GCF_006337745.1;protein_1141,,,GCF_003636855.2;protein_820,,,,,,
GCF_006337745.1;protein_1142,,,GCF_003636855.2;protein_819,,,,,,
GCF_006337745.1;protein_1143,GCF_016749335.1;protein_1030,GCF_030062605.1;protein_1151,GCF_003636855.2;protein_818,GCF_007836855.1;protein_376,,,,,
GCF_006337745.1;protein_1144,GCF_016749335.1;protein_1031,GCF_030062605.1;protein_1152,GCF_003636855.2;protein_817,GCF_007836855.1;protein_375,,,,,
GCF_006337745.1;protein_1145,GCF_016749335.1;protein_1032,GCF_030062605.1;protein_1153,GCF_003636855.2;protein_816,GCF_007836855.1;protein_374,,,,,
GCF_006337745.1;protein_1146,GCF_016749335.1;protein_1033,GCF_030062605.1;protein_1154,GCF_003636855.2;protein_815,GCF_007836855.1;protein_373,,,,,
GCF_006337745.1;protein_1147,GCF_016749335.1;protein_1034,GCF_030062605.1;protein_1155,GCF_003636855.2;protein_814,GCF_007836855.1;protein_372,,,,,
GCF_006337745.1;protein_1148,GCF_016749335.1;protein_1035,GCF_030062605.1;protein_1156,GCF_003636855.2;protein_813,GCF_007836855.1;protein_371,,,,,
GCF_006337745.1;protein_1149,GCF_016749335.1;protein_1036,GCF_030062605.1;protein_1157,GCF_003636855.2;protein_812,GCF_007836855.1;protein_370,,,,,
GCF_006337745.1;protein_1150,GCF_016749335.1;protein_1037,GCF_030062605.1;protein_1158,GCF_003636855.2;protein_811,GCF_007836855.1;protein_369,,,,,
GCF_006337745.1;protein_1151,GCF_016749335.1;protein_1038,GCF_030062605.1;protein_1159,GCF_003636855.2;protein_810,GCF_007836855.1;protein_368,,,,,
GCF_006337745.1;protein_1152,GCF_016749335.1;protein_340,GCF_030062605.1;protein_276,GCF_003636855.2;protein_1465,GCF_007836855.1;protein_1110,,,,,
GCF_006337745.1;protein_1153,GCF_016749335.1;protein_339,GCF_030062605.1;protein_275,GCF_003636855.2;protein_1466,GCF_007836855.1;protein_1111,,,,,
GCF_006337745.1;protein_1154,GCF_016749335.1;protein_338,GCF_030062605.1;protein_274,GCF_003636855.2;protein_1467,GCF_007836855.1;protein_1112,,,,,
GCF_006337745.1;protein_1155,GCF_016749335.1;protein_337,GCF_030062605.1;protein_273,GCF_003636855.2;protein_1468,GCF_007836855.1;protein_1113,,,,,
GCF_006337745.1;protein_1156,GCF_016749335.1;protein_336,GCF_030062605.1;protein_272,GCF_003636855.2;protein_1469,GCF_007836855.1;protein_1114,,,,,
GCF_006337745.1;protein_1157,GCF_016749335.1;protein_335,GCF_030062605.1;protein_271,GCF_003636855.2;protein_1470,GCF_007836855.1;protein_1115,,,,,
GCF_006337745.1;protein_1158,GCF_016749335.1;protein_334,GCF_030062605.1;protein_270,GCF_003636855.2;protein_1471,GCF_007836855.1;protein_1116,,,,,
GCF_006337745.1;protein_1159,GCF_016749335.1;protein_333,GCF_030062605.1;protein_269,GCF_003636855.2;protein_1472,GCF_007836855.1;protein_1117,,,,,
GCF_006337745.1;protein_1160,GCF_016749335.1;protein_332,GCF_030062605.1;protein_268,GCF_003636855.2;protein_1473,GCF_007836855.1;protein_1118,,,,,
GCF_006337745.1;protein_1161,GCF_016749335.1;protein_331,GCF_030062605.1;protein_267,GCF_003636855.2;protein_1474,GCF_007836855.1;protein_1119,,,,,
GCF_030062605.1;protein_266,GCF_016749335.1;protein_330,GCF_007836855.1;protein_1120,GCF_003636855.2;protein_1475,,GCF_006337745.1;protein_1167,,,,
GCF_006337745.1;protein_1171,GCF_016749335.1;protein_327,GCF_030062605.1;protein_263,GCF_003636855.2;protein_1478,GCF_007836855.1;protein_1123,,,,,
GCF_006337745.1;protein_1172,GCF_016749335.1;protein_326,GCF_030062605.1;protein_262,GCF_003636855.2;protein_1479,GCF_007836855.1;protein_1124,,,,,
GCF_006337745.1;protein_1173,GCF_016749335.1;protein_325,GCF_030062605.1;protein_261,GCF_003636855.2;protein_1480,GCF_007836855.1;protein_1125,,,,,
GCF_006337745.1;protein_1174,GCF_016749335.1;protein_324,GCF_030062605.1;protein_260,GCF_003636855.2;protein_1481,GCF_007836855.1;protein_1126,,,,,
GCF_006337745.1;protein_1175,GCF_016749335.1;protein_323,GCF_030062605.1;protein_259,GCF_003636855.2;protein_1482,GCF_007836855.1;protein_1127,,,,,
GCF_006337745.1;protein_1176,GCF_016749335.1;protein_322,GCF_030062605.1;protein_258,GCF_003636855.2;protein_1483,GCF_007836855.1;protein_1128,,,,,
GCF_006337745.1;protein_1177,GCF_016749335.1;protein_321,GCF_030062605.1;protein_257,GCF_003636855.2;protein_1484,GCF_007836855.1;protein_1129,,,,,
GCF_006337745.1;protein_1178,GCF_016749335.1;protein_320,GCF_030062605.1;protein_256,GCF_003636855.2;protein_1485,GCF_007836855.1;protein_1130,,,,,
GCF_006337745.1;protein_1179,GCF_016749335.1;protein_319,GCF_030062605.1;protein_255,GCF_003636855.2;protein_1486,GCF_007836855.1;protein_1131,,,,,
GCF_006337745.1;protein_1180,GCF_016749335.1;protein_318,GCF_030062605.1;protein_254,GCF_003636855.2;protein_1487,GCF_007836855.1;protein_1132,,,,,
GCF_006337745.1;protein_1181,GCF_016749335.1;protein_317,GCF_030062605.1;protein_253,GCF_003636855.2;protein_1488,GCF_007836855.1;protein_1133,,,,,
GCF_006337745.1;protein_1182,GCF_016749335.1;protein_316,GCF_030062605.1;protein_252,GCF_003636855.2;protein_1489,GCF_007836855.1;protein_1134,,,,,
GCF_006337745.1;protein_1183,GCF_016749335.1;protein_315,GCF_030062605.1;protein_251,GCF_003636855.2;protein_1490,GCF_007836855.1;protein_1135,,,,,
,GCF_016749335.1;protein_314,GCF_006337745.1;protein_1184,GCF_030062605.1;protein_250,,,,,,
GCF_006337745.1;protein_1185,GCF_016749335.1;protein_313,GCF_030062605.1;protein_249,GCF_003636855.2;protein_1492,GCF_007836855.1;protein_1137,,,,,
GCF_006337745.1;protein_1186,GCF_016749335.1;protein_312,GCF_030062605.1;protein_248,GCF_003636855.2;protein_1493,GCF_007836855.1;protein_1138,,,,,
GCF_006337745.1;protein_1187,GCF_016749335.1;protein_311,GCF_030062605.1;protein_247,GCF_003636855.2;protein_1494,GCF_007836855.1;protein_1139,,,,,
GCF_006337745.1;protein_1188,GCF_016749335.1;protein_310,GCF_030062605.1;protein_246,GCF_003636855.2;protein_1495,GCF_007836855.1;protein_1140,,,,,
GCF_007836855.1;protein_220,GCF_016749335.1;protein_891,GCF_003636855.2;protein_960,,GCF_007836855.1;protein_590,GCF_006337745.1;protein_1189,,,,
GCF_006337745.1;protein_1192,GCF_016749335.1;protein_309,GCF_030062605.1;protein_602,GCF_003636855.2;protein_1499,GCF_007836855.1;protein_1141,,,,,
GCF_006337745.1;protein_1193,GCF_016749335.1;protein_308,GCF_030062605.1;protein_603,GCF_003636855.2;protein_1500,GCF_007836855.1;protein_1142,,,,,
GCF_006337745.1;protein_1194,GCF_016749335.1;protein_307,GCF_030062605.1;protein_604,GCF_003636855.2;protein_1501,GCF_007836855.1;protein_1143,,,,,
GCF_006337745.1;protein_1195,GCF_016749335.1;protein_304,GCF_030062605.1;protein_607,GCF_003636855.2;protein_1504,GCF_007836855.1;protein_1144,,,,,
GCF_006337745.1;protein_1196,GCF_016749335.1;protein_303,GCF_030062605.1;protein_608,GCF_003636855.2;protein_1505,GCF_007836855.1;protein_1145,,,,,
