GCF_000027345.1;protein_0,GCF_900660465.1;protein_731,GCF_041931765.1;protein_77,GCF_002090215.1;protein_0,GCF_001558175.1;protein_0,GCF_002128145.1;protein_0,GCF_001272755.1;protein_0,,GCF_009945865.1;protein_0,GCF_002128285.1;protein_0,GCF_000319655.2;protein_0,GCF_002090295.1;protein_0,GCF_910574535.1;protein_0,GCF_040256845.1;protein_0,GCF_000319675.2;protein_0,GCF_041931565.1;protein_196,GCF_009942155.1;protein_0,GCF_009943805.1;protein_0,GCF_900660465.1;protein_736,GCF_002127985.1;protein_0,GCF_009947205.1;protein_0,GCF_900660465.1;protein_727,GCF_000283755.1;protein_0,GCF_009939765.1;protein_0,GCF_002355715.1;protein_0,GCF_000733995.1;protein_76,GCF_009944335.1;protein_0,GCF_002128265.1;protein_0,GCF_009944725.1;protein_0,GCF_001272775.1;protein_0,GCF_041931755.1;protein_77,GCF_009947575.1;protein_0,GCF_002128045.1;protein_0,,,,
GCF_910574535.1;protein_112,GCF_002128045.1;protein_112,GCF_000319675.2;protein_112,GCF_000027345.1;protein_113,GCF_000283755.1;protein_113,GCF_002127985.1;protein_113,GCF_009947205.1;protein_112,GCF_041931765.1;protein_189,GCF_040256845.1;protein_112,GCF_002128265.1;protein_112,GCF_041931565.1;protein_308,GCF_009944725.1;protein_113,GCF_002128145.1;protein_113,GCF_001558175.1;protein_112,GCF_009942155.1;protein_112,GCF_041931755.1;protein_188,GCF_001272775.1;protein_113,GCF_009939765.1;protein_113,GCF_002355715.1;protein_112,GCF_900660465.1;protein_614,GCF_002128285.1;protein_113,GCF_009944335.1;protein_113,GCF_001272755.1;protein_113,GCF_000733995.1;protein_189,GCF_002090215.1;protein_111,GCF_000319655.2;protein_113,GCF_009947575.1;protein_113,GCF_009945865.1;protein_114,GCF_009943805.1;protein_113,GCF_002090295.1;protein_112,,,,,,,
GCF_910574535.1;protein_113,GCF_002128045.1;protein_113,GCF_000319675.2;protein_113,GCF_000027345.1;protein_114,GCF_000283755.1;protein_114,GCF_002127985.1;protein_114,GCF_009947205.1;protein_113,GCF_041931765.1;protein_190,GCF_040256845.1;protein_113,GCF_002128265.1;protein_113,GCF_041931565.1;protein_309,GCF_009944725.1;protein_114,GCF_002128145.1;protein_114,GCF_001558175.1;protein_113,GCF_009942155.1;protein_113,GCF_041931755.1;protein_189,GCF_001272775.1;protein_114,GCF_009939765.1;protein_114,GCF_002355715.1;protein_113,GCF_900660465.1;protein_613,GCF_002128285.1;protein_114,GCF_009944335.1;protein_114,GCF_001272755.1;protein_114,GCF_000733995.1;protein_190,GCF_002090215.1;protein_112,GCF_000319655.2;protein_114,GCF_009947575.1;protein_114,GCF_009945865.1;protein_115,GCF_009943805.1;protein_114,GCF_002090295.1;protein_113,,,,,,,
GCF_910574535.1;protein_114,GCF_002128045.1;protein_114,GCF_000319675.2;protein_114,GCF_000027345.1;protein_115,GCF_000283755.1;protein_115,GCF_002127985.1;protein_115,GCF_009947205.1;protein_114,GCF_041931765.1;protein_191,GCF_040256845.1;protein_114,GCF_002128265.1;protein_114,GCF_041931565.1;protein_310,GCF_009944725.1;protein_115,GCF_002128145.1;protein_115,GCF_001558175.1;protein_114,GCF_009942155.1;protein_114,GCF_041931755.1;protein_190,GCF_001272775.1;protein_115,GCF_009939765.1;protein_115,GCF_002355715.1;protein_114,,GCF_002128285.1;protein_115,GCF_009944335.1;protein_115,GCF_001272755.1;protein_115,GCF_000733995.1;protein_191,GCF_002090215.1;protein_113,,GCF_009947575.1;protein_115,GCF_009945865.1;protein_116,GCF_009943805.1;protein_115,GCF_002090295.1;protein_114,,,,,,,
GCF_910574535.1;protein_116,,,,,,,GCF_041931765.1;protein_193,GCF_040256845.1;protein_116,,,,,,,,GCF_001272775.1;protein_117,GCF_009939765.1;protein_117,,,,,,GCF_000733995.1;protein_193,,,,,GCF_009943805.1;protein_117,,,,,,,,
GCF_910574535.1;protein_117,GCF_002128045.1;protein_116,GCF_000319675.2;protein_116,GCF_000027345.1;protein_117,GCF_000283755.1;protein_118,GCF_002127985.1;protein_117,GCF_009947205.1;protein_116,GCF_041931765.1;protein_194,GCF_040256845.1;protein_117,GCF_002128265.1;protein_117,GCF_041931565.1;protein_312,GCF_009944725.1;protein_118,GCF_002128145.1;protein_117,GCF_001558175.1;protein_116,GCF_009942155.1;protein_117,GCF_041931755.1;protein_193,GCF_001272775.1;protein_118,GCF_009939765.1;protein_118,GCF_002355715.1;protein_117,GCF_900660465.1;protein_608,GCF_002128285.1;protein_118,GCF_009944335.1;protein_117,GCF_001272755.1;protein_117,GCF_000733995.1;protein_194,GCF_002090215.1;protein_116,GCF_000319655.2;protein_119,GCF_009947575.1;protein_118,GCF_009945865.1;protein_119,GCF_009943805.1;protein_118,GCF_002090295.1;protein_117,,,,,,,
GCF_910574535.1;protein_118,GCF_002128045.1;protein_117,GCF_000319675.2;protein_117,GCF_000027345.1;protein_118,,GCF_002127985.1;protein_118,GCF_009947205.1;protein_117,GCF_041931765.1;protein_195,GCF_040256845.1;protein_118,,GCF_041931565.1;protein_313,,GCF_002128145.1;protein_118,GCF_001558175.1;protein_117,,GCF_041931755.1;protein_194,GCF_001272775.1;protein_119,GCF_009939765.1;protein_119,,,,GCF_009944335.1;protein_118,GCF_001272755.1;protein_118,GCF_000733995.1;protein_195,GCF_002090215.1;protein_117,,GCF_009947575.1;protein_119,,GCF_009943805.1;protein_119,GCF_002090295.1;protein_118,,,,,,,
GCF_910574535.1;protein_119,GCF_002128045.1;protein_118,GCF_000319675.2;protein_118,GCF_000027345.1;protein_119,GCF_000283755.1;protein_120,GCF_002127985.1;protein_119,GCF_009947205.1;protein_118,GCF_041931765.1;protein_196,GCF_040256845.1;protein_119,GCF_002128265.1;protein_119,GCF_041931565.1;protein_314,GCF_009944725.1;protein_120,GCF_002128145.1;protein_119,GCF_001558175.1;protein_118,GCF_009942155.1;protein_119,GCF_041931755.1;protein_195,GCF_001272775.1;protein_120,GCF_009939765.1;protein_120,GCF_002355715.1;protein_119,GCF_900660465.1;protein_607,GCF_002128285.1;protein_119,GCF_009944335.1;protein_119,GCF_001272755.1;protein_119,GCF_000733995.1;protein_196,GCF_002090215.1;protein_118,GCF_000319655.2;protein_120,GCF_009947575.1;protein_120,GCF_009945865.1;protein_121,GCF_009943805.1;protein_120,GCF_002090295.1;protein_119,,,,,,,
GCF_910574535.1;protein_12,GCF_002128045.1;protein_12,GCF_000319675.2;protein_12,GCF_000027345.1;protein_12,GCF_000283755.1;protein_12,GCF_002127985.1;protein_12,GCF_009947205.1;protein_12,GCF_041931765.1;protein_89,GCF_040256845.1;protein_12,GCF_002128265.1;protein_12,GCF_041931565.1;protein_208,GCF_009944725.1;protein_12,GCF_002128145.1;protein_12,GCF_001558175.1;protein_12,GCF_009942155.1;protein_12,GCF_041931755.1;protein_89,GCF_001272775.1;protein_12,GCF_009939765.1;protein_12,GCF_002355715.1;protein_12,GCF_900660465.1;protein_715,GCF_002128285.1;protein_12,GCF_009944335.1;protein_12,GCF_001272755.1;protein_12,GCF_000733995.1;protein_88,GCF_002090215.1;protein_12,GCF_000319655.2;protein_12,GCF_009947575.1;protein_12,GCF_009945865.1;protein_12,GCF_009943805.1;protein_12,GCF_002090295.1;protein_12,,,,,,,
GCF_910574535.1;protein_121,GCF_002128045.1;protein_120,GCF_000319675.2;protein_120,GCF_000027345.1;protein_121,GCF_000283755.1;protein_122,GCF_002127985.1;protein_121,GCF_009947205.1;protein_120,GCF_041931765.1;protein_198,GCF_040256845.1;protein_121,GCF_002128265.1;protein_121,GCF_041931565.1;protein_316,GCF_009944725.1;protein_122,,GCF_001558175.1;protein_120,GCF_009942155.1;protein_121,GCF_041931755.1;protein_197,GCF_001272775.1;protein_122,GCF_009939765.1;protein_122,GCF_002355715.1;protein_121,GCF_900660465.1;protein_605,GCF_002128285.1;protein_121,GCF_009944335.1;protein_121,GCF_001272755.1;protein_121,GCF_000733995.1;protein_198,GCF_002090215.1;protein_120,GCF_000319655.2;protein_122,GCF_009947575.1;protein_122,GCF_009945865.1;protein_123,GCF_009943805.1;protein_122,GCF_002090295.1;protein_121,,,,,,,
GCF_910574535.1;protein_122,GCF_002128045.1;protein_121,GCF_000319675.2;protein_121,GCF_000027345.1;protein_122,GCF_000283755.1;protein_123,GCF_002127985.1;protein_122,GCF_009947205.1;protein_121,GCF_041931765.1;protein_199,GCF_040256845.1;protein_122,GCF_002128265.1;protein_122,GCF_041931565.1;protein_317,GCF_009944725.1;protein_123,GCF_002128145.1;protein_122,GCF_001558175.1;protein_121,GCF_009942155.1;protein_122,GCF_041931755.1;protein_198,GCF_001272775.1;protein_123,GCF_009939765.1;protein_123,GCF_002355715.1;protein_122,GCF_900660465.1;protein_604,GCF_002128285.1;protein_122,GCF_009944335.1;protein_122,GCF_001272755.1;protein_122,GCF_000733995.1;protein_199,GCF_002090215.1;protein_121,GCF_000319655.2;protein_123,GCF_009947575.1;protein_123,GCF_009945865.1;protein_124,GCF_009943805.1;protein_123,GCF_002090295.1;protein_122,,,,,,,
GCF_910574535.1;protein_123,,GCF_000319675.2;protein_122,GCF_000027345.1;protein_123,GCF_000283755.1;protein_124,GCF_002127985.1;protein_123,GCF_009947205.1;protein_122,,GCF_040256845.1;protein_123,GCF_002128265.1;protein_123,GCF_041931565.1;protein_318,GCF_009944725.1;protein_124,GCF_002128145.1;protein_123,GCF_001558175.1;protein_122,GCF_009942155.1;protein_123,,GCF_001272775.1;protein_124,GCF_009939765.1;protein_124,GCF_002355715.1;protein_123,GCF_900660465.1;protein_603,GCF_002128285.1;protein_123,GCF_009944335.1;protein_123,GCF_001272755.1;protein_123,GCF_000733995.1;protein_200,GCF_002090215.1;protein_122,GCF_000319655.2;protein_124,GCF_009947575.1;protein_124,GCF_009945865.1;protein_125,GCF_009943805.1;protein_124,GCF_002090295.1;protein_123,,,,,,,
GCF_910574535.1;protein_124,GCF_002128045.1;protein_124,GCF_000319675.2;protein_123,GCF_000027345.1;protein_124,GCF_000283755.1;protein_125,GCF_002127985.1;protein_124,GCF_009947205.1;protein_123,GCF_041931765.1;protein_202,GCF_040256845.1;protein_124,GCF_002128265.1;protein_124,GCF_041931565.1;protein_319,GCF_009944725.1;protein_125,GCF_002128145.1;protein_124,GCF_001558175.1;protein_123,GCF_009942155.1;protein_124,GCF_041931755.1;protein_201,GCF_001272775.1;protein_125,GCF_009939765.1;protein_125,GCF_002355715.1;protein_124,GCF_900660465.1;protein_602,GCF_002128285.1;protein_124,GCF_009944335.1;protein_124,GCF_001272755.1;protein_124,GCF_000733995.1;protein_201,GCF_002090215.1;protein_123,GCF_000319655.2;protein_125,GCF_009947575.1;protein_125,GCF_009945865.1;protein_126,GCF_009943805.1;protein_125,GCF_002090295.1;protein_124,,,,,,,
GCF_910574535.1;protein_125,GCF_002128045.1;protein_125,GCF_000319675.2;protein_124,GCF_000027345.1;protein_125,GCF_000283755.1;protein_126,GCF_002127985.1;protein_125,GCF_009947205.1;protein_124,GCF_041931765.1;protein_203,GCF_040256845.1;protein_125,GCF_002128265.1;protein_125,GCF_041931565.1;protein_320,GCF_009944725.1;protein_126,GCF_002128145.1;protein_125,GCF_001558175.1;protein_124,GCF_009942155.1;protein_125,GCF_041931755.1;protein_202,GCF_001272775.1;protein_126,GCF_009939765.1;protein_126,GCF_002355715.1;protein_125,GCF_900660465.1;protein_601,GCF_002128285.1;protein_125,GCF_009944335.1;protein_125,GCF_001272755.1;protein_125,GCF_000733995.1;protein_202,GCF_002090215.1;protein_124,GCF_000319655.2;protein_126,GCF_009947575.1;protein_126,GCF_009945865.1;protein_127,GCF_009943805.1;protein_126,GCF_002090295.1;protein_125,,,,,,,
GCF_910574535.1;protein_126,GCF_002128045.1;protein_126,GCF_000319675.2;protein_125,GCF_000027345.1;protein_126,GCF_000283755.1;protein_127,GCF_002127985.1;protein_126,GCF_009947205.1;protein_125,GCF_041931765.1;protein_204,GCF_040256845.1;protein_126,GCF_002128265.1;protein_126,GCF_041931565.1;protein_321,GCF_009944725.1;protein_127,GCF_002128145.1;protein_126,GCF_001558175.1;protein_125,GCF_009942155.1;protein_126,GCF_041931755.1;protein_203,GCF_001272775.1;protein_127,GCF_009939765.1;protein_127,GCF_002355715.1;protein_126,GCF_900660465.1;protein_600,GCF_002128285.1;protein_126,GCF_009944335.1;protein_126,GCF_001272755.1;protein_126,GCF_000733995.1;protein_203,GCF_002090215.1;protein_125,GCF_000319655.2;protein_127,GCF_009947575.1;protein_127,GCF_009945865.1;protein_128,GCF_009943805.1;protein_127,GCF_002090295.1;protein_126,,,,,,,
GCF_910574535.1;protein_127,GCF_002128045.1;protein_127,GCF_000319675.2;protein_126,GCF_000027345.1;protein_127,GCF_000283755.1;protein_128,GCF_002127985.1;protein_127,GCF_009947205.1;protein_126,GCF_041931765.1;protein_205,GCF_040256845.1;protein_127,GCF_002128265.1;protein_127,GCF_041931565.1;protein_322,GCF_009944725.1;protein_128,GCF_002128145.1;protein_127,GCF_001558175.1;protein_126,GCF_009942155.1;protein_127,GCF_041931755.1;protein_204,GCF_001272775.1;protein_128,GCF_009939765.1;protein_128,GCF_002355715.1;protein_127,GCF_900660465.1;protein_599,GCF_002128285.1;protein_127,GCF_009944335.1;protein_127,GCF_001272755.1;protein_127,GCF_000733995.1;protein_204,GCF_002090215.1;protein_126,GCF_000319655.2;protein_128,GCF_009947575.1;protein_128,GCF_009945865.1;protein_129,GCF_009943805.1;protein_128,GCF_002090295.1;protein_127,,,,,,,
GCF_910574535.1;protein_128,GCF_002128045.1;protein_128,GCF_000319675.2;protein_127,GCF_000027345.1;protein_128,GCF_000283755.1;protein_129,GCF_002127985.1;protein_128,GCF_009947205.1;protein_127,GCF_041931765.1;protein_206,GCF_040256845.1;protein_128,GCF_002128265.1;protein_128,GCF_041931565.1;protein_323,GCF_009944725.1;protein_129,GCF_002128145.1;protein_128,GCF_001558175.1;protein_127,GCF_009942155.1;protein_128,GCF_041931755.1;protein_205,GCF_001272775.1;protein_129,GCF_009939765.1;protein_129,GCF_002355715.1;protein_128,GCF_900660465.1;protein_598,GCF_002128285.1;protein_128,GCF_009944335.1;protein_128,GCF_001272755.1;protein_128,GCF_000733995.1;protein_205,GCF_002090215.1;protein_127,GCF_000319655.2;protein_129,GCF_009947575.1;protein_129,GCF_009945865.1;protein_130,GCF_009943805.1;protein_129,GCF_002090295.1;protein_128,,,,,,,
GCF_910574535.1;protein_129,GCF_002128045.1;protein_129,GCF_000319675.2;protein_128,GCF_000027345.1;protein_129,GCF_000283755.1;protein_130,GCF_002127985.1;protein_129,GCF_009947205.1;protein_128,GCF_041931765.1;protein_207,GCF_040256845.1;protein_129,GCF_002128265.1;protein_129,GCF_041931565.1;protein_324,GCF_009944725.1;protein_130,GCF_002128145.1;protein_129,GCF_001558175.1;protein_128,GCF_009942155.1;protein_129,GCF_041931755.1;protein_206,GCF_001272775.1;protein_130,GCF_009939765.1;protein_130,GCF_002355715.1;protein_129,GCF_900660465.1;protein_597,GCF_002128285.1;protein_129,GCF_009944335.1;protein_129,GCF_001272755.1;protein_129,GCF_000733995.1;protein_206,GCF_002090215.1;protein_128,GCF_000319655.2;protein_130,GCF_009947575.1;protein_130,GCF_009945865.1;protein_131,GCF_009943805.1;protein_130,GCF_002090295.1;protein_129,,,,,,,
GCF_910574535.1;protein_13,GCF_002128045.1;protein_13,GCF_000319675.2;protein_13,GCF_000027345.1;protein_13,GCF_000283755.1;protein_13,GCF_002127985.1;protein_13,GCF_009947205.1;protein_13,GCF_041931765.1;protein_90,GCF_040256845.1;protein_13,GCF_002128265.1;protein_13,GCF_041931565.1;protein_209,GCF_009944725.1;protein_13,GCF_002128145.1;protein_13,GCF_001558175.1;protein_13,GCF_009942155.1;protein_13,GCF_041931755.1;protein_90,GCF_001272775.1;protein_13,GCF_009939765.1;protein_13,GCF_002355715.1;protein_13,GCF_900660465.1;protein_714,GCF_002128285.1;protein_13,GCF_009944335.1;protein_13,GCF_001272755.1;protein_13,GCF_000733995.1;protein_89,GCF_002090215.1;protein_13,GCF_000319655.2;protein_13,GCF_009947575.1;protein_13,GCF_009945865.1;protein_13,GCF_009943805.1;protein_13,GCF_002090295.1;protein_13,,,,,,,
GCF_910574535.1;protein_130,GCF_002128045.1;protein_130,GCF_000319675.2;protein_129,GCF_000027345.1;protein_130,GCF_000283755.1;protein_131,GCF_002127985.1;protein_130,GCF_009947205.1;protein_129,GCF_041931765.1;protein_208,GCF_040256845.1;protein_130,GCF_002128265.1;protein_130,GCF_041931565.1;protein_325,GCF_009944725.1;protein_131,GCF_002128145.1;protein_130,GCF_001558175.1;protein_129,GCF_009942155.1;protein_130,GCF_041931755.1;protein_207,GCF_001272775.1;protein_131,GCF_009939765.1;protein_131,GCF_002355715.1;protein_130,GCF_900660465.1;protein_596,GCF_002128285.1;protein_130,GCF_009944335.1;protein_130,GCF_001272755.1;protein_130,GCF_000733995.1;protein_207,GCF_002090215.1;protein_129,GCF_000319655.2;protein_131,GCF_009947575.1;protein_131,GCF_009945865.1;protein_132,GCF_009943805.1;protein_131,GCF_002090295.1;protein_130,,,,,,,
GCF_910574535.1;protein_131,GCF_002128045.1;protein_131,GCF_000319675.2;protein_130,GCF_000027345.1;protein_131,GCF_000283755.1;protein_132,GCF_002127985.1;protein_131,GCF_009947205.1;protein_130,GCF_041931765.1;protein_209,GCF_040256845.1;protein_131,GCF_002128265.1;protein_131,GCF_041931565.1;protein_326,GCF_009944725.1;protein_132,GCF_002128145.1;protein_131,GCF_001558175.1;protein_130,GCF_009942155.1;protein_131,GCF_041931755.1;protein_208,GCF_001272775.1;protein_132,GCF_009939765.1;protein_132,GCF_002355715.1;protein_131,GCF_900660465.1;protein_595,GCF_002128285.1;protein_131,GCF_009944335.1;protein_131,GCF_001272755.1;protein_131,GCF_000733995.1;protein_208,GCF_002090215.1;protein_130,GCF_000319655.2;protein_132,GCF_009947575.1;protein_132,GCF_009945865.1;protein_133,GCF_009943805.1;protein_132,GCF_002090295.1;protein_131,,,,,,,
