GCF_000685705.1,GCF_020735805.1,GCF_021184145.1,GCF_017821655.1,GCF_016757555.1,GCF_006337485.1,GCF_006337745.1,GCF_030323385.1,GCF_002952455.1,GCF_002952675.1
GCF_000685705.1;protein_1007,GCF_020735805.1;protein_1286,GCF_021184145.1;protein_98,GCF_017821655.1;protein_705,GCF_016757555.1;protein_578,GCF_006337485.1;protein_708,GCF_006337745.1;protein_774,GCF_030323385.1;protein_871,GCF_002952455.1;protein_868,GCF_002952675.1;protein_872
GCF_000685705.1;protein_1008,GCF_020735805.1;protein_1287,GCF_021184145.1;protein_99,GCF_017821655.1;protein_706,GCF_016757555.1;protein_577,GCF_006337485.1;protein_707,GCF_006337745.1;protein_773,GCF_030323385.1;protein_872,GCF_002952455.1;protein_869,GCF_002952675.1;protein_873
GCF_000685705.1;protein_1009,GCF_020735805.1;protein_1288,GCF_021184145.1;protein_100,GCF_017821655.1;protein_707,GCF_016757555.1;protein_576,GCF_006337485.1;protein_706,GCF_006337745.1;protein_772,GCF_030323385.1;protein_873,GCF_002952455.1;protein_870,GCF_002952675.1;protein_874
GCF_000685705.1;protein_101,GCF_020735805.1;protein_216,GCF_021184145.1;protein_598,GCF_017821655.1;protein_1177,GCF_016757555.1;protein_1178,GCF_006337485.1;protein_274,GCF_006337745.1;protein_297,GCF_030323385.1;protein_1347,GCF_002952455.1;protein_230,GCF_002952675.1;protein_231
GCF_000685705.1;protein_1010,GCF_020735805.1;protein_1289,GCF_021184145.1;protein_101,GCF_017821655.1;protein_708,GCF_016757555.1;protein_575,GCF_006337485.1;protein_705,GCF_006337745.1;protein_771,GCF_030323385.1;protein_874,GCF_002952455.1;protein_871,GCF_002952675.1;protein_875
GCF_000685705.1;protein_1011,GCF_020735805.1;protein_1290,GCF_021184145.1;protein_102,GCF_017821655.1;protein_709,GCF_016757555.1;protein_574,GCF_006337485.1;protein_704,GCF_006337745.1;protein_770,GCF_030323385.1;protein_875,GCF_002952455.1;protein_872,GCF_002952675.1;protein_876
GCF_000685705.1;protein_1012,GCF_020735805.1;protein_1291,GCF_021184145.1;protein_103,GCF_017821655.1;protein_710,GCF_016757555.1;protein_573,GCF_006337485.1;protein_703,GCF_006337745.1;protein_769,GCF_030323385.1;protein_876,GCF_002952455.1;protein_873,GCF_002952675.1;protein_877
GCF_000685705.1;protein_1013,GCF_020735805.1;protein_1292,GCF_021184145.1;protein_104,GCF_017821655.1;protein_711,GCF_016757555.1;protein_572,GCF_006337485.1;protein_702,GCF_006337745.1;protein_768,GCF_030323385.1;protein_877,GCF_002952455.1;protein_874,GCF_002952675.1;protein_878
GCF_000685705.1;protein_1014,GCF_020735805.1;protein_1293,GCF_021184145.1;protein_105,GCF_017821655.1;protein_712,GCF_016757555.1;protein_571,GCF_006337485.1;protein_701,GCF_006337745.1;protein_767,GCF_030323385.1;protein_878,GCF_002952455.1;protein_875,GCF_002952675.1;protein_879
GCF_000685705.1;protein_1015,GCF_020735805.1;protein_1294,GCF_021184145.1;protein_106,GCF_017821655.1;protein_713,GCF_016757555.1;protein_570,GCF_006337485.1;protein_700,GCF_006337745.1;protein_766,GCF_030323385.1;protein_879,GCF_002952455.1;protein_876,GCF_002952675.1;protein_880
GCF_000685705.1;protein_1016,GCF_020735805.1;protein_1295,GCF_021184145.1;protein_107,GCF_017821655.1;protein_714,GCF_016757555.1;protein_569,GCF_006337485.1;protein_699,GCF_006337745.1;protein_765,GCF_030323385.1;protein_880,GCF_002952455.1;protein_877,GCF_002952675.1;protein_881
GCF_000685705.1;protein_1017,GCF_020735805.1;protein_1296,GCF_021184145.1;protein_108,GCF_017821655.1;protein_715,GCF_016757555.1;protein_568,GCF_006337485.1;protein_698,GCF_006337745.1;protein_764,GCF_030323385.1;protein_881,GCF_002952455.1;protein_878,GCF_002952675.1;protein_882
GCF_000685705.1;protein_1018,GCF_020735805.1;protein_1297,GCF_021184145.1;protein_109,GCF_017821655.1;protein_716,GCF_016757555.1;protein_567,GCF_006337485.1;protein_697,GCF_006337745.1;protein_763,GCF_030323385.1;protein_882,GCF_002952455.1;protein_879,GCF_002952675.1;protein_883
GCF_000685705.1;protein_1019,GCF_020735805.1;protein_1298,GCF_021184145.1;protein_110,GCF_017821655.1;protein_717,GCF_016757555.1;protein_566,GCF_006337485.1;protein_696,GCF_006337745.1;protein_762,GCF_030323385.1;protein_883,GCF_002952455.1;protein_880,GCF_002952675.1;protein_884
GCF_000685705.1;protein_1024,GCF_020735805.1;protein_1302,GCF_021184145.1;protein_115,GCF_017821655.1;protein_721,GCF_016757555.1;protein_562,GCF_006337485.1;protein_693,GCF_006337745.1;protein_757,GCF_030323385.1;protein_889,GCF_002952455.1;protein_885,GCF_002952675.1;protein_889
GCF_000685705.1;protein_1025,GCF_020735805.1;protein_1303,GCF_021184145.1;protein_116,GCF_017821655.1;protein_722,GCF_016757555.1;protein_561,GCF_006337485.1;protein_692,GCF_006337745.1;protein_756,GCF_030323385.1;protein_890,GCF_002952455.1;protein_886,GCF_002952675.1;protein_890
GCF_000685705.1;protein_1026,GCF_020735805.1;protein_1304,GCF_021184145.1;protein_117,GCF_017821655.1;protein_723,GCF_016757555.1;protein_560,GCF_006337485.1;protein_691,GCF_006337745.1;protein_755,GCF_030323385.1;protein_891,GCF_002952455.1;protein_887,GCF_002952675.1;protein_891
GCF_000685705.1;protein_1027,GCF_020735805.1;protein_1305,GCF_021184145.1;protein_118,GCF_017821655.1;protein_724,GCF_016757555.1;protein_559,GCF_006337485.1;protein_690,GCF_006337745.1;protein_754,GCF_030323385.1;protein_892,GCF_002952455.1;protein_888,GCF_002952675.1;protein_892
GCF_000685705.1;protein_1029,GCF_020735805.1;protein_1307,GCF_021184145.1;protein_120,GCF_017821655.1;protein_726,GCF_016757555.1;protein_557,GCF_006337485.1;protein_688,GCF_006337745.1;protein_752,GCF_030323385.1;protein_894,GCF_002952455.1;protein_890,GCF_002952675.1;protein_894
GCF_000685705.1;protein_103,GCF_020735805.1;protein_214,GCF_021184145.1;protein_596,GCF_017821655.1;protein_1175,GCF_016757555.1;protein_1176,GCF_006337485.1;protein_276,GCF_006337745.1;protein_298,GCF_030323385.1;protein_1345,GCF_002952455.1;protein_232,GCF_002952675.1;protein_233
GCF_000685705.1;protein_1030,GCF_020735805.1;protein_1308,GCF_021184145.1;protein_121,GCF_017821655.1;protein_727,GCF_016757555.1;protein_556,GCF_006337485.1;protein_687,GCF_006337745.1;protein_751,GCF_030323385.1;protein_895,GCF_002952455.1;protein_891,GCF_002952675.1;protein_895
GCF_000685705.1;protein_1031,GCF_020735805.1;protein_1309,GCF_021184145.1;protein_122,GCF_017821655.1;protein_728,GCF_016757555.1;protein_555,GCF_006337485.1;protein_686,GCF_006337745.1;protein_750,GCF_030323385.1;protein_896,GCF_002952455.1;protein_892,GCF_002952675.1;protein_896
GCF_000685705.1;protein_1032,GCF_020735805.1;protein_1310,GCF_021184145.1;protein_123,GCF_017821655.1;protein_729,GCF_016757555.1;protein_554,GCF_006337485.1;protein_685,GCF_006337745.1;protein_749,GCF_030323385.1;protein_897,GCF_002952455.1;protein_893,GCF_002952675.1;protein_897
GCF_000685705.1;protein_1033,GCF_020735805.1;protein_1311,GCF_021184145.1;protein_124,GCF_017821655.1;protein_730,GCF_016757555.1;protein_553,GCF_006337485.1;protein_684,GCF_006337745.1;protein_748,GCF_030323385.1;protein_898,GCF_002952455.1;protein_894,GCF_002952675.1;protein_898
GCF_000685705.1;protein_1034,GCF_020735805.1;protein_1312,GCF_021184145.1;protein_125,GCF_017821655.1;protein_731,GCF_016757555.1;protein_552,GCF_006337485.1;protein_683,GCF_006337745.1;protein_747,GCF_030323385.1;protein_899,GCF_002952455.1;protein_895,GCF_002952675.1;protein_899
GCF_000685705.1;protein_1035,GCF_020735805.1;protein_1313,GCF_021184145.1;protein_126,GCF_017821655.1;protein_732,GCF_016757555.1;protein_551,GCF_006337485.1;protein_682,GCF_006337745.1;protein_746,GCF_030323385.1;protein_900,GCF_002952455.1;protein_896,GCF_002952675.1;protein_900
GCF_000685705.1;protein_1036,GCF_020735805.1;protein_1314,GCF_021184145.1;protein_127,GCF_017821655.1;protein_733,GCF_016757555.1;protein_550,GCF_006337485.1;protein_681,GCF_006337745.1;protein_745,GCF_030323385.1;protein_901,GCF_002952455.1;protein_897,GCF_002952675.1;protein_901
GCF_000685705.1;protein_1038,GCF_020735805.1;protein_1315,GCF_021184145.1;protein_129,GCF_017821655.1;protein_734,GCF_016757555.1;protein_549,GCF_006337485.1;protein_679,GCF_006337745.1;protein_744,GCF_030323385.1;protein_902,GCF_002952455.1;protein_898,GCF_002952675.1;protein_902
GCF_000685705.1;protein_1039,GCF_020735805.1;protein_1316,GCF_021184145.1;protein_130,GCF_017821655.1;protein_735,GCF_016757555.1;protein_548,GCF_006337485.1;protein_678,GCF_006337745.1;protein_743,GCF_030323385.1;protein_903,GCF_002952455.1;protein_899,GCF_002952675.1;protein_903
GCF_000685705.1;protein_104,GCF_020735805.1;protein_213,GCF_021184145.1;protein_595,GCF_017821655.1;protein_1174,GCF_016757555.1;protein_1175,GCF_006337485.1;protein_277,GCF_006337745.1;protein_299,GCF_030323385.1;protein_1344,GCF_002952455.1;protein_233,GCF_002952675.1;protein_234
GCF_000685705.1;protein_1040,GCF_020735805.1;protein_1317,GCF_021184145.1;protein_131,GCF_017821655.1;protein_736,GCF_016757555.1;protein_547,GCF_006337485.1;protein_677,GCF_006337745.1;protein_742,GCF_030323385.1;protein_904,GCF_002952455.1;protein_900,GCF_002952675.1;protein_904
GCF_000685705.1;protein_1041,GCF_020735805.1;protein_1318,GCF_021184145.1;protein_132,GCF_017821655.1;protein_737,GCF_016757555.1;protein_546,GCF_006337485.1;protein_676,GCF_006337745.1;protein_741,GCF_030323385.1;protein_905,GCF_002952455.1;protein_901,GCF_002952675.1;protein_905
GCF_000685705.1;protein_1042,GCF_020735805.1;protein_1319,GCF_021184145.1;protein_133,GCF_017821655.1;protein_738,GCF_016757555.1;protein_545,GCF_006337485.1;protein_675,GCF_006337745.1;protein_740,GCF_030323385.1;protein_906,GCF_002952455.1;protein_902,GCF_002952675.1;protein_906
GCF_000685705.1;protein_1043,GCF_020735805.1;protein_1320,GCF_021184145.1;protein_134,GCF_017821655.1;protein_739,GCF_016757555.1;protein_544,GCF_006337485.1;protein_674,GCF_006337745.1;protein_739,GCF_030323385.1;protein_907,GCF_002952455.1;protein_903,GCF_002952675.1;protein_907
GCF_000685705.1;protein_1044,GCF_020735805.1;protein_1321,GCF_021184145.1;protein_135,GCF_017821655.1;protein_740,GCF_016757555.1;protein_543,GCF_006337485.1;protein_673,GCF_006337745.1;protein_738,GCF_030323385.1;protein_908,GCF_002952455.1;protein_904,GCF_002952675.1;protein_908
GCF_000685705.1;protein_1046,GCF_020735805.1;protein_1323,GCF_021184145.1;protein_137,GCF_017821655.1;protein_743,GCF_016757555.1;protein_541,GCF_006337485.1;protein_671,GCF_006337745.1;protein_736,GCF_030323385.1;protein_910,GCF_002952455.1;protein_906,GCF_002952675.1;protein_910
GCF_000685705.1;protein_1047,GCF_020735805.1;protein_1324,GCF_021184145.1;protein_138,GCF_017821655.1;protein_744,GCF_016757555.1;protein_540,GCF_006337485.1;protein_670,GCF_006337745.1;protein_735,GCF_030323385.1;protein_911,GCF_002952455.1;protein_907,GCF_002952675.1;protein_911
GCF_000685705.1;protein_1048,GCF_020735805.1;protein_1325,GCF_021184145.1;protein_139,GCF_017821655.1;protein_745,GCF_016757555.1;protein_539,GCF_006337485.1;protein_669,GCF_006337745.1;protein_734,GCF_030323385.1;protein_912,GCF_002952455.1;protein_908,GCF_002952675.1;protein_912
GCF_000685705.1;protein_1049,GCF_020735805.1;protein_1326,GCF_021184145.1;protein_140,GCF_017821655.1;protein_746,GCF_016757555.1;protein_538,GCF_006337485.1;protein_668,GCF_006337745.1;protein_733,GCF_030323385.1;protein_913,GCF_002952455.1;protein_909,GCF_002952675.1;protein_913
GCF_000685705.1;protein_105,GCF_020735805.1;protein_212,GCF_021184145.1;protein_594,GCF_017821655.1;protein_1173,GCF_016757555.1;protein_1174,GCF_006337485.1;protein_278,GCF_006337745.1;protein_300,GCF_030323385.1;protein_1343,GCF_002952455.1;protein_234,GCF_002952675.1;protein_235
GCF_000685705.1;protein_1050,GCF_020735805.1;protein_1327,GCF_021184145.1;protein_141,GCF_017821655.1;protein_747,GCF_016757555.1;protein_537,GCF_006337485.1;protein_667,GCF_006337745.1;protein_732,GCF_030323385.1;protein_914,GCF_002952455.1;protein_910,GCF_002952675.1;protein_914
GCF_000685705.1;protein_1051,GCF_020735805.1;protein_1328,GCF_021184145.1;protein_142,GCF_017821655.1;protein_748,GCF_016757555.1;protein_536,GCF_006337485.1;protein_666,GCF_006337745.1;protein_731,GCF_030323385.1;protein_915,GCF_002952455.1;protein_911,GCF_002952675.1;protein_915
GCF_000685705.1;protein_1052,GCF_020735805.1;protein_1329,GCF_021184145.1;protein_143,GCF_017821655.1;protein_749,GCF_016757555.1;protein_535,GCF_006337485.1;protein_665,GCF_006337745.1;protein_730,GCF_030323385.1;protein_916,GCF_002952455.1;protein_912,GCF_002952675.1;protein_916
GCF_000685705.1;protein_1053,GCF_020735805.1;protein_1330,GCF_021184145.1;protein_144,GCF_017821655.1;protein_750,GCF_016757555.1;protein_534,GCF_006337485.1;protein_664,GCF_006337745.1;protein_729,GCF_030323385.1;protein_917,GCF_002952455.1;protein_913,GCF_002952675.1;protein_917
GCF_000685705.1;protein_1054,GCF_020735805.1;protein_1331,GCF_021184145.1;protein_145,GCF_017821655.1;protein_751,GCF_016757555.1;protein_533,GCF_006337485.1;protein_663,GCF_006337745.1;protein_728,GCF_030323385.1;protein_918,GCF_002952455.1;protein_914,GCF_002952675.1;protein_918
GCF_000685705.1;protein_1055,GCF_020735805.1;protein_1332,GCF_021184145.1;protein_146,GCF_017821655.1;protein_752,GCF_016757555.1;protein_532,GCF_006337485.1;protein_662,GCF_006337745.1;protein_727,GCF_030323385.1;protein_919,GCF_002952455.1;protein_915,GCF_002952675.1;protein_919
GCF_000685705.1;protein_1056,GCF_020735805.1;protein_1333,GCF_021184145.1;protein_147,GCF_017821655.1;protein_753,GCF_016757555.1;protein_531,GCF_006337485.1;protein_661,GCF_006337745.1;protein_726,GCF_030323385.1;protein_920,GCF_002952455.1;protein_916,GCF_002952675.1;protein_920
GCF_000685705.1;protein_1057,GCF_020735805.1;protein_1334,GCF_021184145.1;protein_148,GCF_017821655.1;protein_754,GCF_016757555.1;protein_530,GCF_006337485.1;protein_660,GCF_006337745.1;protein_725,GCF_030323385.1;protein_921,GCF_002952455.1;protein_917,GCF_002952675.1;protein_921
GCF_000685705.1;protein_1058,GCF_020735805.1;protein_1335,GCF_021184145.1;protein_149,GCF_017821655.1;protein_755,GCF_016757555.1;protein_529,GCF_006337485.1;protein_659,GCF_006337745.1;protein_724,GCF_030323385.1;protein_922,GCF_002952455.1;protein_918,GCF_002952675.1;protein_922
GCF_000685705.1;protein_106,GCF_020735805.1;protein_211,GCF_021184145.1;protein_593,GCF_017821655.1;protein_1172,GCF_016757555.1;protein_1173,GCF_006337485.1;protein_279,GCF_006337745.1;protein_301,GCF_030323385.1;protein_1342,GCF_002952455.1;protein_235,GCF_002952675.1;protein_236
GCF_000685705.1;protein_1060,GCF_020735805.1;protein_1336,GCF_021184145.1;protein_150,GCF_017821655.1;protein_756,GCF_016757555.1;protein_528,GCF_006337485.1;protein_658,GCF_006337745.1;protein_722,GCF_030323385.1;protein_923,GCF_002952455.1;protein_919,GCF_002952675.1;protein_923
GCF_000685705.1;protein_1061,GCF_020735805.1;protein_1337,GCF_021184145.1;protein_151,GCF_017821655.1;protein_757,GCF_016757555.1;protein_527,GCF_006337485.1;protein_657,GCF_006337745.1;protein_721,GCF_030323385.1;protein_924,GCF_002952455.1;protein_920,GCF_002952675.1;protein_924
GCF_000685705.1;protein_1062,GCF_020735805.1;protein_1338,GCF_021184145.1;protein_152,GCF_017821655.1;protein_758,GCF_016757555.1;protein_526,GCF_006337485.1;protein_656,GCF_006337745.1;protein_720,GCF_030323385.1;protein_925,GCF_002952455.1;protein_921,GCF_002952675.1;protein_925
GCF_000685705.1;protein_1064,GCF_020735805.1;protein_1340,GCF_021184145.1;protein_154,GCF_017821655.1;protein_760,GCF_016757555.1;protein_524,GCF_006337485.1;protein_654,GCF_006337745.1;protein_718,GCF_030323385.1;protein_927,GCF_002952455.1;protein_923,GCF_002952675.1;protein_927
GCF_000685705.1;protein_1065,GCF_020735805.1;protein_1341,GCF_021184145.1;protein_155,GCF_017821655.1;protein_761,GCF_016757555.1;protein_523,GCF_006337485.1;protein_653,GCF_006337745.1;protein_717,GCF_030323385.1;protein_928,GCF_002952455.1;protein_924,GCF_002952675.1;protein_928
GCF_000685705.1;protein_1066,GCF_020735805.1;protein_1342,GCF_021184145.1;protein_156,GCF_017821655.1;protein_762,GCF_016757555.1;protein_522,GCF_006337485.1;protein_652,GCF_006337745.1;protein_716,GCF_030323385.1;protein_929,GCF_002952455.1;protein_925,GCF_002952675.1;protein_929
GCF_000685705.1;protein_1067,GCF_020735805.1;protein_1343,GCF_021184145.1;protein_157,GCF_017821655.1;protein_763,GCF_016757555.1;protein_521,GCF_006337485.1;protein_651,GCF_006337745.1;protein_715,GCF_030323385.1;protein_930,GCF_002952455.1;protein_926,GCF_002952675.1;protein_930
GCF_000685705.1;protein_1068,GCF_020735805.1;protein_1344,GCF_021184145.1;protein_158,GCF_017821655.1;protein_764,GCF_016757555.1;protein_520,GCF_006337485.1;protein_650,GCF_006337745.1;protein_714,GCF_030323385.1;protein_931,GCF_002952455.1;protein_927,GCF_002952675.1;protein_931
GCF_000685705.1;protein_1069,GCF_020735805.1;protein_1345,GCF_021184145.1;protein_159,GCF_017821655.1;protein_765,GCF_016757555.1;protein_519,GCF_006337485.1;protein_649,GCF_006337745.1;protein_713,GCF_030323385.1;protein_932,GCF_002952455.1;protein_928,GCF_002952675.1;protein_932
GCF_000685705.1;protein_107,GCF_020735805.1;protein_210,GCF_021184145.1;protein_592,GCF_017821655.1;protein_1171,GCF_016757555.1;protein_1172,GCF_006337485.1;protein_280,GCF_006337745.1;protein_302,GCF_030323385.1;protein_1341,GCF_002952455.1;protein_236,GCF_002952675.1;protein_237
GCF_000685705.1;protein_1070,GCF_020735805.1;protein_1346,GCF_021184145.1;protein_160,GCF_017821655.1;protein_766,GCF_016757555.1;protein_518,GCF_006337485.1;protein_648,GCF_006337745.1;protein_712,GCF_030323385.1;protein_933,GCF_002952455.1;protein_929,GCF_002952675.1;protein_933
GCF_000685705.1;protein_1071,GCF_020735805.1;protein_1347,GCF_021184145.1;protein_161,GCF_017821655.1;protein_767,GCF_016757555.1;protein_517,GCF_006337485.1;protein_647,GCF_006337745.1;protein_711,GCF_030323385.1;protein_934,GCF_002952455.1;protein_930,GCF_002952675.1;protein_934
GCF_000685705.1;protein_1072,GCF_020735805.1;protein_1348,GCF_021184145.1;protein_162,GCF_017821655.1;protein_768,GCF_016757555.1;protein_516,GCF_006337485.1;protein_646,GCF_006337745.1;protein_710,GCF_030323385.1;protein_935,GCF_002952455.1;protein_931,GCF_002952675.1;protein_935
GCF_000685705.1;protein_1073,GCF_020735805.1;protein_1349,GCF_021184145.1;protein_163,GCF_017821655.1;protein_769,GCF_016757555.1;protein_515,GCF_006337485.1;protein_645,GCF_006337745.1;protein_709,GCF_030323385.1;protein_936,GCF_002952455.1;protein_932,GCF_002952675.1;protein_936
GCF_000685705.1;protein_1074,GCF_020735805.1;protein_1353,GCF_021184145.1;protein_167,GCF_017821655.1;protein_770,GCF_016757555.1;protein_514,GCF_006337485.1;protein_640,GCF_006337745.1;protein_708,GCF_030323385.1;protein_937,GCF_002952455.1;protein_933,GCF_002952675.1;protein_937
GCF_000685705.1;protein_1075,GCF_020735805.1;protein_1354,GCF_021184145.1;protein_168,GCF_017821655.1;protein_771,GCF_016757555.1;protein_513,GCF_006337485.1;protein_639,GCF_006337745.1;protein_707,GCF_030323385.1;protein_938,GCF_002952455.1;protein_934,GCF_002952675.1;protein_938
GCF_000685705.1;protein_1076,GCF_020735805.1;protein_1355,GCF_021184145.1;protein_169,GCF_017821655.1;protein_772,GCF_016757555.1;protein_512,GCF_006337485.1;protein_638,GCF_006337745.1;protein_706,GCF_030323385.1;protein_939,GCF_002952455.1;protein_935,GCF_002952675.1;protein_939
GCF_000685705.1;protein_1077,GCF_020735805.1;protein_1356,GCF_021184145.1;protein_170,GCF_017821655.1;protein_773,GCF_016757555.1;protein_511,GCF_006337485.1;protein_637,GCF_006337745.1;protein_705,GCF_030323385.1;protein_940,GCF_002952455.1;protein_936,GCF_002952675.1;protein_940
GCF_000685705.1;protein_1078,GCF_020735805.1;protein_1357,GCF_021184145.1;protein_171,GCF_017821655.1;protein_774,GCF_016757555.1;protein_510,GCF_006337485.1;protein_636,GCF_006337745.1;protein_704,GCF_030323385.1;protein_941,GCF_002952455.1;protein_937,GCF_002952675.1;protein_941
GCF_000685705.1;protein_1079,GCF_020735805.1;protein_1358,GCF_021184145.1;protein_172,GCF_017821655.1;protein_775,GCF_016757555.1;protein_509,GCF_006337485.1;protein_635,GCF_006337745.1;protein_703,GCF_030323385.1;protein_942,GCF_002952455.1;protein_938,GCF_002952675.1;protein_942
GCF_000685705.1;protein_108,GCF_020735805.1;protein_209,GCF_021184145.1;protein_591,GCF_017821655.1;protein_1170,GCF_016757555.1;protein_1171,GCF_006337485.1;protein_281,GCF_006337745.1;protein_303,GCF_030323385.1;protein_1340,GCF_002952455.1;protein_237,GCF_002952675.1;protein_238
GCF_000685705.1;protein_1080,GCF_020735805.1;protein_1359,GCF_021184145.1;protein_173,GCF_017821655.1;protein_776,GCF_016757555.1;protein_508,GCF_006337485.1;protein_634,GCF_006337745.1;protein_702,GCF_030323385.1;protein_943,GCF_002952455.1;protein_939,GCF_002952675.1;protein_943
GCF_000685705.1;protein_1081,GCF_020735805.1;protein_1360,GCF_021184145.1;protein_174,GCF_017821655.1;protein_777,GCF_016757555.1;protein_507,GCF_006337485.1;protein_633,GCF_006337745.1;protein_701,GCF_030323385.1;protein_944,GCF_002952455.1;protein_940,GCF_002952675.1;protein_944
GCF_000685705.1;protein_1082,GCF_020735805.1;protein_1361,GCF_021184145.1;protein_175,GCF_017821655.1;protein_778,GCF_016757555.1;protein_506,GCF_006337485.1;protein_632,GCF_006337745.1;protein_700,GCF_030323385.1;protein_945,GCF_002952455.1;protein_941,GCF_002952675.1;protein_945
GCF_000685705.1;protein_1083,GCF_020735805.1;protein_1362,GCF_021184145.1;protein_176,GCF_017821655.1;protein_779,GCF_016757555.1;protein_505,GCF_006337485.1;protein_631,GCF_006337745.1;protein_699,GCF_030323385.1;protein_946,GCF_002952455.1;protein_942,GCF_002952675.1;protein_946
GCF_000685705.1;protein_1084,GCF_020735805.1;protein_1363,GCF_021184145.1;protein_177,GCF_017821655.1;protein_780,GCF_016757555.1;protein_504,GCF_006337485.1;protein_630,GCF_006337745.1;protein_698,GCF_030323385.1;protein_947,GCF_002952455.1;protein_943,GCF_002952675.1;protein_947
GCF_000685705.1;protein_1086,GCF_020735805.1;protein_1364,GCF_021184145.1;protein_178,GCF_017821655.1;protein_782,GCF_016757555.1;protein_503,GCF_006337485.1;protein_629,GCF_006337745.1;protein_697,GCF_030323385.1;protein_948,GCF_002952455.1;protein_944,GCF_002952675.1;protein_948
GCF_000685705.1;protein_1087,GCF_020735805.1;protein_1365,GCF_021184145.1;protein_179,GCF_017821655.1;protein_783,GCF_016757555.1;protein_502,GCF_006337485.1;protein_628,GCF_006337745.1;protein_696,GCF_030323385.1;protein_949,GCF_002952455.1;protein_945,GCF_002952675.1;protein_949
GCF_000685705.1;protein_1088,GCF_020735805.1;protein_1366,GCF_021184145.1;protein_180,GCF_017821655.1;protein_784,GCF_016757555.1;protein_501,GCF_006337485.1;protein_627,GCF_006337745.1;protein_695,GCF_030323385.1;protein_950,GCF_002952455.1;protein_946,GCF_002952675.1;protein_950
GCF_000685705.1;protein_1089,GCF_020735805.1;protein_1367,GCF_021184145.1;protein_181,GCF_017821655.1;protein_785,GCF_016757555.1;protein_500,GCF_006337485.1;protein_626,GCF_006337745.1;protein_694,GCF_030323385.1;protein_951,GCF_002952455.1;protein_947,GCF_002952675.1;protein_951
