Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Type Material Display Text
ASM4775806v1	GCF_047758065.1	GCA_047758065.1	Bacillus subtilis	1423		Z-294					GCF_047758065.1-RS_2025_02_14	Complete Genome	2025-02-14		1	
ASM4775834v1	GCF_047758345.1	GCA_047758345.1	Bacillus subtilis	1423		W-2					GCF_047758345.1-RS_2025_02_14	Complete Genome	2025-02-14		1	
ASM2479988v1	GCF_024799885.1	GCA_024799885.1	Bacillus subtilis	1423		SRCM117108					GCF_024799885.1-RS_2026_02_23	Complete Genome	2022-08-31		1	
NRS6186B	GCF_905319135.2	GCA_905319135.2	Bacillus subtilis	1423					NRS6186		GCF_905319135.2-RS_2025_06_12	Complete Genome	2023-02-02		2	
ASM3012314v1	GCF_030123145.1	GCA_030123145.1	Bacillus subtilis	1423		KF24					GCF_030123145.1-RS_2025_06_21	Complete Genome	2023-05-27		1	
ASM170409v1	GCF_001704095.1	GCA_001704095.1	Bacillus subtilis	1423		HJ0-6					GCF_001704095.1-RS_2025_03_23	Complete Genome	2016-08-12		1	
BS34ACh	GCF_000952895.1	GCA_000952895.1	Bacillus subtilis	1423		BS34A					GCF_000952895.1-RS_2025_06_29	Complete Genome	2014-11-20		1	
ASM2245354v1	GCF_022453545.1	GCA_022453545.1	Bacillus subtilis	1423		YB-15					GCF_022453545.1-RS_2025_05_25	Complete Genome	2022-03-03		1	
ASM4449938v1	GCF_044499385.1	GCA_044499385.1	Bacillus subtilis	1423		BF12B1					GCF_044499385.1-RS_2024_11_06	Complete Genome	2024-11-06		1	
ASM411977v1	GCF_004119775.1	GCA_004119775.1	Bacillus subtilis	1423		SRCM103612					GCF_004119775.1-RS_2025_06_30	Complete Genome	2019-01-30		4	
ASM3064384v1	GCF_030643845.1	GCA_030643845.1	Bacillus subtilis	1423		GXD-20					GCF_030643845.1-RS_2025_08_19	Complete Genome	2023-08-04		1	
ASM2953697v2	GCF_029536975.1	GCA_029536975.2	Bacillus subtilis	1423		DSM 5611					GCF_029536975.1-RS_2025_04_27	Complete Genome	2025-04-15		2	
NRS6127B	GCF_905315045.2	GCA_905315045.2	Bacillus subtilis	1423					NRS6127		GCF_905315045.2-RS_2025_06_12	Complete Genome	2023-02-02		1	
ASM966219v1	GCF_009662195.1	GCA_009662195.1	Bacillus subtilis	1423		MB8_B10					GCF_009662195.1-RS_2025_06_30	Complete Genome	2019-11-14		1	
NRS6160B	GCF_905315715.2	GCA_905315715.2	Bacillus subtilis	1423					NRS6160		GCF_905315715.2-RS_2025_06_12	Complete Genome	2023-02-02		1	
ASM966225v1	GCF_009662255.1	GCA_009662255.1	Bacillus subtilis	1423		MB8_B1					GCF_009662255.1-RS_2025_07_01	Complete Genome	2019-11-14		1	
ASM2139854v1	GCF_021398545.1	GCA_021398545.1	Bacillus subtilis	1423		Bsi					GCF_021398545.1-RS_2025_03_10	Complete Genome	2022-01-10		1	
ASM2307843v1	GCF_023078435.1	GCA_023078435.1	Bacillus subtilis	1423		N4					GCF_023078435.1-RS_2025_06_14	Complete Genome	2022-04-21		1	
ASM5329188v1	GCF_053291885.1	GCA_053291885.1	Bacillus subtilis	1423		BCR2					GCF_053291885.1-RS_2025_11_18	Complete Genome	2025-11-01	JBRXBG01	1	
ASM2641004v1	GCF_026410045.1	GCA_026410045.1	Bacillus subtilis	1423		O4					GCF_026410045.1-RS_2025_02_22	Complete Genome	2022-11-26		1	
ASM936383v1	GCF_009363835.1	GCA_009363835.1	Bacillus subtilis	1423		JAAA					GCF_009363835.1-RS_2025_06_29	Complete Genome	2019-10-28		2	
ASM1970447v1	GCF_019704475.1	GCA_019704475.1	Bacillus subtilis	1423		BEST3145					GCF_019704475.1-RS_2026_02_23	Complete Genome	2021-05-14		1	
NRS6153B	GCF_905315705.2	GCA_905315705.2	Bacillus subtilis	1423					NRS6153		GCF_905315705.2-RS_2025_06_12	Complete Genome	2023-02-02		1	
ASM3425859v1	GCF_034258595.1	GCA_034258595.1	Bacillus subtilis	1423		GUCC4					GCF_034258595.1-RS_2025_02_12	Complete Genome	2023-12-09		1	
ASM3005379v1	GCF_030053795.1	GCA_030053795.1	Bacillus subtilis	1423		GUCC48					GCF_030053795.1-RS_2025_06_16	Complete Genome	2023-05-21		1	
ASM1606541v1	GCF_016065415.1	GCA_016065415.1	Bacillus subtilis	1423		LBUM979					GCF_016065415.1-RS_2025_06_30	Complete Genome	2020-12-15		1	
YB-187 genome	GCF_038442665.1	GCA_038442665.1	Bacillus subtilis	1423		YB-187					GCF_038442665.1-RS_2025_05_01	Complete Genome	2024-04-25		1	
ASM3799716v1	GCF_037997165.1	GCA_037997165.1	Bacillus subtilis	1423		JNF2					GCF_037997165.1-RS_2025_04_29	Complete Genome	2024-04-09		1	
ASM5211986v1	GCF_052119865.1	GCA_052119865.1	Bacillus subtilis	1423		2-H1					GCF_052119865.1-RS_2025_08_19	Complete Genome	2025-08-19	JBQJFO01	2	
ASM2887033v1	GCF_028870335.1	GCA_028870335.1	Bacillus subtilis	1423		YZSR384					GCF_028870335.1-RS_2025_05_09	Complete Genome	2023-02-27		1	
ASM5151510v1	GCF_051515105.1	GCA_051515105.1	Bacillus subtilis	1423		M4					GCF_051515105.1-RS_2025_07_25	Complete Genome	2025-07-29		2	
ASM1993171v1	GCF_019931715.1	GCA_019931715.1	Bacillus subtilis	1423		FJAT-4					GCF_019931715.1-RS_2025_01_16	Complete Genome	2021-09-13		2	
ASM4712022v1	GCF_047120225.1	GCA_047120225.1	Bacillus subtilis	1423		NCIB_3610					GCF_047120225.1-RS_2025_01_25	Complete Genome	2025-01-25		1	
ASM5207792v1	GCF_052077925.1	GCA_052077925.1	Bacillus subtilis	1423		2-WTA					GCF_052077925.1-RS_2025_08_19	Complete Genome	2025-08-17	JBQJFP01	2	
ASM5211987v1	GCF_052119875.1	GCA_052119875.1	Bacillus subtilis	1423		2-E1					GCF_052119875.1-RS_2025_08_19	Complete Genome	2025-08-19	JBQJFN01	2	
ASM4626783v1	GCF_046267835.1	GCA_046267835.1	Bacillus subtilis	1423		M51					GCF_046267835.1-RS_2024_12_25	Complete Genome	2024-12-26		2	
ASM1338833v1	GCF_013388335.1	GCA_013388335.1	Bacillus subtilis	1423		SP1					GCF_013388335.1-RS_2025_06_29	Complete Genome	2020-07-04		1	
ASM2475251v1	GCF_024752515.1	GCA_024752515.1	Bacillus subtilis	1423		0137					GCF_024752515.1-RS_2026_03_06	Complete Genome	2022-08-28		1	
ASM2270095v1	GCF_022700955.1	GCA_022700955.1	Bacillus subtilis	1423		N1303-2Ay					GCF_022700955.1-RS_2025_06_06	Complete Genome	2022-03-28		1	
ASM2270097v1	GCF_022700975.1	GCA_022700975.1	Bacillus subtilis	1423		N1282-4at					GCF_022700975.1-RS_2025_06_06	Complete Genome	2022-03-28		1	
ASM2270093v1	GCF_022700935.1	GCA_022700935.1	Bacillus subtilis	1423		N1108-5at					GCF_022700935.1-RS_2025_06_05	Complete Genome	2022-03-28		1	
ASM2270089v1	GCF_022700895.1	GCA_022700895.1	Bacillus subtilis	1423		N1142-3at					GCF_022700895.1-RS_2025_06_06	Complete Genome	2022-03-28		1	
ASM966243v1	GCF_009662435.1	GCA_009662435.1	Bacillus subtilis	1423		P8_B1					GCF_009662435.1-RS_2025_06_30	Complete Genome	2019-11-14		2	
ASM966241v1	GCF_009662415.1	GCA_009662415.1	Bacillus subtilis	1423		P8_B3					GCF_009662415.1-RS_2024_06_23	Complete Genome	2019-11-14		2	
ASM3064376v1	GCF_030643765.1	GCA_030643765.1	Bacillus subtilis	1423		JD-014					GCF_030643765.1-RS_2025_08_19	Complete Genome	2023-08-04		2	
ASM78929v1	GCF_000789295.1	GCA_000789295.1	Bacillus subtilis	1423		PS832					GCF_000789295.1-RS_2025_06_28	Complete Genome	2014-12-04		1	
ASM2749743v1	GCF_027497435.1	GCA_027497435.1	Bacillus subtilis	1423		1					GCF_027497435.1-RS_2025_03_18	Complete Genome	2022-12-29		2	
ASM361095v1	GCF_003610955.1	GCA_003610955.1	Bacillus subtilis	1423		WB800N					GCF_003610955.1-RS_2025_06_30	Complete Genome	2018-10-03		1	
ASM5406557v1	GCF_054065575.1	GCA_054065575.1	Bacillus subtilis	1423		HM01					GCF_054065575.1-RS_2025_12_18	Complete Genome	2025-12-17	JBSURO01	1	
ASM5212089v1	GCF_052120895.1	GCA_052120895.1	Bacillus subtilis	1423		2-F2					GCF_052120895.1-RS_2025_08_19	Complete Genome	2025-08-19	JBQJFM01	2	
ASM3405411v1	GCF_034054115.1	GCA_034054115.1	Bacillus subtilis	1423		H17-16					GCF_034054115.1-RS_2025_02_04	Complete Genome	2023-12-04		1	
ASM991351v1	GCF_009913515.1	GCA_009913515.1	Bacillus subtilis	1423		SRCM102748					GCF_009913515.1-RS_2025_06_30	Complete Genome	2020-01-22		1	
ASM1888416v1	GCF_018884165.1	GCA_018884165.1	Bacillus subtilis	1423		s-16					GCF_018884165.1-RS_2025_07_22	Complete Genome	2021-06-15		1	
ASM986686v1	GCF_009866865.1	GCA_009866865.1	Bacillus subtilis	1423		7PJ-16					GCF_009866865.1-RS_2025_06_29	Complete Genome	2020-01-14		1	
ASM5357047v1	GCF_053570475.1	GCA_053570475.1	Bacillus subtilis	1423		LvBs001					GCF_053570475.1-RS_2025_11_20	Complete Genome	2025-11-19	JBSEDK01	1	
ASM5207791v1	GCF_052077915.1	GCA_052077915.1	Bacillus subtilis	1423		2-WTB					GCF_052077915.1-RS_2025_08_19	Complete Genome	2025-08-17	JBQJFQ01	2	
ASM1970435v1	GCF_019704355.1	GCA_019704355.1	Bacillus subtilis	1423		BEST3096					GCF_019704355.1-RS_2026_02_23	Complete Genome	2021-05-14		1	
ASM410136v1	GCF_004101365.1	GCA_004101365.1	Bacillus subtilis	1423		SRCM103886					GCF_004101365.1-RS_2025_06_29	Complete Genome	2019-01-22		1	
ASM2953707v2	GCF_029537075.2	GCA_029537075.2	Bacillus subtilis	1423		DSM 23521					GCF_029537075.2-RS_2025_06_18	Complete Genome	2025-06-16		1	
ASM3268086v1	GCF_032680865.1	GCA_032680865.1	Bacillus subtilis	1423		A9					GCF_032680865.1-RS_2026_02_24	Complete Genome	2023-10-15		1	
ASM1487927v1	GCF_014879275.1	GCA_014879275.1	Bacillus subtilis	1423		CV16					GCF_014879275.1-RS_2025_06_29	Complete Genome	2020-10-12		1	
ASM3565851v1	GCF_035658515.1	GCA_035658515.1	Bacillus subtilis	1423		PM0031					GCF_035658515.1-RS_2025_03_09	Complete Genome	2024-01-15		3	
ASM5278341v1	GCF_052783415.1	GCA_052783415.1	Bacillus subtilis	1423		SNUY1					GCF_052783415.1-RS_2025_09_24	Complete Genome	2025-09-26		1	
ASM5084733v1	GCF_050847335.1	GCA_050847335.1	Bacillus subtilis	1423		natto					GCF_050847335.1-RS_2025_06_09	Complete Genome	2025-06-09		1	
ASM226919v1	GCF_002269195.1	GCA_002269195.1	Bacillus subtilis	1423		DKU_NT_03					GCF_002269195.1-RS_2025_06_30	Complete Genome	2017-08-24		1	
ASM3084788v1	GCF_030847885.1	GCA_030847885.1	Bacillus subtilis	1423		RLI2019					GCF_030847885.1-RS_2025_09_11	Complete Genome	2023-08-21		1	
ASM160499v1	GCF_001604995.1	GCA_001604995.1	Bacillus subtilis	1423		SZMC 6179J			B23		GCF_001604995.1-RS_2025_03_23	Complete Genome	2016-03-31		1	
ASM1970437v1	GCF_019704375.1	GCA_019704375.1	Bacillus subtilis	1423		BEST3102					GCF_019704375.1-RS_2026_02_23	Complete Genome	2021-05-14		1	
ASM1970433v1	GCF_019704335.1	GCA_019704335.1	Bacillus subtilis	1423		BEST3095					GCF_019704335.1-RS_2026_02_23	Complete Genome	2021-05-14		1	
ASM1970445v1	GCF_019704455.1	GCA_019704455.1	Bacillus subtilis	1423		BEST3136					GCF_019704455.1-RS_2026_02_23	Complete Genome	2021-05-14		1	
ASM4081956v1	GCF_040819565.1	GCA_040819565.1	Bacillus subtilis	1423		DYJ22					GCF_040819565.1-RS_2024_07_24	Complete Genome	2024-07-24		1	
ASM5448966v1	GCF_054489665.1	GCA_054489665.1	Bacillus subtilis	1423		DYJ30					GCF_054489665.1-RS_2026_01_14	Complete Genome	2026-01-13	JBTMXI01	1	
ASM1970441v1	GCF_019704415.1	GCA_019704415.1	Bacillus subtilis	1423		BEST3109					GCF_019704415.1-RS_2026_02_23	Complete Genome	2021-05-14		1	
ASM991353v1	GCF_009913535.1	GCA_009913535.1	Bacillus subtilis	1423		SRCM102749					GCF_009913535.1-RS_2025_06_30	Complete Genome	2020-01-22		2	
ASM410353v1	GCF_004103535.1	GCA_004103535.1	Bacillus subtilis	1423		SRCM103517					GCF_004103535.1-RS_2025_06_29	Complete Genome	2019-01-23		2	
ASM1970439v1	GCF_019704395.1	GCA_019704395.1	Bacillus subtilis	1423		BEST3106					GCF_019704395.1-RS_2026_02_23	Complete Genome	2021-05-14		1	
ASM966221v1	GCF_009662215.1	GCA_009662215.1	Bacillus subtilis	1423		MB8_B7					GCF_009662215.1-RS_2025_06_30	Complete Genome	2019-11-14		2	
ASM1970443v1	GCF_019704435.1	GCA_019704435.1	Bacillus subtilis	1423		BEST3125					GCF_019704435.1-RS_2026_02_23	Complete Genome	2021-05-14		1	
NRS6181B	GCF_905318255.2	GCA_905318255.2	Bacillus subtilis	1423					NRS6181		GCF_905318255.2-RS_2025_06_12	Complete Genome	2023-02-02		2	
ASM1560262v1	GCF_015602625.1	GCA_015602625.1	Bacillus subtilis	1423		R31					GCF_015602625.1-RS_2025_06_29	Complete Genome	2020-11-19		1	
ASM174744v1	GCF_001747445.1	GCA_001747445.1	Bacillus subtilis	1423		HRBS-10TDI13					GCF_001747445.1-RS_2025_07_10	Complete Genome	2016-09-28		2	
ASM4134481v1	GCF_041344815.1	GCA_041344815.1	Bacillus subtilis	1423		TE3T-UV25					GCF_041344815.1-RS_2024_08_20	Complete Genome	2024-08-21		1	
ASM4727589v1	GCF_047275895.1	GCA_047275895.1	Bacillus subtilis	1423		BS18-1					GCF_047275895.1-RS_2025_01_28	Complete Genome	2025-01-29		1	
ASM5610832v1	GCF_056108325.1	GCA_056108325.1	Bacillus subtilis	1423		P10-2					GCF_056108325.1-RS_2026_03_20	Complete Genome	2026-03-19	JBVYOE01	1	
ASM949781v1	GCF_009497815.1	GCA_009497815.1	Bacillus subtilis	1423		HMNig-2					GCF_009497815.1-RS_2025_06_30	Complete Genome	2019-11-04		1	
ASM5455251v1	GCF_054552515.1	GCA_054552515.1	Bacillus subtilis	1423		BsR8					GCF_054552515.1-RS_2026_01_20	Complete Genome	2026-01-19	JBTONR01	2	
ASM5455261v1	GCF_054552615.1	GCA_054552615.1	Bacillus subtilis	1423		BsR6					GCF_054552615.1-RS_2026_01_20	Complete Genome	2026-01-19	JBTONP01	2	
ASM5569068v1	GCF_055690685.1	GCA_055690685.1	Bacillus subtilis	1423		S-LA1					GCF_055690685.1-RS_2026_03_06	Complete Genome	2026-03-05	JBTKTN01	1	
ASM2963716v1	GCF_029637165.1	GCA_029637165.1	Bacillus subtilis	1423		ID-A05					GCF_029637165.1-RS_2025_06_05	Complete Genome	2023-04-10		1	
ASM5455253v1	GCF_054552535.1	GCA_054552535.1	Bacillus subtilis	1423		BsR7					GCF_054552535.1-RS_2026_01_20	Complete Genome	2026-01-19	JBTONQ01	2	
ASM1946433v1	GCF_019464335.1	GCA_019464335.1	Bacillus subtilis	1423		HD15					GCF_019464335.1-RS_2026_02_24	Complete Genome	2021-08-09		1	
ASM3531960v1	GCF_035319605.1	GCA_035319605.1	Bacillus subtilis	1423		DKU_09					GCF_035319605.1-RS_2025_02_26	Complete Genome	2024-01-09		1	
ASM966227v1	GCF_009662275.1	GCA_009662275.1	Bacillus subtilis	1423		73					GCF_009662275.1-RS_2024_06_23	Complete Genome	2019-11-14		1	
ASM4503773v1	GCF_045037735.1	GCA_045037735.1	Bacillus subtilis	1423		FJYA24					GCF_045037735.1-RS_2024_11_20	Complete Genome	2024-11-22		1	
ASM172050v1	GCF_001720505.1	GCA_001720505.1	Bacillus subtilis	1423		BS16045					GCF_001720505.1-RS_2025_03_23	Complete Genome	2016-09-07		1	
ASM2265479v1	GCF_022654795.1	GCA_022654795.1	Bacillus subtilis	1423		H2					GCF_022654795.1-RS_2025_02_02	Complete Genome	2022-03-21		1	
ASM3720193v1	GCF_037201935.1	GCA_037201935.1	Bacillus subtilis	1423		YT1					GCF_037201935.1-RS_2025_04_28	Complete Genome	2024-04-05		2	
NRS6134B	GCF_905315395.2	GCA_905315395.2	Bacillus subtilis	1423					NRS6134		GCF_905315395.2-RS_2025_06_12	Complete Genome	2023-02-02		3	
ASM966223v1	GCF_009662235.1	GCA_009662235.1	Bacillus subtilis	1423		75					GCF_009662235.1-RS_2025_06_30	Complete Genome	2019-11-14		1	
ASM1775378v1	GCF_017753785.1	GCA_017753785.1	Bacillus subtilis	1423		YB-04					GCF_017753785.1-RS_2025_06_29	Complete Genome	2021-04-05		1	
ASM2352127v1	GCF_023521275.1	GCA_023521275.1	Bacillus subtilis	1423		PK5_68					GCF_023521275.1-RS_2025_06_21	Complete Genome	2022-05-23		1	
ASM2480258v1	GCF_024802585.1	GCA_024802585.1	Bacillus subtilis	1423		SRCM115947					GCF_024802585.1-RS_2026_02_23	Complete Genome	2022-08-31		1	
ASM5191250v1	GCF_051912505.1	GCA_051912505.1	Bacillus subtilis	1423		4E					GCF_051912505.1-RS_2025_08_12	Complete Genome	2025-08-12		2	
ASM5081832v1	GCF_050818325.1	GCA_050818325.1	Bacillus subtilis	1423		FW2					GCF_050818325.1-RS_2025_06_07	Complete Genome	2025-06-07		1	
ASM2450809v1	GCF_024508095.1	GCA_024508095.1	Bacillus subtilis	1423		RUB331					GCF_024508095.1-RS_2025_08_27	Complete Genome	2022-08-03		1	
ASM410144v1	GCF_004101445.1	GCA_004101445.1	Bacillus subtilis	1423		SRCM103881					GCF_004101445.1-RS_2025_06_29	Complete Genome	2019-01-22		1	
ASM2352163v1	GCF_023521635.1	GCA_023521635.1	Bacillus subtilis	1423		PK1_2					GCF_023521635.1-RS_2025_06_22	Complete Genome	2022-05-23		1	
ASM991359v1	GCF_009913595.1	GCA_009913595.1	Bacillus subtilis	1423		SRCM102756					GCF_009913595.1-RS_2025_06_29	Complete Genome	2020-01-22		1	
ASM4578005v1	GCF_045780055.1	GCA_045780055.1	Bacillus subtilis	1423		CF03					GCF_045780055.1-RS_2024_12_07	Complete Genome	2024-12-07		1	
ASM411969v1	GCF_004119695.1	GCA_004119695.1	Bacillus subtilis	1423		SRCM103837					GCF_004119695.1-RS_2025_06_30	Complete Genome	2019-01-30		1	
