Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	Type Material Display Text
ASM1674945v1	GCF_016749455.1	GCA_016749455.1	Helicobacter pylori	210		PUNO-010					GCF_016749455.1-RS_2025_04_07	Complete Genome	2021-01-25		1	
ASM633748v1	GCF_006337485.1	GCA_006337485.1	Helicobacter pylori	210		173-A-EK1					GCF_006337485.1-RS_2025_04_16	Complete Genome	2019-06-13		1	
ASM1782159v1	GCF_017821595.1	GCA_017821595.1	Helicobacter pylori	210		MT5114					GCF_017821595.1-RS_2025_04_08	Complete Genome	2021-04-07		1	
ASM2172960v1	GCF_021729605.1	GCA_021729605.1	Helicobacter pylori	210		Hk711					GCF_021729605.1-RS_2025_03_15	Complete Genome	2022-01-31		1	
ASM1782135v1	GCF_017821355.1	GCA_017821355.1	Helicobacter pylori	210		MT5125					GCF_017821355.1-RS_2025_05_28	Complete Genome	2021-04-07		3	
ASM2118414v1	GCF_021184145.1	GCA_021184145.1	Helicobacter pylori	210		J99 derivative			D1		GCF_021184145.1-RS_2026_01_17	Complete Genome	2021-12-15		1	
HE93_10	GCF_900176185.1	GCA_900176185.1	Helicobacter pylori	210					HE93/10_v1		GCF_900176185.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
ASM5539527v1	GCF_055395275.1	GCA_055395275.1	Helicobacter pylori	210		JCM 12095					GCF_055395275.1-RS_2026_02_24	Complete Genome	2026-02-25		1	
ASM633804v1	GCF_006338045.1	GCA_006338045.1	Helicobacter pylori	210		23-A-EK1					GCF_006338045.1-RS_2025_04_05	Complete Genome	2019-06-13		1	
ASM363685v2	GCF_003636855.2	GCA_003636855.2	Helicobacter pylori	210		HP14039					GCF_003636855.2-RS_2025_04_08	Complete Genome	2019-02-04		1	
ASM783685v1	GCF_007836855.1	GCA_007836855.1	Helicobacter pylori	210		7.13					GCF_007836855.1-RS_2025_04_09	Complete Genome	2019-08-05		1	
ASM1675759v1	GCF_016757595.1	GCA_016757595.1	Helicobacter pylori	210		SHIM-010					GCF_016757595.1-RS_2025_04_06	Complete Genome	2021-01-27		1	
ASM779493v1	GCF_007794935.1	GCA_007794935.1	Helicobacter pylori	210		B128 7.13					GCF_007794935.1-RS_2025_04_21	Complete Genome	2019-08-01		2	
ASM1675573v1	GCF_016755735.1	GCA_016755735.1	Helicobacter pylori	210		SHIM-002					GCF_016755735.1-RS_2025_04_07	Complete Genome	2021-01-25		1	
ASM295263v1	GCF_002952635.1	GCA_002952635.1	Helicobacter pylori	210		7.13_R2b					GCF_002952635.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM295261v1	GCF_002952615.1	GCA_002952615.1	Helicobacter pylori	210		7.13_R3a					GCF_002952615.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM295253v1	GCF_002952535.1	GCA_002952535.1	Helicobacter pylori	210		7.13_R3b					GCF_002952535.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM295251v1	GCF_002952515.1	GCA_002952515.1	Helicobacter pylori	210		7.13_R3c					GCF_002952515.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM295267v1	GCF_002952675.1	GCA_002952675.1	Helicobacter pylori	210		7.13_R1a					GCF_002952675.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM295245v1	GCF_002952455.1	GCA_002952455.1	Helicobacter pylori	210		7.13_D3a					GCF_002952455.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM295247v1	GCF_002952475.1	GCA_002952475.1	Helicobacter pylori	210		7.13_D3b					GCF_002952475.1-RS_2025_12_21	Complete Genome	2018-02-26		1	
ASM295249v1	GCF_002952495.1	GCA_002952495.1	Helicobacter pylori	210					7.13_D3c		GCF_002952495.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM295265v1	GCF_002952655.1	GCA_002952655.1	Helicobacter pylori	210		7.13_R1b					GCF_002952655.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM295255v1	GCF_002952555.1	GCA_002952555.1	Helicobacter pylori	210		7.13_R2c					GCF_002952555.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM295259v1	GCF_002952595.1	GCA_002952595.1	Helicobacter pylori	210		7.13_R1c					GCF_002952595.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM295197v1	GCF_002951975.1	GCA_002951975.1	Helicobacter pylori	210		B128_1					GCF_002951975.1-RS_2026_01_25	Complete Genome	2018-02-26		1	
ASM295257v1	GCF_002952575.1	GCA_002952575.1	Helicobacter pylori	210		7.13_R2a					GCF_002952575.1-RS_2026_02_05	Complete Genome	2018-02-26		1	
ASM290649v1	GCF_002906495.1	GCA_002906495.1	Helicobacter pylori	210		dRdM1					GCF_002906495.1-RS_2026_01_16	Complete Genome	2018-01-30		1	
HE141_09	GCF_900120205.1	GCA_900120205.1	Helicobacter pylori	210					HE141/09		GCF_900120205.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
HE170_09	GCF_900120315.1	GCA_900120315.1	Helicobacter pylori	210					HE170/09		GCF_900120315.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
ASM295355v1	GCF_002953555.1	GCA_002953555.1	Helicobacter pylori	210		dRdM2addM2					GCF_002953555.1-RS_2026_01_16	Complete Genome	2018-02-06		1	
ASM1782147v1	GCF_017821475.1	GCA_017821475.1	Helicobacter pylori	210		MT5111					GCF_017821475.1-RS_2025_04_08	Complete Genome	2021-04-07		1	
HE132_09	GCF_900120135.1	GCA_900120135.1	Helicobacter pylori	210					HE132/09		GCF_900120135.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
ASM1997405v1	GCF_019974055.1	GCA_019974055.1	Helicobacter pylori	210		#8					GCF_019974055.1-RS_2026_01_03	Complete Genome	2021-08-03		1	
HE136_09	GCF_900120225.1	GCA_900120225.1	Helicobacter pylori	210					HE136/09		GCF_900120225.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
ASM1674879v1	GCF_016748795.1	GCA_016748795.1	Helicobacter pylori	210		LIM-008					GCF_016748795.1-RS_2025_04_04	Complete Genome	2021-01-25		1	
HE142_09	GCF_900120275.1	GCA_900120275.1	Helicobacter pylori	210					HE142/09		GCF_900120275.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
ASM1782127v1	GCF_017821275.1	GCA_017821275.1	Helicobacter pylori	210		MT5105					GCF_017821275.1-RS_2025_05_28	Complete Genome	2021-04-07		1	
HE178_09	GCF_900120055.1	GCA_900120055.1	Helicobacter pylori	210					HE178/09		GCF_900120055.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
BCM-300	GCF_900149805.1	GCA_900149805.1	Helicobacter pylori	210					BCM-300		GCF_900149805.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
HE134_09	GCF_900120185.1	GCA_900120185.1	Helicobacter pylori	210					HE134/09		GCF_900120185.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
HE101_09	GCF_900120255.1	GCA_900120255.1	Helicobacter pylori	210					HE101/09		GCF_900120255.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
HE147_09	GCF_900120335.1	GCA_900120335.1	Helicobacter pylori	210					HE147/09		GCF_900120335.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
HE171_09	GCF_900119955.1	GCA_900119955.1	Helicobacter pylori	210					HE171/09		GCF_900119955.1-RS_2026_02_11	Complete Genome	2017-07-07		1	
ASM82702v1	GCF_000827025.1	GCA_000827025.1	Helicobacter pylori	210		26695-1MET					GCF_000827025.1-RS_2026_01_24	Complete Genome	2015-01-21		1	
ASM290655v1	GCF_002906555.1	GCA_002906555.1	Helicobacter pylori	210		26695-dRdM2					GCF_002906555.1-RS_2026_01_16	Complete Genome	2018-01-30		1	
ASM290653v1	GCF_002906535.1	GCA_002906535.1	Helicobacter pylori	210		26695-dR					GCF_002906535.1-RS_2026_01_16	Complete Genome	2018-01-30		1	
ASM2292169v1	GCF_022921695.1	GCA_022921695.1	Helicobacter pylori	210		Hpfe110					GCF_022921695.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM1312211v1	GCF_013122115.1	GCA_013122115.1	Helicobacter pylori	210		HPY					GCF_013122115.1-RS_2025_07_16	Complete Genome	2020-05-19		2	
ASM1312205v1	GCF_013122055.1	GCA_013122055.1	Helicobacter pylori	210		HP1352					GCF_013122055.1-RS_2025_07_16	Complete Genome	2020-05-19		2	
ASM784403v1	GCF_007844035.1	GCA_007844035.1	Helicobacter pylori	210		B136A					GCF_007844035.1-RS_2025_04_21	Complete Genome	2019-08-05		1	
ASM3032338v1	GCF_030323385.1	GCA_030323385.1	Helicobacter pylori	210		BS31					GCF_030323385.1-RS_2025_06_22	Complete Genome	2023-06-22		1	
ASM1312203v1	GCF_013122035.1	GCA_013122035.1	Helicobacter pylori	210		HP9192					GCF_013122035.1-RS_2025_07_16	Complete Genome	2020-05-19		2	
ASM1782163v1	GCF_017821635.1	GCA_017821635.1	Helicobacter pylori	210		MT5124					GCF_017821635.1-RS_2025_05_28	Complete Genome	2021-04-07		1	
ASM1782165v1	GCF_017821655.1	GCA_017821655.1	Helicobacter pylori	210		MT5136					GCF_017821655.1-RS_2025_04_04	Complete Genome	2021-04-07		1	
ASM165341v1	GCF_001653415.1	GCA_001653415.1	Helicobacter pylori	210		CC33C					GCF_001653415.1-RS_2026_01_27	Complete Genome	2016-05-27		1	
ASM633787v1	GCF_006337875.1	GCA_006337875.1	Helicobacter pylori	210		24-A-EK1					GCF_006337875.1-RS_2025_04_04	Complete Genome	2019-06-13		1	
ASM68570v1	GCF_000685705.1	GCA_000685705.1	Helicobacter pylori	210		BM012B					GCF_000685705.1-RS_2026_01_27	Complete Genome	2014-05-08		1	
ASM2172950v1	GCF_021729505.1	GCA_021729505.1	Helicobacter pylori	210		UBN18					GCF_021729505.1-RS_2025_03_15	Complete Genome	2022-01-31		1	
ASM1091767v1	GCF_010917675.1	GCA_010917675.1	Helicobacter pylori	210		GCT 97					GCF_010917675.1-RS_2025_04_16	Complete Genome	2020-02-21		1	
ASM3040658v1	GCF_030406585.1	GCA_030406585.1	Helicobacter pylori	210		HP45k					GCF_030406585.1-RS_2025_07_06	Complete Genome	2023-07-05		1	
ASM1675755v1	GCF_016757555.1	GCA_016757555.1	Helicobacter pylori	210		PUNO-006					GCF_016757555.1-RS_2025_04_07	Complete Genome	2021-01-27		1	
ASM1674971v1	GCF_016749715.1	GCA_016749715.1	Helicobacter pylori	210		PUNO-008					GCF_016749715.1-RS_2025_04_21	Complete Genome	2021-01-25		1	
ASM2073580v1	GCF_020735805.1	GCA_020735805.1	Helicobacter pylori	210		FDAARGOS_1563					GCF_020735805.1-RS_2025_12_20	Complete Genome	2021-11-03		2	
ASM2292521v1	GCF_022925215.1	GCA_022925215.1	Helicobacter pylori	210		Hpfe019					GCF_022925215.1-RS_2025_04_28	Complete Genome	2022-04-12		2	
ASM2292303v1	GCF_022923035.1	GCA_022923035.1	Helicobacter pylori	210		Hpfe075					GCF_022923035.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM3032356v1	GCF_030323565.1	GCA_030323565.1	Helicobacter pylori	210		BS27-2					GCF_030323565.1-RS_2025_06_22	Complete Genome	2023-06-22		1	
ASM3032348v1	GCF_030323485.1	GCA_030323485.1	Helicobacter pylori	210		BS27-1					GCF_030323485.1-RS_2025_06_22	Complete Genome	2023-06-22		1	
ASM1674892v1	GCF_016748925.1	GCA_016748925.1	Helicobacter pylori	210		LIM-007					GCF_016748925.1-RS_2025_04_21	Complete Genome	2021-01-25		1	
ASM2292594v1	GCF_022925945.1	GCA_022925945.1	Helicobacter pylori	210		Hpfe0001					GCF_022925945.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM633728v1	GCF_006337285.1	GCA_006337285.1	Helicobacter pylori	210		476-A2-EK2					GCF_006337285.1-RS_2025_04_16	Complete Genome	2019-06-13		1	
ASM784371v1	GCF_007843715.1	GCA_007843715.1	Helicobacter pylori	210		J182					GCF_007843715.1-RS_2025_04_16	Complete Genome	2019-08-05		1	
ASM784405v1	GCF_007844055.1	GCA_007844055.1	Helicobacter pylori	210		B130A					GCF_007844055.1-RS_2025_04_16	Complete Genome	2019-08-05		1	
ASM5113178v1	GCF_051131785.1	GCA_051131785.1	Helicobacter pylori	210		VN0344					GCF_051131785.1-RS_2025_06_29	Complete Genome	2025-06-29		1	
ASM393908v1	GCF_003939085.1	GCA_003939085.1	Helicobacter pylori	210		HP42K					GCF_003939085.1-RS_2025_04_21	Complete Genome	2018-12-12		3	
ASM298370v1	GCF_002983705.1	GCA_002983705.1	Helicobacter pylori	210		FDAARGOS_300					GCF_002983705.1-RS_2025_12_12	Complete Genome	2018-03-09		1	
ASM2292377v1	GCF_022923775.1	GCA_022923775.1	Helicobacter pylori	210		Hpfe056					GCF_022923775.1-RS_2025_04_28	Complete Genome	2022-04-12		2	
57685_G01	GCF_900638475.1	GCA_900638475.1	Helicobacter pylori	210		NCTC13345					GCF_900638475.1-RS_2025_08_25	Complete Genome	2018-12-20		1	
ASM1675567v1	GCF_016755675.1	GCA_016755675.1	Helicobacter pylori	210		PUNO-001					GCF_016755675.1-RS_2025_04_05	Complete Genome	2021-01-25		1	
ASM2292157v1	GCF_022921575.1	GCA_022921575.1	Helicobacter pylori	210		Hpfe112					GCF_022921575.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM783673v1	GCF_007836735.1	GCA_007836735.1	Helicobacter pylori	210		B125A					GCF_007836735.1-RS_2025_04_04	Complete Genome	2019-08-05		1	
ASM1091715v1	GCF_010917155.1	GCA_010917155.1	Helicobacter pylori	210		GCT 27					GCF_010917155.1-RS_2025_04_09	Complete Genome	2020-02-21		1	
ASM633774v1	GCF_006337745.1	GCA_006337745.1	Helicobacter pylori	210		26-A-EK1					GCF_006337745.1-RS_2025_04_16	Complete Genome	2019-06-13		1	
ASM2292191v1	GCF_022921915.1	GCA_022921915.1	Helicobacter pylori	210		Hpfe099					GCF_022921915.1-RS_2025_04_28	Complete Genome	2022-04-12		2	
ASM1091755v1	GCF_010917555.1	GCA_010917555.1	Helicobacter pylori	210		GCT 43					GCF_010917555.1-RS_2025_04_17	Complete Genome	2020-02-21		1	
ASM3006260v1	GCF_030062605.1	GCA_030062605.1	Helicobacter pylori	210		MTT03					GCF_030062605.1-RS_2024_05_22	Complete Genome	2023-05-22		1	
ASM2292193v1	GCF_022921935.1	GCA_022921935.1	Helicobacter pylori	210		Hpfe097					GCF_022921935.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM1674808v1	GCF_016748085.1	GCA_016748085.1	Helicobacter pylori	210		ASHA-002					GCF_016748085.1-RS_2025_04_08	Complete Genome	2021-01-25		1	
ASM2172952v1	GCF_021729525.1	GCA_021729525.1	Helicobacter pylori	210		NP05-124					GCF_021729525.1-RS_2025_03_15	Complete Genome	2022-01-31		1	
ASM2172972v1	GCF_021729725.1	GCA_021729725.1	Helicobacter pylori	210		AL04					GCF_021729725.1-RS_2025_03_15	Complete Genome	2022-01-31		1	
ASM1674921v1	GCF_016749215.1	GCA_016749215.1	Helicobacter pylori	210		LIM-003					GCF_016749215.1-RS_2025_04_05	Complete Genome	2021-01-25		1	
ASM1674933v1	GCF_016749335.1	GCA_016749335.1	Helicobacter pylori	210		LIM-001					GCF_016749335.1-RS_2025_04_04	Complete Genome	2021-01-25		1	
ASM633894v1	GCF_006338945.1	GCA_006338945.1	Helicobacter pylori	210		479-C-EK2					GCF_006338945.1-RS_2025_08_26	Complete Genome	2019-06-13		1	
ASM633868v1	GCF_006338685.1	GCA_006338685.1	Helicobacter pylori	210		479-C2-EK2					GCF_006338685.1-RS_2025_04_04	Complete Genome	2019-06-13		1	
ASM2090658v1	GCF_020906585.1	GCA_020906585.1	Helicobacter pylori	210		3192					GCF_020906585.1-RS_2025_01_21	Complete Genome	2021-11-21		1	
ASM395739v1	GCF_003957395.1	GCA_003957395.1	Helicobacter pylori	210		H-137					GCF_003957395.1-RS_2025_04_16	Complete Genome	2018-12-20		1	
ASM2292131v1	GCF_022921315.1	GCA_022921315.1	Helicobacter pylori	210		Hpfe118					GCF_022921315.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM633726v1	GCF_006337265.1	GCA_006337265.1	Helicobacter pylori	210		479-A2-EK4					GCF_006337265.1-RS_2025_04_05	Complete Genome	2019-06-13		1	
ASM2073552v1	GCF_020735525.1	GCA_020735525.1	Helicobacter pylori	210		FDAARGOS_1601					GCF_020735525.1-RS_2025_08_18	Complete Genome	2021-11-03		2	
ASM4504054v1	GCF_045040545.1	GCA_045040545.1	Helicobacter pylori	210		CCUG 17875					GCF_045040545.1-RS_2024_11_20	Complete Genome	2024-11-23		2	
ASM1675575v1	GCF_016755755.1	GCA_016755755.1	Helicobacter pylori	210		ASHA-010					GCF_016755755.1-RS_2025_04_04	Complete Genome	2021-01-25		1	
ASM633742v1	GCF_006337425.1	GCA_006337425.1	Helicobacter pylori	210		476-A-EK5					GCF_006337425.1-RS_2025_04_16	Complete Genome	2019-06-13		1	
ASM3032344v1	GCF_030323445.1	GCA_030323445.1	Helicobacter pylori	210		BS22					GCF_030323445.1-RS_2025_06_22	Complete Genome	2023-06-22		1	
57728_F01	GCF_900638505.1	GCA_900638505.1	Helicobacter pylori	210		NCTC12823					GCF_900638505.1-RS_2025_08_25	Complete Genome	2018-12-20		1	
ASM784353v1	GCF_007843535.1	GCA_007843535.1	Helicobacter pylori	210		B147					GCF_007843535.1-RS_2025_04_21	Complete Genome	2019-08-05		1	
ASM1674841v1	GCF_016748415.1	GCA_016748415.1	Helicobacter pylori	210		ASHA-005					GCF_016748415.1-RS_2025_04_21	Complete Genome	2021-01-25		1	
ASM1675563v1	GCF_016755635.1	GCA_016755635.1	Helicobacter pylori	210		PUNO-003					GCF_016755635.1-RS_2025_04_03	Complete Genome	2021-01-25		1	
ASM1997399v1	GCF_019973995.1	GCA_019973995.1	Helicobacter pylori	210		#6					GCF_019973995.1-RS_2026_01_01	Complete Genome	2021-08-03		1	
ASM2292241v1	GCF_022922415.1	GCA_022922415.1	Helicobacter pylori	210		Hpfe084					GCF_022922415.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM1674957v1	GCF_016749575.1	GCA_016749575.1	Helicobacter pylori	210		PUNO-009					GCF_016749575.1-RS_2025_04_03	Complete Genome	2021-01-25		1	
ASM633906v1	GCF_006339065.1	GCA_006339065.1	Helicobacter pylori	210		478-A-EK1					GCF_006339065.1-RS_2025_08_26	Complete Genome	2019-06-13		1	
ASM1674981v1	GCF_016749815.1	GCA_016749815.1	Helicobacter pylori	210		PUNO-007					GCF_016749815.1-RS_2025_04_04	Complete Genome	2021-01-25		1	
ASM1782123v1	GCF_017821235.1	GCA_017821235.1	Helicobacter pylori	210		MT5118					GCF_017821235.1-RS_2025_05_28	Complete Genome	2021-04-07		2	
ASM2292577v1	GCF_022925775.1	GCA_022925775.1	Helicobacter pylori	210		Hpfe0012					GCF_022925775.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM1675579v1	GCF_016755795.1	GCA_016755795.1	Helicobacter pylori	210		ASHA-008					GCF_016755795.1-RS_2025_04_05	Complete Genome	2021-01-25		1	
ASM2292443v1	GCF_022924435.1	GCA_022924435.1	Helicobacter pylori	210		Hpfe039					GCF_022924435.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM2292455v1	GCF_022924555.1	GCA_022924555.1	Helicobacter pylori	210		Hpfe032					GCF_022924555.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM2292203v1	GCF_022922035.1	GCA_022922035.1	Helicobacter pylori	210		Hpfe089					GCF_022922035.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM2316964v1	GCF_023169645.1	GCA_023169645.1	Helicobacter pylori	210		JSHR3					GCF_023169645.1-RS_2025_05_14	Complete Genome	2022-04-08		1	
ASM143351v1	GCF_001433515.1	GCA_001433515.1	Helicobacter pylori	210		7C					GCF_001433515.1-RS_2026_03_03	Complete Genome	2015-11-05		2	
Unicycler	GCF_041877105.1	GCA_041877105.1	Helicobacter pylori	210		BS08					GCF_041877105.1-RS_2024_09_10	Complete Genome	2024-09-11		2	
ASM1782161v1	GCF_017821615.1	GCA_017821615.1	Helicobacter pylori	210		MT5119					GCF_017821615.1-RS_2025_05_28	Complete Genome	2021-04-07		1	
ASM2292295v1	GCF_022922955.1	GCA_022922955.1	Helicobacter pylori	210		Hpfe079					GCF_022922955.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM2292579v1	GCF_022925795.1	GCA_022925795.1	Helicobacter pylori	210		Hpfe0011					GCF_022925795.1-RS_2025_04_28	Complete Genome	2022-04-12		2	
ASM2866205v1	GCF_028662055.1	GCA_028662055.1	Helicobacter pylori	210		444A6					GCF_028662055.1-RS_2025_03_26	Complete Genome	2023-02-17		2	
ASM2292177v1	GCF_022921775.1	GCA_022921775.1	Helicobacter pylori	210		Hpfe107					GCF_022921775.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM3032340v1	GCF_030323405.1	GCA_030323405.1	Helicobacter pylori	210		BS07					GCF_030323405.1-RS_2025_06_22	Complete Genome	2023-06-22		1	
ASM2292201v1	GCF_022922015.1	GCA_022922015.1	Helicobacter pylori	210		Hpfe092					GCF_022922015.1-RS_2025_04_28	Complete Genome	2022-04-12		2	
ASM2292119v1	GCF_022921195.1	GCA_022921195.1	Helicobacter pylori	210		Hpfe126					GCF_022921195.1-RS_2025_04_28	Complete Genome	2022-04-12		2	
ASM1674908v1	GCF_016749085.1	GCA_016749085.1	Helicobacter pylori	210		LIM-005					GCF_016749085.1-RS_2025_04_07	Complete Genome	2021-01-25		1	
ASM633854v1	GCF_006338545.1	GCA_006338545.1	Helicobacter pylori	210		13-A-EK8					GCF_006338545.1-RS_2025_04_08	Complete Genome	2019-06-13		1	
ASM2172968v1	GCF_021729685.1	GCA_021729685.1	Helicobacter pylori	210		BT302					GCF_021729685.1-RS_2025_03_15	Complete Genome	2022-01-31		1	
ASM2292133v1	GCF_022921335.1	GCA_022921335.1	Helicobacter pylori	210		Hpfe115					GCF_022921335.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM2292311v1	GCF_022923115.1	GCA_022923115.1	Helicobacter pylori	210		Hpfe071					GCF_022923115.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM1674867v1	GCF_016748675.1	GCA_016748675.1	Helicobacter pylori	210		LIM-009					GCF_016748675.1-RS_2025_04_08	Complete Genome	2021-01-25		1	
ASM165337v1	GCF_001653375.1	GCA_001653375.1	Helicobacter pylori	210		L7					GCF_001653375.1-RS_2026_01_27	Complete Genome	2016-05-27		1	
ASM2292517v1	GCF_022925175.1	GCA_022925175.1	Helicobacter pylori	210		Hpfe022					GCF_022925175.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM3032350v1	GCF_030323505.1	GCA_030323505.1	Helicobacter pylori	210		BS28-1					GCF_030323505.1-RS_2025_06_22	Complete Genome	2023-06-22		1	
ASM2201463v1	GCF_022014635.1	GCA_022014635.1	Helicobacter pylori	210		K115					GCF_022014635.1-RS_2026_02_05	Complete Genome	2022-02-06		1	
ASM2292417v1	GCF_022924175.1	GCA_022924175.1	Helicobacter pylori	210		Hpfe053					GCF_022924175.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM1675581v1	GCF_016755815.1	GCA_016755815.1	Helicobacter pylori	210		ASHA-006					GCF_016755815.1-RS_2025_04_04	Complete Genome	2021-01-25		1	
ASM1674799v1	GCF_016747995.1	GCA_016747995.1	Helicobacter pylori	210		ASHA-001					GCF_016747995.1-RS_2025_04_04	Complete Genome	2021-01-25		1	
ASM2292435v1	GCF_022924355.1	GCA_022924355.1	Helicobacter pylori	210		Hpfe051					GCF_022924355.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM1675753v1	GCF_016757535.1	GCA_016757535.1	Helicobacter pylori	210		LIM-002					GCF_016757535.1-RS_2025_04_03	Complete Genome	2021-01-27		1	
ASM2292367v1	GCF_022923675.1	GCA_022923675.1	Helicobacter pylori	210		Hpfe058					GCF_022923675.1-RS_2025_04_28	Complete Genome	2022-04-12		2	
ASM2292355v1	GCF_022923555.1	GCA_022923555.1	Helicobacter pylori	210		Hpfe064					GCF_022923555.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM2292592v1	GCF_022925925.1	GCA_022925925.1	Helicobacter pylori	210		Hpfe0002					GCF_022925925.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
ASM2292529v1	GCF_022925295.1	GCA_022925295.1	Helicobacter pylori	210		Hpfe0021					GCF_022925295.1-RS_2025_04_28	Complete Genome	2022-04-12		2	
ASM1782153v1	GCF_017821535.1	GCA_017821535.1	Helicobacter pylori	210		MT5135					GCF_017821535.1-RS_2025_03_30	Complete Genome	2021-04-07		2	
ASM1674826v1	GCF_016748265.1	GCA_016748265.1	Helicobacter pylori	210		ASHA-004					GCF_016748265.1-RS_2025_04_16	Complete Genome	2021-01-25		1	
ASM2292125v1	GCF_022921255.1	GCA_022921255.1	Helicobacter pylori	210		Hpfe123					GCF_022921255.1-RS_2025_04_28	Complete Genome	2022-04-12		1	
